Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.4619,7.5202,7.4619,7.5202,5907,0
20050228,7.5202,7.5882,7.5202,7.5882,62600,0
20050301,7.8696,7.8696,7.6172,7.6172,7680,0
20050302,7.6172,7.6172,7.6172,7.6172,5907,0
20050303,7.6172,7.6172,7.6172,7.6172,5907,0
20050304,7.6172,7.6172,7.6172,7.6172,4332,0
20050308,7.6075,7.6075,7.5882,7.6075,3544,0
20050309,7.5882,7.5882,7.5882,7.5882,70133,0
20050310,7.5688,7.5688,7.5299,7.5299,788,0
20050311,7.4426,7.4426,7.3164,7.3164,8269,0
20050318,7.4912,7.4912,7.4912,7.4912,788,0
20050321,7.8696,7.8696,7.6172,7.6172,5907,0
20050323,7.3649,7.4912,7.3649,7.4912,788,0
20050328,7.3649,7.3649,7.1321,7.3164,1488,0
20050329,7.4912,7.4912,7.4912,7.4912,946,0
20050330,7.5688,7.5688,7.4912,7.4912,409,0
20050404,7.2387,7.3649,7.2387,7.3649,1771,0
20050406,7.2387,7.2387,7.2387,7.2387,4207,0
20050408,7.3649,7.3649,7.2387,7.2387,3781,0
20050411,7.1128,7.1128,6.5983,6.5983,30081,0
20050412,6.5983,6.5983,6.4722,6.4722,1088,0
20050414,6.5013,6.5013,6.5013,6.5013,393,0
20050415,6.4722,6.4722,6.4722,6.4722,3247,0
20050420,6.5013,6.5013,6.5013,6.5013,985,0
20050421,6.5013,6.5013,6.5013,6.5013,393,0
20050422,6.5013,6.5013,6.5013,6.5013,788,0
20050426,6.579,6.579,6.579,6.579,542,0
20050428,6.579,6.6274,6.579,6.6274,1575,0
20050429,6.6274,6.6274,6.5983,6.6274,5048,0
20050505,6.5983,6.5983,6.5983,6.5983,1771,0
20050506,6.5983,6.5983,6.5983,6.5983,1055,0
20050511,6.6274,6.6274,6.6274,6.6274,2954,0
20050517,6.7051,6.7051,6.7051,6.7051,629,0
20050518,6.6274,6.7051,6.6274,6.7051,1601,0
20050520,6.9866,6.9866,6.9866,6.9866,1575,0
20050524,6.8603,6.8603,6.8603,6.8603,305,0
20050526,6.8603,6.8603,6.8603,6.8603,985,0
20050602,6.676,6.676,6.676,6.676,510,0
20050609,6.676,6.676,6.676,6.676,236,0
20050610,6.676,6.676,6.6274,6.6274,1008,0
20050615,6.6274,6.6274,6.6274,6.6274,2954,0
20050616,6.676,6.676,6.676,6.676,295,0
20050620,6.6566,6.6566,6.6566,6.6566,14768,0
20050621,6.6566,6.6566,6.6566,6.6566,334,0
20050627,6.5983,6.5983,6.5983,6.5983,788,0
20050629,6.5983,6.5983,6.5983,6.5983,7875,0
20050701,6.5983,6.5983,6.5983,6.5983,393,0
20050712,6.3946,6.3946,6.3946,6.3946,418,0
20050715,6.4917,6.4917,6.4917,6.4917,591,0
20050720,6.4529,6.4529,6.4529,6.4529,1535,0
20050721,6.4529,6.4529,6.4529,6.4529,788,0
20050726,6.4529,6.4529,6.4529,6.4529,393,0
