Date,Open,High,Low,Close,Volume,OpenInt
20050228,10.895,11.089,10.887,11.081,8775,0
20050301,11.089,11.089,11.081,11.081,495,0
20050302,10.841,10.841,10.841,10.841,197,0
20050303,11.099,11.277,11.099,11.277,3191,0
20050304,11.287,11.324,11.277,11.277,1218,0
20050307,11.268,11.268,11.268,11.268,398,0
20050308,11.296,11.597,11.296,11.332,2201,0
20050309,11.402,11.402,11.305,11.315,4585,0
20050310,11.029,11.029,11.029,11.029,291,0
20050311,11.136,11.136,11.136,11.136,197,0
20050314,11.146,11.146,11.146,11.146,197,0
20050315,10.931,11.108,10.931,11.064,2591,0
20050316,11.127,11.127,10.947,11.047,4785,0
20050317,11.056,11.056,10.841,10.841,1112,0
20050321,11.394,11.41,10.528,11.41,6539,0
20050322,11.429,11.661,11.324,11.661,3388,0
20050323,11.287,11.548,11.216,11.216,1993,0
20050324,11.564,11.564,11.564,11.564,398,0
20050328,11.259,11.259,11.259,11.259,197,0
20050329,11.369,11.402,10.555,10.689,3281,0
20050330,10.895,10.895,10.663,10.699,1794,0
20050331,10.931,10.975,10.931,10.966,5084,0
20050401,10.975,11.021,10.931,10.938,2392,0
20050404,11.064,11.064,10.868,10.868,1961,0
20050405,11.021,11.369,11.021,11.369,4958,0
20050406,12.035,12.035,11.402,11.402,4087,0
20050407,11.521,11.539,11.521,11.539,896,0
20050408,11.521,11.521,11.483,11.483,1196,0
20050411,11.369,11.429,11.369,11.394,1794,0
20050412,12.035,12.035,11.19,11.351,9586,0
20050413,10.994,11.351,10.994,11.351,545,0
20050418,10.877,10.895,10.538,10.538,1715,0
20050419,10.743,10.743,10.734,10.743,747,0
20050420,10.528,10.762,10.138,10.762,9364,0
20050421,10.956,11.029,10.841,11.029,2992,0
20050422,11.117,11.268,11.029,11.038,9043,0
20050425,11.074,11.208,11.074,11.208,3552,0
20050426,11.259,11.616,11.259,11.616,896,0
20050427,11.634,11.634,11.296,11.296,2492,0
20050428,11.502,11.53,11.25,11.25,2454,0
20050429,11.234,11.786,11.234,11.786,1226,0
20050502,11.234,11.234,11.099,11.234,5686,0
20050504,11.081,11.597,11.081,11.597,899,0
20050505,11.698,11.698,11.369,11.369,447,0
20050506,11.369,11.548,11.369,11.548,896,0
20050509,11.081,11.241,11.038,11.172,6881,0
20050510,11.234,11.234,11.234,11.234,153,0
20050513,11.038,11.351,11.038,11.198,11139,0
20050516,11.038,11.038,11.038,11.038,2170,0
20050517,11.038,11.038,10.975,11.011,16381,0
20050518,11.216,11.216,11.002,11.002,774,0
20050519,11.198,11.198,10.975,10.975,2424,0
20050520,11.136,11.136,11.136,11.136,447,0
20050525,11.002,11.089,10.975,10.975,3027,0
20050527,11.172,11.19,11.047,11.047,1546,0
20050531,11.099,11.154,11.011,11.011,4634,0
20050601,10.699,11.259,10.699,11.259,5286,0
20050602,10.975,11.038,9.699,10.895,21428,0
20050603,10.895,11.029,10.806,11.021,3429,0
20050606,11.047,11.127,11.047,11.127,1945,0
20050607,11.127,11.224,11.117,11.224,2842,0
20050609,11.369,11.369,11.198,11.198,1794,0
20050610,11.455,11.455,11.447,11.455,1196,0
20050613,11.652,11.661,11.597,11.661,1196,0
20050614,11.626,11.893,11.626,11.893,882,0
20050616,11.548,11.597,11.548,11.597,599,0
20050617,11.626,11.626,11.626,11.626,262,0
20050621,11.76,11.76,11.76,11.76,447,0
20050622,11.394,11.394,11.394,11.394,177,0
20050623,11.724,11.769,11.634,11.652,3685,0
20050624,11.76,12.705,10.975,12.705,5978,0
20050627,11.698,11.698,11.698,11.698,153,0
20050628,11.698,11.76,11.315,11.724,17315,0
20050629,11.804,11.884,11.698,11.884,3538,0
20050705,11.734,11.777,11.734,11.777,747,0
20050707,11.804,11.804,11.804,11.804,746,0
20050708,12.035,12.035,12.035,12.035,153,0
20050711,12.072,12.072,12.072,12.072,350,0
20050712,12.1,12.144,11.893,11.975,3762,0
20050713,11.848,11.848,11.402,11.402,7177,0
20050714,11.716,11.966,11.074,11.074,11690,0
20050715,11.332,11.386,11.324,11.386,3107,0
20050718,11.769,11.769,11.198,11.216,4906,0
20050719,11.429,11.429,11.208,11.386,2863,0
20050720,11.386,11.429,11.359,11.359,4723,0
20050721,11.483,11.483,11.386,11.394,11159,0
20050722,12.152,12.223,11.539,11.652,11011,0
20050725,11.804,12.213,11.804,12.213,518,0
20050726,12.091,12.091,12.091,12.091,474,0
20050727,11.634,11.634,11.634,11.634,153,0
20050728,12.705,12.705,12.669,12.687,1196,0
20050729,12.374,12.374,12.374,12.374,847,0
20050801,12.41,12.507,12.41,12.507,747,0
20050802,12.606,13.178,12.563,13.178,2242,0
20050803,12.678,13.338,12.678,13.338,1794,0
20050804,13.24,13.24,13.24,13.24,1196,0
20050808,13.373,13.373,13.373,13.373,447,0
20050809,13.328,13.328,12.972,13.222,5316,0
20050810,13.355,13.373,13.32,13.32,2653,0
20050811,13.347,13.373,13.347,13.373,1608,0
20050812,13.373,13.373,13.373,13.373,153,0
20050816,12.803,13.168,12.803,12.803,608,0
20050817,12.204,12.571,12.008,12.482,1048,0
20050818,12.25,12.304,12.25,12.304,447,0
20050822,12.232,12.374,12.232,12.374,599,0
20050823,12.5,12.633,12.331,12.59,1346,0
20050824,12.687,12.705,12.687,12.705,298,0
20050825,12.162,12.705,12.162,12.705,1495,0
20050826,12.615,12.615,11.804,12.5,4486,0
20050829,12.1,12.374,11.975,12.374,2403,0
20050831,12.374,13.159,12.268,13.159,5142,0
20050901,12.59,12.705,12.223,12.358,599,0
20050902,12.144,12.287,11.893,12.278,1683,0
20050906,12.571,12.571,12.571,12.571,153,0
20050907,12.535,12.535,12.535,12.535,153,0
20050908,12.535,12.535,12.535,12.535,896,0
20050909,12.091,12.438,12.091,12.438,298,0
20050912,12.526,12.526,12.526,12.526,298,0
20050913,12.659,12.723,12.659,12.723,298,0
20050915,12.081,12.563,12.044,12.429,3438,0
20050920,12.321,12.321,12.321,12.321,153,0
20050922,12.25,12.474,12.25,12.401,3163,0
20050923,12.213,12.213,12.204,12.204,892,0
20050926,12.535,12.535,12.535,12.535,153,0
20050928,12.213,12.446,12.204,12.374,2242,0
20050929,12.392,12.429,12.392,12.429,896,0
20051003,12.366,12.366,12.366,12.366,3803,0
20051004,12.401,12.401,12.374,12.374,4984,0
20051005,11.706,12.358,11.706,12.358,695,0
