Date,Open,High,Low,Close,Volume,OpenInt
20110729,26.596,26.789,25.699,26.544,2398482,0
20110801,28.781,29.304,25.965,27.211,3437178,0
20110802,27.413,27.413,25.177,25.469,6113494,0
20110803,25.23,25.661,23.625,24.396,3123300,0
20110804,24.222,24.304,23.03,23.414,2569642,0
20110805,25.22,25.23,23.488,24.651,2006319,0
20110808,23.13,24.312,22.936,23.579,1795926,0
20110809,24.35,25.68,23.625,25.168,1928315,0
20110810,25.469,26.149,24.651,25.11,1544740,0
20110811,25.552,25.642,24.589,24.984,1000158,0
20110812,25.028,25.23,24.166,24.406,758493,0
20110815,24.781,25.23,24.129,24.432,380994,0
20110816,24.304,25.028,23.992,24.965,460900,0
20110817,25.158,25.459,24.864,25.369,583088,0
20110818,24.8,25.22,24.239,24.661,617188,0
20110819,24.387,25.139,23.395,23.644,947979,0
20110822,24.616,24.623,23.12,23.542,494320,0
20110823,23.863,24.312,23.047,23.899,761089,0
20110824,23.716,24.249,23.569,24.157,406476,0
20110825,24.275,24.312,23.395,24.037,440042,0
20110826,24.037,24.111,23.68,24.111,293876,0
20110829,23.873,24.213,23.441,24.037,665490,0
20110830,23.689,24.753,23.671,24.295,427090,0
20110831,24.524,24.524,23.782,24.166,569794,0
20110901,24.047,25.642,23.863,24.671,1834604,0
20110902,24.579,25.396,24.312,24.772,924886,0
20110906,23.616,24.994,23.36,24.79,1655253,0
20110907,24.845,25.037,24.432,24.616,778112,0
20110908,24.222,24.497,23.735,23.853,786264,0
20110909,23.808,23.89,22.936,23.03,855421,0
20110912,23.021,23.68,22.936,23.101,511510,0
20110913,23.247,23.579,23.03,23.203,380963,0
20110914,23.101,23.735,23.063,23.598,642765,0
20110915,23.671,24.083,23.488,23.899,476986,0
20110916,24.01,24.708,23.671,24.642,699951,0
20110919,24.23,25.817,23.974,25.204,881387,0
20110920,25.313,26.515,24.864,25.67,1189919,0
20110921,25.918,26.506,25.689,25.965,845502,0
20110922,24.414,25.57,23.808,25.065,1119775,0
20110923,25.065,26.084,24.718,25.909,629296,0
20110926,26.129,26.929,25.974,26.772,1083655,0
20110927,27.15,27.385,26.084,26.515,882535,0
20110928,26.421,26.726,25.798,26.37,643023,0
20110929,26.789,26.973,24.919,25.734,700211,0
20110930,25.45,25.994,24.464,25.412,2529957,0
20111003,25.139,25.525,24.102,24.396,805941,0
20111004,24.083,25.791,23.671,25.782,679644,0
20111005,25.909,26.186,25.257,26.074,643684,0
20111006,26.084,26.342,25.212,25.909,549716,0
20111007,26.029,26.139,24.651,24.763,502080,0
20111010,25.23,25.579,24.35,24.845,699475,0
20111011,24.909,25.185,24.651,24.718,341524,0
20111012,24.781,25.158,24.651,24.9,353306,0
20111013,24.855,25.505,24.772,25.332,282688,0
20111014,25.597,26.019,24.955,25.708,446497,0
20111017,25.826,25.909,24.955,25.23,293989,0
20111018,25.276,25.404,24.708,25.139,435106,0
20111019,25.257,25.404,24.9,25.323,346241,0
20111020,25.148,26.029,25.139,25.68,383410,0
20111021,25.863,25.927,25.341,25.487,242142,0
20111024,25.515,26.421,25.422,26.229,412025,0
