Date,Open,High,Low,Close,Volume,OpenInt
20050225,27.977,28.142,27.722,28.026,1043055,0
20050228,28.142,28.445,27.828,27.901,1428362,0
20050301,27.901,28.152,27.682,28.045,1034639,0
20050302,27.996,27.996,27.36,27.712,1395123,0
20050303,27.712,27.712,27.209,27.312,645756,0
20050304,27.33,27.682,27.256,27.302,966162,0
20050307,27.199,28.427,26.999,28.132,1639686,0
20050308,28.132,28.188,27.692,27.731,986041,0
20050309,27.809,28.142,27.625,27.769,1281307,0
20050310,27.996,28.093,27.084,27.606,506168,0
20050311,27.579,27.901,27.056,27.239,802067,0
20050314,27.284,27.625,27.19,27.378,625664,0
20050315,27.19,27.284,26.476,26.856,2241684,0
20050316,26.667,26.905,26.353,26.524,855922,0
20050317,26.334,26.732,26.334,26.486,768302,0
20050318,26.049,26.714,25.668,26.667,622827,0
20050321,26.572,26.789,26.172,26.761,704136,0
20050322,26.524,26.61,25.953,26.125,1776327,0
20050323,25.905,26.466,25.905,26.334,1002033,0
20050324,26.353,26.895,26.353,26.61,782502,0
20050328,26.62,27.065,26.382,27.026,1641790,0
20050329,26.999,27.247,26.353,26.382,787657,0
20050330,26.428,27.312,26.428,27.19,1218406,0
20050331,27.093,27.19,26.714,26.999,736428,0
20050401,27.046,27.523,26.885,26.924,720231,0
20050404,26.808,26.914,26.667,26.714,771772,0
20050405,27.426,27.901,27.426,27.616,2536741,0
20050406,27.663,27.789,27.475,27.533,600736,0
20050407,27.663,28.566,27.663,28.379,1996381,0
20050408,28.379,28.693,27.883,27.996,926821,0
20050411,28.064,28.624,28.045,28.31,1000347,0
20050412,27.996,28.397,27.901,28.34,1233552,0
20050413,28.427,29.432,28.33,28.768,2717980,0
20050414,28.427,28.711,27.847,27.892,1692070,0
20050415,27.712,27.799,27.084,27.33,1381238,0
20050418,27.19,27.284,26.732,26.808,1452556,0
20050419,27.284,27.809,27.122,27.543,1918228,0
20050420,27.901,27.948,27.36,27.426,2125030,0
20050421,27.046,27.046,25.943,26.068,4084176,0
20050422,26.142,26.238,25.277,25.545,1682815,0
20050425,25.745,26.115,25.562,26.115,1442877,0
20050426,26.001,26.524,25.745,25.812,1162234,0
20050427,25.619,25.972,25.508,25.829,1097332,0
20050428,25.783,25.992,25.174,25.174,686989,0
20050429,25.383,25.658,24.48,25.392,1761813,0
20050502,25.45,25.639,25.431,25.639,1217142,0
20050503,25.639,26.372,25.619,26.172,1437514,0
20050504,27.093,27.093,26.142,26.438,1343789,0
20050505,26.476,27.321,26.476,27.056,2138915,0
20050506,27.161,27.171,26.808,26.989,3269380,0
20050509,27.046,27.426,26.818,27.256,998244,0
20050510,27.266,27.266,26.856,27.074,875488,0
20050511,27.132,27.368,26.866,27.209,651750,0
20050512,27.142,27.378,26.723,26.895,802486,0
20050513,26.905,27.026,26.494,26.695,878644,0
20050516,26.62,26.98,26.572,26.751,733482,0
20050517,26.761,27.378,26.761,27.19,2514757,0
20050518,27.18,27.485,26.856,27.378,873488,0
20050519,27.378,27.408,26.962,27.161,1341476,0
20050520,27.161,27.19,26.818,27.074,589900,0
20050523,27.093,27.132,26.714,27.074,1033275,0
20050524,26.856,27.093,26.751,27.008,661849,0
20050525,26.952,26.952,26.61,26.808,1348103,0
20050526,26.876,27.046,25.783,26.514,3073204,0
20050527,26.049,26.363,26.03,26.344,820684,0
20050531,25.858,26.049,25.619,25.905,1687968,0
20050601,25.905,26.228,25.441,25.697,1508096,0
20050602,25.716,25.716,24.622,24.954,3881056,0
20050603,25.858,25.943,25.383,25.726,4236279,0
20050606,26.142,26.181,25.629,25.783,1963772,0
20050607,25.783,25.933,25.03,25.231,2284497,0
20050608,25.098,25.239,24.241,24.708,5026669,0
20050609,24.813,24.992,24.574,24.689,1035377,0
20050610,24.698,24.907,24.232,24.47,832887,0
20050613,24.347,24.641,24.224,24.574,843301,0
20050614,24.756,24.87,24.546,24.774,1259323,0
20050615,25.012,25.098,24.813,25.05,1138671,0
20050616,25.146,25.706,25.05,25.572,1858482,0
20050617,25.668,26.04,25.619,25.962,1610549,0
20050620,26.049,26.238,25.905,25.943,1045264,0
20050621,26.097,26.191,25.726,26.068,1058308,0
20050622,26.191,26.276,25.923,26.191,1169387,0
20050623,26.191,26.238,25.716,25.764,1909917,0
20050624,25.716,25.716,24.944,25.05,1414267,0
20050627,25.03,25.03,24.574,24.85,788815,0
20050628,25.002,25.639,25.002,25.248,761778,0
20050629,25.335,25.619,25.146,25.364,550139,0
20050630,25.383,25.658,25.069,25.127,872123,0
20050701,25.335,25.726,25.137,25.412,387200,0
20050705,25.953,26.62,25.953,26.42,1835443,0
