Date,Open,High,Low,Close,Volume,OpenInt
20050225,36.55,36.75,35.95,36.34,299500,0
20050228,36.2,36.43,35.9,36.33,309900,0
20050301,36.16,37.5,36.16,37.44,411700,0
20050302,37.44,38.26,37.23,37.65,367300,0
20050303,38.1,38.1,37.32,37.58,153500,0
20050304,37.68,37.69,37.43,37.48,221900,0
20050307,37.55,37.65,37.15,37.52,172600,0
20050308,37.45,37.55,36.9,37.07,97100,0
20050309,36.9,37.35,36.52,37.16,85300,0
20050310,37.4,37.73,36.57,37.7,177700,0
20050311,37.65,37.65,36.7,37.11,227600,0
20050314,37.36,37.48,37,37.34,177000,0
20050315,37.47,38.15,37.05,38.15,144000,0
20050316,37.8,38.37,37.23,37.7,412400,0
20050317,38.3,38.95,37.9,38.35,1316300,0
20050318,39.75,40,37.98,39.7,2106500,0
20050321,39.6,40.13,39.1,39.8,820800,0
20050322,39.81,40.45,39.3,39.8,665500,0
20050323,39.3,39.78,39,39.37,429200,0
20050324,39.27,39.8,39.11,39.54,513000,0
20050328,39.49,39.9,38.41,39.67,1409200,0
20050329,39.34,39.9,38.85,39.14,346100,0
20050330,39.25,40.3,39.25,40.3,547800,0
20050331,40.42,40.82,39.83,40.71,417000,0
20050401,40.8,40.8,39.6,40.43,523100,0
20050404,40.23,40.8,40,40.8,190900,0
20050405,40.92,41.32,40.77,40.81,345300,0
20050406,41,41.24,40.85,41.08,582700,0
20050407,41.08,41.28,40.96,41.09,472900,0
20050408,41.1,41.2,40.53,40.65,457500,0
20050411,40.65,41,40.33,40.81,342800,0
20050412,40.71,40.98,40.29,40.87,375400,0
20050413,40.8,41,40.22,40.37,268100,0
20050414,40.3,40.3,39.09,39.32,359900,0
20050415,39.32,39.48,38.45,38.67,384700,0
20050418,38.6,39.2,38.5,38.6,338800,0
20050419,39,39.12,38.5,38.85,469500,0
20050420,39,39.4,38.53,38.72,297100,0
20050421,38.85,39.82,38.85,39.36,250100,0
20050422,39.25,39.86,38.03,38.23,413300,0
20050425,38.3,38.55,37.4,38.18,795800,0
20050426,38.1,38.8,37.93,38.01,448800,0
20050427,37.85,37.93,37.3,37.6,281700,0
20050428,37.55,38.94,37.37,38.05,292000,0
20050429,38,38.07,37.25,37.5,427500,0
20050502,37.4,37.95,36.85,37.6,530000,0
20050503,37.6,38.1,37.5,38,521600,0
20050504,37.9,38.24,37.85,38.05,369400,0
20050505,37.9,38.43,37.85,38.1,362700,0
20050506,38.35,38.8,38.31,38.55,350400,0
20050509,38.5,38.7,38.3,38.5,666400,0
20050510,38.6,38.79,35.55,36.5,3354500,0
20050511,31.99,32.45,30.8,32.05,9227100,0
20050512,32.65,32.98,31.99,32,3099900,0
20050513,32.25,32.33,31.02,31.5,1274400,0
20050516,31.5,31.88,31,31.34,1091100,0
20050517,31.44,31.62,30.97,31.2,716400,0
20050518,31.45,31.96,31.45,31.63,1063300,0
20050519,31.78,32.32,31.77,32,738700,0
