Date,Open,High,Low,Close,Volume,OpenInt
20160310,24.977,24.977,24.977,24.977,6084,0
20160311,25.087,25.117,25.078,25.088,9174,0
20160314,25.107,25.107,25.107,25.107,1395,0
20160315,25.122,25.123,25.017,25.067,58832,0
20160316,26.183,26.183,25.027,25.157,164049,0
20160317,25.197,25.366,25.197,25.356,89060,0
20160318,25.414,25.414,25.324,25.362,26417,0
20160321,25.844,25.844,25.316,25.356,36020,0
20160322,25.346,25.386,25.326,25.346,39156,0
20160323,25.306,25.306,25.231,25.231,29955,0
20160324,25.187,25.266,25.187,25.266,11965,0
20160328,25.276,25.306,25.216,25.276,11919,0
20160329,25.266,25.396,25.231,25.356,10061,0
20160330,25.445,25.446,25.346,25.426,53826,0
20160331,25.525,25.525,25.366,25.456,19050,0
20160401,25.406,25.416,25.216,25.216,25748,0
20160404,25.346,25.346,25.107,25.127,23807,0
20160405,25.735,25.735,25.027,25.061,27402,0
20160406,25.137,25.276,25.127,25.241,42316,0
20160407,25.256,25.286,25.187,25.256,25140,0
20160408,26.004,26.004,25.336,25.336,46088,0
20160411,25.605,25.605,25.426,25.446,136921,0
20160412,25.485,25.645,25.485,25.61,80612,0
20160413,25.645,25.735,25.625,25.655,171553,0
20160414,25.416,25.695,25.416,25.681,368789,0
20160415,25.96,25.96,25.6,25.67,141573,0
