Date,Open,High,Low,Close,Volume,OpenInt
20151021,0.5,0.5,0.5,0.5,5000,0
20151223,0.37,0.37,0.37,0.37,10000,0
20160119,0.33,0.33,0.33,0.33,5000,0
20160120,0.33,0.33,0.33,0.33,2000,0
20160122,0.37,0.37,0.33,0.33,300,0
20160201,0.33,0.37,0.32,0.37,59100,0
20160226,0.3601,0.3601,0.36,0.36,127000,0
20160229,0.37,0.37,0.37,0.37,500,0
20160307,0.3699,0.37,0.3699,0.37,21200,0
20160309,0.35,0.35,0.35,0.35,22906,0
20160331,0.4,0.4,0.4,0.4,100,0
20160408,0.35,0.35,0.35,0.35,1000,0
20160411,0.31,0.31,0.31,0.31,10000,0
20160412,0.33,0.33,0.33,0.33,10000,0
20160414,0.31,0.31,0.31,0.31,10000,0
