Date,Open,High,Low,Close,Volume,OpenInt
20151230,24.95,24.96,24.92,24.93,1700,0
20151231,24.85,24.92,24.85,24.92,5100,0
20160104,24.12,24.27,24.12,24.22,600,0
20160106,23.88,24.03,23.88,24,7033,0
20160107,23.6799,23.6799,23.48,23.48,200,0
20160108,23.27,23.27,23.2699,23.27,326,0
20160111,23,23.07,23,23.07,1000,0
20160112,23.25,23.25,23.24,23.24,302,0
20160115,22.63,22.63,22.5,22.5,300,0
20160119,22.76,22.77,22.76,22.77,300,0
20160120,22.26,22.5,22,22.5,500,0
20160129,24.15,24.15,24.15,24.15,100,0
20160201,23.91,24.08,23.91,24.07,3130,0
20160204,24.05,24.05,24.05,24.05,100,0
20160205,24.13,24.13,24.0836,24.0836,200,0
20160209,23.44,23.44,23.44,23.44,100,0
20160211,23.38,23.45,23.3672,23.3672,1900,0
20160212,23.41,23.41,23.41,23.41,400,0
20160219,24.11,24.2299,24.11,24.22,300,0
20160224,24.1899,24.1899,24.1899,24.1899,250,0
20160226,24.23,24.23,24.23,24.23,350,0
20160304,25.9003,25.9003,25.9003,25.9003,100,0
20160307,25.9,26.04,25.82,26.04,1100,0
20160308,25.81,25.81,25.81,25.81,200,0
20160315,25.82,25.82,25.82,25.82,250,0
20160323,26.64,26.64,26.64,26.64,100,0
20160324,26.51,26.51,26.35,26.35,579,0
20160405,26.81,26.81,26.53,26.53,200,0
20160407,26.43,26.43,26.43,26.43,100,0
20160411,27.23,27.23,27.1,27.1,231,0
20160413,27.83,27.83,27.83,27.83,112372,0
20160414,27.74,27.74,27.74,27.74,100,0
20160415,27.63,27.63,27.61,27.63,300,0
