Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.137,6.2021,6.1174,6.1434,5354,0
20050228,5.9868,6.2677,5.9544,6.0198,9663,0
20050301,6.111,6.3067,6.111,6.111,7296,0
20050302,6.1697,6.3067,6.1697,6.2087,7054,0
20050303,6.0913,6.2479,6.0457,6.1892,8433,0
20050304,6.2739,6.2739,5.9086,6.0783,7666,0
20050307,5.9347,6.2412,5.9347,5.9934,20653,0
20050308,6.0198,6.0198,5.9999,6.0066,2610,0
20050309,6.0521,6.1241,5.9999,6.0066,20241,0
20050310,6.0326,6.0326,6.0198,6.0198,14106,0
20050311,6.0262,6.0326,6.0198,6.0198,17535,0
20050314,5.9999,5.9999,5.9999,5.9999,1227,0
20050315,6.0262,6.0587,6.0198,6.0198,20701,0
20050316,6.0326,6.0326,6.0326,6.0326,2911,0
20050317,6.0326,6.0587,6.0198,6.0198,8279,0
20050318,6.0326,6.3586,6.0326,6.3586,1840,0
20050321,6.0913,6.111,6.0783,6.0783,612,0
20050322,5.9934,5.9999,5.9934,5.9934,2473,0
20050323,6.0717,6.0783,6.0717,6.0783,458,0
20050324,6.0783,6.0913,6.0783,6.0913,1717,0
20050328,5.9934,6.0717,5.9934,6.0717,1232,0
20050329,6.0849,6.111,6.0783,6.0783,921,0
20050330,5.9934,6.1632,5.9934,5.9934,2802,0
20050331,6.111,6.111,6.0783,6.0783,5058,0
20050401,6.137,6.137,6.0391,6.0391,1154,0
20050404,5.9677,5.9868,5.9677,5.9868,1534,0
20050405,5.8761,5.9347,5.8761,5.9347,1992,0
20050406,5.9218,5.9218,5.8826,5.8826,1840,0
20050407,5.8761,5.8761,5.8499,5.8499,765,0
20050408,5.8499,5.8761,5.8173,5.8761,1992,0
20050411,5.8761,5.9347,5.8761,5.8761,1151,0
20050412,5.8761,5.9934,5.8173,5.9934,7357,0
20050413,5.8499,5.8499,5.8242,5.8242,1774,0
20050415,5.8173,5.9677,5.8173,5.9677,10273,0
20050418,5.9347,5.9677,5.8892,5.8892,8668,0
20050419,5.9677,5.9677,5.9677,5.9677,309,0
20050421,5.9677,5.9677,5.8499,5.9677,18705,0
20050422,5.9677,6.0198,5.9677,6.0198,3985,0
20050425,5.7979,5.9677,5.7979,5.8499,19998,0
20050426,5.8761,5.8761,5.8761,5.8761,309,0
20050427,5.9283,5.9283,5.8761,5.9283,4834,0
20050428,5.9283,5.9283,5.8761,5.8761,3511,0
20050429,5.9347,6.1241,5.9347,5.9677,1685,0
20050502,6.1174,6.137,5.9677,6.137,7453,0
20050503,5.8173,6.137,5.8173,6.137,1566,0
20050504,5.9677,6.1241,5.9677,6.1241,1548,0
20050505,6.0913,6.0978,6.0783,6.0783,765,0
20050506,5.9544,5.9677,5.9544,5.9677,1840,0
20050509,6.137,6.1434,6.0198,6.1174,13490,0
20050510,5.8761,6.0717,5.8761,5.9934,1196,0
20050512,5.8761,5.9934,5.8761,5.9934,1247,0
20050513,6.4305,6.4305,6.2282,6.2282,12995,0
20050516,5.8761,6.0783,5.8761,5.8826,13415,0
20050517,5.9934,6.0978,5.9677,6.0783,2857,0
20050518,6.0521,6.1044,6.0521,6.1044,2249,0
20050519,6.0978,6.1044,6.0783,6.1044,3614,0
20050520,5.8631,6.1044,5.8631,5.8696,3426,0
20050524,6.0849,6.0849,6.0521,6.0521,3144,0
20050525,6.0262,6.0262,6.0198,6.0198,458,0
20050526,6.0198,6.0198,6.0198,6.0198,12757,0
20050527,6.0198,6.0262,6.0198,6.0262,3657,0
20050531,5.8173,5.8499,5.8173,5.8499,1227,0
20050601,6.0262,6.0262,6.0262,6.0262,576,0
20050603,5.8368,5.9609,5.8368,5.8499,2818,0
20050606,5.8826,5.9347,5.8826,5.9347,67934,0
20050607,6.0326,6.0326,5.8761,5.8761,6720,0
20050608,5.9283,5.9544,5.9283,5.9347,1840,0
20050609,5.8958,5.9086,5.8958,5.8958,1334,0
20050610,5.9153,5.9544,5.8761,5.9544,921,0
20050613,6.0066,6.0066,5.9347,5.9347,3878,0
20050614,5.8761,5.8826,5.8761,5.8826,2911,0
20050615,5.8761,6.0198,5.8761,6.0198,2144,0
20050616,5.8761,5.9086,5.8761,5.8826,6749,0
20050617,5.8826,5.8892,5.8565,5.8631,6900,0
20050620,5.8958,6.0198,5.8761,6.0198,8365,0
20050621,6.0198,6.0198,5.9934,5.9934,4170,0
20050622,5.9999,6.0326,5.9868,6.0326,1076,0
20050623,6.0262,6.0326,6.0066,6.0326,458,0
20050624,5.9086,6.0326,5.9086,6.0326,5208,0
20050627,5.9086,5.9347,5.9086,5.9347,1858,0
20050628,5.9934,5.9934,5.9347,5.9347,1534,0
20050629,6.0391,6.0783,5.9999,6.0783,8587,0
20050630,5.9934,6.0783,5.9347,5.9415,36652,0
20050701,5.9086,5.9086,5.9086,5.9086,550,0
20050705,6.2282,6.2282,5.9677,5.9934,3374,0
20050708,5.9415,5.9415,5.8892,5.8892,309,0
20050711,5.9283,5.9283,5.9022,5.9022,1992,0
20050712,5.9022,5.9153,5.8826,5.8826,4709,0
20050713,5.8958,5.8958,5.8958,5.8958,767,0
20050714,5.8958,5.9677,5.8958,5.9677,3795,0
20050718,6.0198,6.0783,5.9153,5.9153,10305,0
20050719,5.9347,5.9934,5.9347,5.9805,4395,0
20050720,6.0783,6.0783,6.0391,6.0457,4491,0
20050722,6.0198,6.0262,6.0198,6.0198,9507,0
20050725,5.9347,6.0849,5.9347,6.0198,6440,0
20050726,6.137,6.137,6.0262,6.0262,19983,0
20050727,6.0198,6.0198,6.0198,6.0198,2575,0
20050728,6.0198,6.0198,6.0198,6.0198,3985,0
20050729,5.8173,5.9868,5.8173,5.9868,954,0
20050801,5.9478,5.9478,5.9478,5.9478,2264,0
20050802,5.9347,5.9609,5.9086,5.9086,8902,0
20050803,5.9347,5.9347,5.9086,5.9086,4174,0
20050804,5.9347,5.9347,5.9086,5.9086,2299,0
20050805,5.9086,5.9153,5.9086,5.9153,1534,0
20050808,5.9153,5.9218,5.9153,5.9218,1079,0
20050809,5.9347,5.9609,5.9347,5.9415,2169,0
20050810,5.9347,5.9415,5.9347,5.9415,1024,0
20050811,5.9347,5.9677,5.9347,5.9347,24841,0
20050812,5.9934,5.9934,5.9415,5.9415,309,0
20050815,6.0521,6.0521,6.0262,6.0521,1840,0
20050816,5.9347,5.9347,5.9347,5.9347,152,0
20050817,5.9677,5.9677,5.9415,5.9415,309,0
20050818,5.9347,5.9677,5.9347,5.9415,2408,0
20050822,5.9153,6.137,5.8435,6.0783,15949,0
20050823,6.0783,6.0783,6.0391,6.0391,3094,0
20050825,6.0717,6.137,6.0653,6.137,5207,0
20050826,6.137,6.1434,6.137,6.1434,1080,0
20050829,5.9677,5.9999,5.9677,5.9934,1227,0
20050830,5.9934,5.9934,5.9934,5.9934,309,0
20050831,5.7979,5.8242,5.7913,5.8173,1335,0
20050901,5.6153,5.8499,5.6153,5.8499,765,0
20050902,5.7913,5.7913,5.7913,5.7913,647,0
20050906,5.7065,5.7065,5.7065,5.7065,3681,0
20050907,5.7913,5.8631,5.7913,5.8631,42581,0
20050908,5.9086,5.9086,5.6804,5.6804,1543,0
20050909,5.6804,5.6804,5.5892,5.5892,1447,0
20050912,5.7522,5.7522,5.5305,5.5305,4482,0
20050913,5.3869,5.5501,5.0935,5.1523,8413,0
20050914,4.95,5.3413,4.95,5.2565,3374,0
20050915,5.2695,5.4131,5.2695,5.4131,2911,0
20050916,5.3023,5.4523,5.3023,5.3282,3879,0
20050919,5.3348,5.3544,5.3348,5.3544,2672,0
20050920,5.4715,5.5043,5.4653,5.4653,2548,0
20050921,5.361,5.537,5.361,5.537,6812,0
20050922,5.5305,5.5305,5.3869,5.3869,314,0
20050923,5.3674,5.4131,5.2175,5.3348,5674,0
20050926,5.2175,5.3282,5.2175,5.3282,1408,0
20050927,5.3282,5.3544,5.3282,5.3282,4774,0
20050928,5.3282,5.3478,5.2435,5.3478,3374,0
20050929,5.3282,5.3282,5.3282,5.3282,458,0
20050930,5.3934,5.3934,5.3934,5.3934,921,0
20051003,5.3348,5.4196,5.3348,5.4196,4847,0
20051004,5.4457,5.4457,5.4391,5.4391,9354,0
20051006,5.3741,5.3741,5.3023,5.3023,13646,0
20051007,5.276,5.276,5.276,5.276,765,0
20051010,5.3282,5.3282,5.3282,5.3282,612,0
20051012,5.2958,5.3282,5.2958,5.3218,6286,0
20051014,5.1326,5.1326,5.1262,5.1262,462,0
20051017,5.3023,5.3023,5.2175,5.2175,4159,0
20051018,5.2108,5.2108,5.1064,5.1326,622,0
20051019,5.0674,5.0674,5.0674,5.0674,152,0
20051020,5.0609,5.0609,4.7807,4.8914,1840,0
20051021,4.7348,4.8981,4.7348,4.8981,465,0
20051024,4.95,4.9828,4.95,4.9828,765,0
20051026,4.9239,4.9239,4.8327,4.8327,1647,0
20051027,4.7216,4.7285,4.6371,4.7285,3246,0
20051028,4.6305,4.7023,4.5197,4.7023,2817,0
20051031,4.7216,4.7544,4.7216,4.7544,1833,0
20051101,4.474,4.7285,4.474,4.7285,2618,0
20051102,4.4676,4.7676,4.4608,4.7676,582,0
20051103,4.6371,4.6694,4.6305,4.6371,2483,0
20051104,4.4937,4.6041,4.4937,4.6041,1534,0
20051107,4.6041,4.7478,4.6041,4.7478,3073,0
20051108,4.8848,4.8848,4.7544,4.7544,309,0
20051109,4.7807,4.8327,4.7807,4.8327,1873,0
20051110,4.8327,4.8327,4.8327,4.8327,152,0
20051111,4.8651,4.8651,4.7807,4.7807,1840,0
20051114,4.7807,4.8914,4.7807,4.7807,4088,0
20051115,4.7807,4.9174,4.7807,4.8783,5647,0
20051116,4.8848,4.8848,4.7478,4.8327,2152,0
20051117,4.8391,4.9239,4.6694,4.6694,1807,0
20051118,4.6694,4.9762,4.6632,4.6632,1384,0
20051121,4.7414,4.7414,4.7414,4.7414,765,0
20051122,4.6632,4.8981,4.5,4.8981,3980,0
20051123,4.6762,4.8848,4.6762,4.8391,12714,0
20051128,4.8327,4.8327,4.6892,4.8327,9160,0
20051129,4.5262,5.0869,4.5262,4.7807,1358,0
20051130,4.9174,4.9174,4.8067,4.9174,3865,0
20051201,4.7154,4.9174,4.7154,4.826,7054,0
20051202,4.7478,4.9239,4.7478,4.9239,765,0
20051205,4.7285,4.9239,4.7285,4.7414,4597,0
20051206,4.7478,4.9174,4.7285,4.7478,34976,0
20051207,4.7807,4.7807,4.7807,4.7807,1840,0
20051208,4.7478,4.9174,4.7478,4.7934,674,0
20051209,4.787,4.787,4.787,4.787,309,0
20051212,4.8848,4.8848,4.5522,4.6305,6289,0
20051213,4.7023,4.8848,4.7023,4.8783,917,0
20051214,4.7087,4.7478,4.7023,4.7023,2478,0
20051215,4.7414,4.7414,4.7414,4.7414,612,0
20051216,4.7807,4.7807,4.7807,4.7807,612,0
20051219,4.8067,4.8067,4.7807,4.7807,3985,0
20051220,4.8848,4.8848,4.8848,4.8848,152,0
20051221,4.7023,4.7478,4.6305,4.6892,5136,0
20051222,4.7807,4.7807,4.5718,4.6305,76460,0
20051223,4.5197,4.6305,4.5197,4.6305,1076,0
20051227,4.5457,4.5457,4.5457,4.5457,3356,0
20051228,4.6305,4.7348,4.6305,4.6762,951,0
20051229,4.5718,4.9174,4.5718,4.9174,2334,0
20051230,4.5849,4.6892,4.5849,4.6892,3215,0
20060103,4.9304,4.9565,4.7739,4.9239,19315,0
20060104,4.8848,4.9239,4.7348,4.9239,3105,0
20060109,4.696,4.95,4.696,4.8651,5750,0
20060110,4.7285,4.7285,4.7285,4.7285,152,0
20060111,4.7216,4.7216,4.298,4.6305,18138,0
20060112,4.8522,4.8522,4.8327,4.8327,413,0
20060113,4.8327,4.8327,4.6305,4.7285,4791,0
20060117,4.6305,4.8067,4.6305,4.7807,4606,0
20060118,4.6305,4.8067,4.6305,4.7739,1827,0
20060119,4.6892,4.7478,4.6892,4.7478,1151,0
20060120,4.6371,4.6371,4.6305,4.6305,458,0
20060123,4.6305,4.6892,4.624,4.6433,3795,0
20060124,4.6501,4.7285,4.5913,4.5913,2014,0
20060125,4.5718,4.6305,4.4416,4.6305,12551,0
20060126,4.6501,4.7609,4.6501,4.696,1811,0
20060127,4.7739,4.7807,4.7739,4.7807,1685,0
20060130,4.7478,4.7478,4.7478,4.7478,921,0
20060131,4.7609,4.8651,4.7609,4.8651,477,0
20060201,4.8067,4.9629,4.8067,4.9629,921,0
20060202,4.7807,4.7807,4.7807,4.7807,475,0
20060203,4.7807,4.7807,4.7807,4.7807,764,0
20060206,4.6632,4.7023,4.6371,4.6565,979,0
20060208,4.7216,4.7216,4.624,4.7216,2245,0
20060209,4.6892,4.6892,4.6892,4.6892,921,0
20060210,4.624,4.624,4.624,4.624,458,0
20060213,4.624,4.7154,4.6175,4.7087,2071,0
20060214,4.7087,4.7154,4.6041,4.6041,5674,0
20060215,4.5718,4.5718,4.5718,4.5718,385,0
20060216,4.5718,4.5718,4.4087,4.5392,5136,0
20060217,4.4217,4.6041,4.3434,4.4937,12577,0
20060221,4.4348,4.4545,4.4283,4.4283,7362,0
20060222,4.4348,4.7216,4.4283,4.5653,28151,0
20060223,4.5849,4.6632,4.5849,4.6632,5978,0
20060227,4.6565,4.6565,4.5197,4.6565,4949,0
20060228,4.5457,4.6632,4.5457,4.6632,11116,0
20060301,4.7154,4.7154,4.7154,4.7154,1151,0
20060302,4.7807,4.7807,4.6694,4.7807,14255,0
20060303,4.7216,4.7478,4.7216,4.7478,67003,0
20060306,4.6371,4.7285,4.6371,4.7285,7650,0
20060307,4.7216,4.7348,4.7216,4.7216,6437,0
20060308,4.6632,4.6892,4.6632,4.6892,612,0
20060309,4.6892,4.6892,4.6632,4.6632,59653,0
20060310,4.6694,4.6892,4.6632,4.6632,12756,0
20060313,4.8067,4.8067,4.7023,4.7023,21625,0
20060314,4.6632,4.7216,4.6632,4.6632,55305,0
20060315,4.6762,5.1262,4.6762,4.8131,3273,0
20060316,4.9239,4.9239,4.9239,4.9239,612,0
20060317,4.7478,4.7478,4.6762,4.6762,1440,0
20060320,4.6632,4.7807,4.6632,4.7807,1667,0
20060321,4.7807,4.7807,4.7807,4.7807,458,0
20060322,4.7807,4.7807,4.7676,4.7676,2299,0
20060323,4.7609,4.7609,4.6632,4.6632,3068,0
20060324,4.6824,4.6824,4.6824,4.6824,474,0
20060327,4.6632,4.6632,4.6632,4.6632,766,0
20060403,4.6632,4.6632,4.6632,4.6632,323,0
20060404,4.6694,4.7934,4.6632,4.7934,1755,0
20060405,4.6694,4.6694,4.6694,4.6694,309,0
20060407,4.6305,4.6305,4.6041,4.6041,1840,0
20060411,4.7807,4.7807,4.6632,4.6632,2905,0
20060412,4.6632,4.6632,4.6632,4.6632,152,0
20060413,4.787,4.787,4.6632,4.6632,309,0
20060417,4.5783,4.6632,4.5783,4.5783,13004,0
20060418,4.5783,4.5783,4.513,4.513,2049,0
20060419,4.4868,4.4868,4.4023,4.4023,5262,0
20060420,4.4023,4.4283,4.4023,4.4023,2144,0
20060421,4.5,4.5,4.4087,4.4087,765,0
20060426,4.7739,4.7739,4.3501,4.3501,5674,0
20060427,4.5262,4.7478,4.4805,4.6041,25718,0
20060428,4.7807,4.7807,4.4348,4.4348,2509,0
20060502,4.5,4.5,4.3434,4.3695,1413,0
20060503,4.3434,4.5457,4.3434,4.3695,8660,0
20060505,4.2851,4.5457,4.2851,4.5457,4149,0
20060508,4.5197,4.5718,4.3434,4.3501,2762,0
20060509,4.4868,4.4868,4.3564,4.4153,2107,0
20060510,4.3501,4.3631,4.3373,4.3373,2383,0
20060511,4.1999,4.3434,4.1999,4.3434,1361,0
