Date,Open,High,Low,Close,Volume,OpenInt
20061030,6,6,6,6,0,0
20061031,6.75,7,6.75,7,4800,0
20061101,7,15.93,6.83,10.8,435711,0
20061102,11.6,13.6,11,11.4,599108,0
20061103,11.99,12.1,10.35,10.65,160391,0
20061106,11.5,12.4,11,11.47,276629,0
20061107,11.74,11.75,10.85,11.38,46373,0
20061108,11.54,11.54,10.62,11.04,42884,0
20061109,11,14.43,10.52,14.28,635370,0
20061110,14.9,20.16,14.51,19.89,1765660,0
20061113,22.77,29.55,21.75,29.49,3194613,0
20061114,34.67,48.64,33.81,43.6,14267029,0
20061115,39.66,41.73,29.66,29.89,5182968,0
20061116,34.45,38.23,33.09,34.35,2987862,0
20061117,34.95,36.72,32.64,33.8,1483082,0
20061120,35,41.37,33.6,41.3,2202811,0
20061121,44.9,49.9,41.18,43.48,8188586,0
20061122,46.42,48.14,44.51,45.78,3378645,0
20061124,46.57,48,44.8,45.93,1769456,0
20061127,46,47.5,43.06,43.5,1491013,0
20061128,44.28,45,40.36,41.75,957186,0
20061129,42.64,42.9,38.56,39.73,830455,0
20061130,38.86,39.23,36.6,36.85,663884,0
20061201,37.7,42.36,35,42.24,2140513,0
20061204,41.76,43.24,40.01,40.1,945585,0
20061205,40.1,40.88,39,39.29,337654,0
20061206,39.6,42.7,39.3,40.69,1009054,0
20061207,39.75,41.87,39.75,40.35,336733,0
20061208,40.67,41.44,39.25,39.66,242760,0
20061211,39.66,41.97,39.22,40.3,573472,0
20061212,40.38,41.48,39.54,40.27,291214,0
20061213,40.89,41.19,37.1,38.35,382284,0
20061214,37.6,38.54,37.01,37.35,233702,0
20061215,38.34,40.4,37.3,37.85,718278,0
20061218,38.52,39.05,37.07,37.44,187553,0
20061219,37.04,37.5,36.02,36.19,220805,0
20061220,36,37.44,36,36.6,165477,0
20061221,36.6,36.88,34.55,34.71,160353,0
20061222,34.72,34.9,32.18,32.24,243533,0
20061226,32.67,33.86,30.72,31.24,257804,0
20061227,30.96,37.93,30.16,37.3,1186038,0
20061228,38.51,39.93,36.83,37.22,1557675,0
20061229,36.59,36.98,34,34.04,408451,0
20070103,35.4,36.35,33.5,33.94,191674,0
20070104,34,35.95,33.45,34.2,142480,0
20070105,34.9,34.9,33.16,33.6,96866,0
20070108,34,35.88,33.31,34.3,215591,0
20070109,36.35,37.26,34.6,35,423314,0
20070110,34.67,36.71,33.75,34.78,460348,0
20070111,34.68,35.75,34.01,34.3,181132,0
20070112,34.28,36.2,34.16,34.37,419230,0
20070116,35.27,35.3,33.65,33.99,203370,0
20070117,34.66,34.66,33.1,33.6,126643,0
20070118,33.22,33.49,32.38,32.57,102035,0
20070119,32.03,32.66,31.21,31.41,78073,0
20070122,36.29,38.84,34.21,34.41,2932287,0
20070123,34.34,35.35,32.91,33.08,567873,0
20070124,33.26,33.72,33,33.24,157829,0
20070125,33.26,35.56,33,34.39,505888,0
20070126,34.2,34.94,33.38,33.5,123421,0
20070129,33.1,34.45,33.1,33.23,98890,0
20070130,33.55,33.99,33.23,33.49,59492,0
20070131,36.7,37.8,34.03,34.05,795820,0
20070201,34.3,34.74,33.5,33.69,143157,0
20070202,33.77,36.09,33.53,34.08,399377,0
20070205,33.82,34.7,33.82,33.96,71331,0
20070206,34.4,34.49,33.8,33.97,65648,0
20070207,34.4,35.5,33.5,34.13,235790,0
20070208,33.97,34.37,33.67,33.9,66964,0
20070209,34.18,34.18,32.5,32.98,146022,0
20070212,34.28,34.79,33.01,33.05,186403,0
20070213,32.96,33.29,32.45,32.74,78352,0
20070214,32.75,32.81,31.75,32.35,73033,0
20070215,31.89,32.65,31.41,31.61,101935,0
20070216,31.8,32.69,31.5,31.94,72314,0
20070220,32.1,33.5,31.6,32.11,94450,0
20070221,31.85,32.67,31.82,31.92,43435,0
20070222,31.8,32,31.3,31.79,48864,0
20070223,31.35,31.8,31.32,31.4,26387,0
20070226,31.23,31.49,30.7,30.8,48219,0
20070227,28.97,29.32,27.66,28,168389,0
20070228,27.9,27.9,26.27,26.81,153065,0
20070301,26.12,26.12,24.9,25.37,149109,0
20070302,25.72,27.95,25.37,26.15,284997,0
20070305,25.82,25.9,24.35,24.35,119840,0
20070306,25.75,26,24.35,24.53,121449,0
20070307,25.02,25.02,23.53,23.67,117325,0
20070308,23.85,24.68,23.35,23.54,98041,0
20070309,23.47,23.61,22.28,22.67,137108,0
20070312,22.5,23.23,22.28,22.33,52339,0
20070313,22.33,22.65,21.14,21.32,79499,0
20070314,21.05,21.15,19.38,19.56,287984,0
20070315,20.28,21.89,19.94,20.47,338872,0
20070316,20.28,20.88,19.4,19.5,121181,0
20070319,19.48,20.3,18.68,19.1,120503,0
20070320,19.7,21.18,19.1,20.6,329880,0
20070321,20.47,21.9,20.47,21.1,156034,0
20070322,21.25,21.75,20.69,21.02,108490,0
20070323,21.2,24.21,21.06,24.07,655308,0
20070326,24.01,24.49,23.15,23.87,219547,0
20070327,23.96,24.07,22.73,22.75,139173,0
20070328,22.21,22.5,21.56,21.79,98886,0
20070329,22.67,22.67,20.94,21.34,98045,0
20070330,21.95,22.35,20.57,20.83,138670,0
