Date,Open,High,Low,Close,Volume,OpenInt
20071108,4.2032,4.2032,4.2032,4.2032,0,0
20071109,4.0984,4.2981,3.946,4.2402,2041642,0
20071112,4.2032,4.2479,4.1562,4.2376,374108,0
20071113,4.2164,4.374,4.2164,4.374,122126,0
20071114,4.374,4.374,4.3376,4.361,734676,0
20071115,4.3636,4.3663,4.277,4.3085,101756,0
20071116,4.2902,4.3348,4.2824,4.3298,51344,0
20071119,4.2954,4.3192,4.2876,4.2876,8096,0
20071120,4.2954,4.2954,4.2428,4.2665,56579,0
20071121,4.2716,4.2716,4.2164,4.2192,19390,0
20071123,4.2297,4.2324,4.2007,4.2243,20556,0
20071126,4.2297,4.2428,4.2164,4.2297,29312,0
20071127,4.2297,4.2665,4.206,4.227,82221,0
20071128,4.2507,4.2692,4.2297,4.2297,34638,0
20071129,4.2561,4.2824,4.2428,4.2824,51974,0
20071130,4.3219,4.3348,4.2849,4.3348,16066,0
20071203,4.3348,4.3348,4.3298,4.3348,6098,0
20071204,4.3348,4.3376,4.3085,4.3348,11044,0
20071205,4.3376,4.3376,4.2032,4.2428,27018,0
20071206,4.2455,4.2611,4.2428,4.2479,28830,0
20071207,4.2428,4.2797,4.1902,4.2192,32740,0
20071210,4.2324,4.2665,4.2324,4.2561,78738,0
20071211,4.2561,4.2561,4.1508,4.2164,141086,0
20071212,4.2032,4.2297,4.1377,4.1377,78032,0
20071213,4.1116,4.1405,4.0064,4.0092,69318,0
20071214,4.0197,4.0984,4.0092,4.0984,85858,0
20071217,4.0984,4.1222,4.0984,4.1036,24948,0
20071218,4.1141,4.1141,3.8146,3.8146,99004,0
20071219,3.8776,3.8776,3.6859,3.6859,111840,0
20071220,3.6808,3.6913,3.389,3.481,190042,0
20071221,3.481,3.6466,3.179,3.179,1521233,0
20071224,3.1922,3.7962,3.1922,3.7884,404486,0
20071226,3.7857,3.9014,3.5598,3.8882,156380,0
20071227,3.849,3.9223,3.6255,3.6676,215282,0
20071228,3.6676,3.8226,3.6122,3.712,169400,0
20071231,3.7938,3.8828,3.6518,3.783,209307,0
20080102,3.7489,3.8067,3.6098,3.6122,82100,0
20080103,3.6122,3.6255,3.2315,3.3234,369895,0
20080104,3.2574,3.3234,2.832,2.89,413454,0
20080107,2.9055,3.0999,2.89,2.9923,268164,0
20080108,2.9978,3.0739,2.9055,2.9215,218775,0
20080109,2.9266,3.0685,2.916,2.961,157054,0
20080110,2.9659,2.9978,2.811,2.945,709526,0
20080111,2.89,2.89,2.8189,2.8294,59614,0
20080114,2.8243,3.0056,2.8243,2.8872,117746,0
20080115,2.89,2.8977,2.6534,2.7794,100728,0
20080116,2.777,2.8374,2.777,2.811,429696,0
20080117,2.8243,3.1526,2.8033,2.8347,45236,0
20080118,2.811,2.9502,2.811,2.8792,55836,0
20080122,3.1107,3.1263,2.7848,2.8977,149472,0
20080123,2.8768,2.9477,2.7902,2.8033,148636,0
20080124,2.811,2.811,2.7533,2.7926,259028,0
20080125,2.798,2.811,2.7452,2.7533,62153,0
20080128,2.6903,2.9556,2.685,2.7715,113196,0
20080129,2.7583,2.777,2.7452,2.7715,20990,0
20080130,2.798,2.8216,2.7188,2.7188,551824,0
20080131,2.693,2.693,2.5273,2.5772,106598,0
20080201,2.635,2.7137,2.5613,2.5718,1272573,0
20080204,2.5718,2.7926,2.5718,2.6745,461135,0
20080205,2.7008,2.7688,2.5877,2.5902,153516,0
20080206,2.6062,2.6404,2.5746,2.5849,113376,0
20080207,2.5902,2.6745,2.5902,2.6218,113798,0
20080208,2.6272,2.6404,2.5798,2.6377,68066,0
20080211,2.6404,2.6404,2.5482,2.5877,44102,0
20080212,2.6508,2.6508,2.6008,2.6218,121262,0
20080213,2.6404,2.7688,2.6035,2.6244,194630,0
20080214,2.6244,2.6244,2.5613,2.5613,60512,0
20080215,2.5613,2.5613,2.333,2.3881,673844,0
20080219,2.4248,2.4958,2.3249,2.3461,251482,0
20080220,2.3645,2.4432,2.3645,2.3907,188524,0
20080221,2.4564,2.5562,2.43,2.4354,42390,0
20080222,2.43,2.459,2.3645,2.3722,41402,0
20080225,2.5981,2.5981,2.3828,2.438,46866,0
20080226,2.4958,2.4958,2.367,2.4013,38910,0
20080227,2.3645,2.48,2.3645,2.3854,134662,0
20080228,2.4485,2.4485,2.2856,2.3171,124224,0
20080229,2.3118,2.3645,2.1989,2.275,138032,0
20080303,2.2593,2.2724,2.1149,2.1358,110146,0
20080304,2.1489,2.1779,2.0938,2.1018,130670,0
20080305,2.107,2.17,2.0807,2.0938,160259,0
20080306,2.1018,2.1018,1.9704,1.9756,222018,0
20080307,2.0782,2.3408,2.023,2.2724,222760,0
20080310,2.3645,2.5037,2.3224,2.3541,168406,0
20080311,2.4221,2.6454,2.3934,2.6454,55872,0
20080312,2.7559,2.7742,2.5352,2.7715,131096,0
20080313,2.8006,2.8508,2.7848,2.8374,101672,0
20080314,2.8585,2.8585,2.7375,2.761,68304,0
20080317,2.8138,2.8138,2.3907,2.4747,34772,0
20080318,2.438,2.4958,2.438,2.4958,47698,0
20080319,2.564,2.6745,2.4432,2.4432,93714,0
20080320,2.4406,2.4406,2.1832,2.3722,310223,0
20080324,2.4221,2.4538,2.367,2.4039,111014,0
20080325,2.4039,2.43,2.3907,2.4065,47142,0
20080326,2.396,2.4248,2.3881,2.4039,39380,0
20080327,2.4327,2.4327,2.2778,2.3013,34558,0
20080328,2.2988,2.438,2.2988,2.333,21110,0
20080331,2.3934,2.4904,2.3934,2.4354,31160,0
20080401,2.4958,2.4958,2.43,2.4904,52376,0
20080402,2.4958,2.4958,2.4221,2.4695,26550,0
20080403,2.4432,2.4826,2.3986,2.4695,42484,0
20080404,2.4747,2.4852,2.4171,2.4826,107847,0
20080407,2.5562,2.5562,2.43,2.43,516260,0
20080408,2.43,2.459,2.43,2.438,34484,0
20080409,2.4432,2.4432,2.4171,2.43,49274,0
20080410,2.43,2.5694,2.4092,2.5694,30862,0
20080411,2.5326,2.5326,2.43,2.438,84676,0
20080414,2.4747,2.5064,2.4617,2.4644,114565,0
20080415,2.4747,2.4958,2.4039,2.4354,249902,0
20080416,2.4644,2.4958,2.4327,2.4747,50636,0
