Date,Open,High,Low,Close,Volume,OpenInt
20160401,100.05,100.05,100.05,100.05,4074,0
20160402,100.05,100.05,100.05,100.05,4074,0
20160404,100.05,100.05,100.05,100.05,6450,0
20160405,100.05,100.05,100.05,100.05,4750,0
20160406,100.06,100.06,100.06,100.06,4110,0
20160407,100.06,100.06,100.06,100.06,4950,0
20160408,100.06,100.06,100.06,100.06,2475,0
20160409,100.06,100.06,100.06,100.06,2486,0
20160411,100.06,100.06,100.06,100.06,2650,0
20160412,100.06,100.06,100.06,100.06,6715,0
20160413,100.06,100.06,100.06,100.06,4965,0
20160414,100.05,100.05,100.05,100.05,7000,0
20160415,100.03,100.05,100.03,100.05,100,0
