Date,Open,High,Low,Close,Volume,OpenInt
20160401,100.01,100.01,100.01,100.01,4736,0
20160402,100.01,100.01,100.01,100.01,4736,0
20160404,100.01,100.01,100.01,100.01,5940,0
20160405,100.01,100.01,100.01,100.01,4925,0
20160406,100.01,100.01,100.01,100.01,3875,0
20160407,100.01,100.01,100.01,100.01,5120,0
20160408,100.01,100.01,100.01,100.01,2650,0
20160409,100.01,100.01,100.01,100.01,2650,0
20160411,100.01,100.01,100.01,100.01,2225,0
20160412,100.01,100.01,100.01,100.01,6175,0
20160413,100.01,100.01,100.01,100.01,5160,0
20160414,99.99,100.01,99.99,100.01,5519,0
20160415,100.01,100.01,100.01,100.01,1500,0
