Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.7907,2.8538,2.7907,2.8087,93760,0
20050228,2.7907,2.8901,2.7725,2.8087,263886,0
20050301,2.7818,2.8446,2.7725,2.7818,78639,0
20050302,2.7635,2.872,2.7635,2.7818,134871,0
20050303,2.7907,2.8358,2.7725,2.7996,117404,0
20050304,2.8177,2.9622,2.8087,2.9172,230277,0
20050307,2.881,2.9622,2.5469,2.6461,628893,0
20050308,2.5738,2.6822,2.4564,2.4836,369121,0
20050309,2.4836,2.601,2.4564,2.601,278321,0
20050310,2.5828,2.5828,2.4295,2.5018,258025,0
20050311,2.5648,2.601,2.4654,2.5648,166348,0
20050314,2.5648,2.5648,2.4564,2.4836,102205,0
20050315,2.5107,2.5287,2.4385,2.4654,111647,0
20050316,2.5107,2.5107,2.3935,2.4114,118020,0
20050317,2.3935,2.3935,2.1766,2.2218,263641,0
20050318,2.1766,2.2939,1.9779,2.1674,336344,0
20050321,2.1403,2.1403,1.9867,2.0411,321778,0
20050322,1.996,2.0954,1.9867,2.0772,215518,0
20050323,2.0411,2.3482,2.0321,2.2939,183345,0
20050324,2.2577,2.4295,2.2309,2.3031,171522,0
20050328,2.4023,2.4836,2.3164,2.4295,139443,0
20050329,2.4385,2.4836,2.3571,2.4204,187723,0
20050330,2.4295,2.4564,2.2848,2.4295,146994,0
20050331,2.339,2.4385,2.339,2.4157,71267,0
20050401,2.366,2.4564,2.366,2.4385,85026,0
20050404,2.3935,2.4564,2.3482,2.4385,87998,0
20050405,2.366,2.3753,2.1135,2.1855,127298,0
20050406,2.3211,2.3211,2.1493,2.2126,108270,0
20050407,2.2486,2.3031,2.1493,2.1586,58583,0
20050408,2.1586,2.2939,2.1403,2.1855,63909,0
20050411,2.1493,2.1586,2.0321,2.0499,61731,0
20050412,2.1313,2.1313,2.0321,2.0682,60634,0
20050413,2.0591,2.1947,2.0321,2.1224,51337,0
20050414,2.1403,2.1766,2.0411,2.0591,55408,0
20050415,1.996,2.0499,1.9056,1.9148,138605,0
20050418,1.8602,1.996,1.8334,1.8602,103643,0
20050419,1.9148,1.9326,1.8513,1.8785,57738,0
20050420,1.9148,2.005,1.8966,1.9867,54697,0
20050421,2.0682,2.0772,1.8966,1.9417,63903,0
20050422,1.8513,1.996,1.7701,1.7882,279655,0
20050425,1.8154,1.8154,1.6345,1.6708,278770,0
20050426,1.6345,1.6799,1.6166,1.6257,119223,0
20050427,1.6345,1.6528,1.5533,1.5805,131200,0
20050428,1.5985,1.6166,1.5625,1.5714,84043,0
20050429,1.6528,1.6528,1.5805,1.6166,89564,0
20050502,1.6708,1.6708,1.5625,1.5896,100995,0
20050503,1.5896,1.6345,1.5264,1.5896,68935,0
20050504,1.6345,1.725,1.6166,1.6888,96930,0
20050505,1.8063,1.8063,1.5533,1.6978,141053,0
20050506,1.5985,1.8063,1.5896,1.7791,129166,0
20050509,1.8063,1.8426,1.761,1.7882,123371,0
20050510,1.8426,1.9148,1.761,1.761,133486,0
20050511,1.7521,1.7882,1.6888,1.707,32312,0
20050512,1.7521,1.8694,1.7159,1.7791,259799,0
20050513,1.761,1.7701,1.7159,1.734,25624,0
20050516,1.7159,1.7882,1.6708,1.761,53637,0
20050517,1.7159,1.743,1.6888,1.7113,28988,0
20050518,1.6708,1.7973,1.6708,1.761,56527,0
20050519,1.761,1.8694,1.761,1.8602,98410,0
20050520,1.8602,2.0772,1.8602,2.0229,188891,0
20050523,2.1313,2.1313,2.0321,2.0682,121014,0
20050524,2.1224,2.1224,1.9779,2.1044,168059,0
20050525,2.1135,2.5559,2.1135,2.5107,322014,0
20050526,2.601,2.601,2.339,2.4836,244704,0
20050527,2.4474,2.5018,2.3935,2.4564,136109,0
20050531,2.4474,2.4474,2.1855,2.4023,193535,0
20050601,2.33,2.3842,2.312,2.366,154830,0
20050602,2.4295,2.4295,2.2218,2.2486,117474,0
20050603,2.3031,2.4114,2.3031,2.3031,103340,0
20050606,2.339,2.339,2.2577,2.2667,24710,0
20050607,2.2761,2.2761,2.1674,2.1674,108165,0
20050608,2.1855,2.4385,2.0591,2.3571,174564,0
20050609,2.3482,2.366,2.2624,2.3031,45232,0
20050610,2.2397,2.2939,2.2126,2.2486,26198,0
20050613,2.2126,2.2939,2.0772,2.1947,35204,0
20050614,2.2036,2.2939,2.1855,2.2126,53458,0
20050615,2.2218,2.2309,2.1855,2.2218,40041,0
20050616,2.2126,2.2577,2.1766,2.2577,64398,0
20050617,2.2126,2.2939,2.1766,2.2667,61097,0
20050620,2.2126,2.2848,2.1403,2.1855,90514,0
20050621,2.4114,2.8358,2.3935,2.7366,900795,0
20050622,2.7818,3.0707,2.7455,2.872,762414,0
20050623,2.8901,2.9172,2.5469,2.5828,232787,0
20050624,2.6551,2.7455,2.6282,2.6644,67787,0
20050627,2.7003,2.8358,2.5648,2.6551,76429,0
20050628,2.6282,2.7366,2.5738,2.5919,86228,0
20050629,2.5377,2.7635,2.5287,2.601,109981,0
20050630,2.5738,2.6372,2.5738,2.5919,35875,0
20050701,2.5919,2.619,2.3935,2.5018,180756,0
20050705,2.4385,2.5107,2.3571,2.4114,129791,0
20050706,2.3753,2.3935,2.2577,2.2667,197543,0
20050707,2.2761,2.4295,2.2761,2.366,83235,0
20050708,2.3482,2.4295,2.2577,2.339,71866,0
20050711,2.3482,2.4204,2.339,2.3482,35740,0
20050712,2.366,2.4836,2.3482,2.3935,79106,0
20050713,2.3935,2.4564,2.3935,2.3935,34531,0
20050714,2.4204,2.5287,2.312,2.339,138191,0
20050715,2.4746,2.5196,2.4295,2.4385,84442,0
20050718,2.4564,2.4564,2.2667,2.3482,99782,0
20050719,2.3211,2.3935,2.3211,2.366,71277,0
20050720,2.339,2.4023,2.312,2.339,46254,0
20050721,2.33,2.3753,2.2848,2.3571,55284,0
20050722,2.3211,2.3482,2.3031,2.33,25291,0
20050725,2.3031,2.5287,2.3031,2.5018,131219,0
20050726,2.5287,2.5287,2.4474,2.4746,57126,0
20050727,2.4836,2.4836,2.3482,2.3979,110758,0
20050728,2.4385,2.4385,2.3482,2.366,34141,0
20050729,2.3753,2.4295,2.3482,2.4023,67078,0
20050801,2.4295,2.6732,2.366,2.5828,238144,0
