Date,Open,High,Low,Close,Volume,OpenInt
20050720,26.395,26.395,22.929,22.958,675978,0
20050721,23.141,23.612,22.958,23.055,227488,0
20050722,23.63,23.898,22.988,23.862,118311,0
20050725,23.898,23.898,23.178,23.265,82449,0
20050726,23.371,23.371,22.794,23.035,213482,0
20050727,23.035,23.15,22.698,23.103,204420,0
20050728,23.131,23.15,22.948,23.084,194964,0
20050729,23.131,23.371,22.891,23.362,126423,0
20050801,23.256,23.515,23.131,23.371,343670,0
20050802,24.954,24.954,22.689,23.084,624469,0
20050803,23.295,23.295,22.804,22.891,307850,0
20050804,22.814,22.929,22.411,22.651,294138,0
20050805,22.736,22.736,22.218,22.431,431417,0
20050808,22.557,22.698,20.405,21.596,13303311,0
20050809,22.334,22.891,21.615,22.891,10148803,0
20050810,23.217,23.535,22.717,22.746,5350374,0
20050811,22.633,22.824,21.863,21.951,3553110,0
20050812,21.815,21.835,20.636,21.403,3520906,0
20050815,21.596,21.673,20.443,20.578,3104457,0
20050816,20.433,20.733,19.857,20.588,4889535,0
20050817,20.329,21.106,20.3,20.818,2339092,0
20050818,20.433,21.115,20.433,20.873,2794280,0
20050819,20.743,21.019,20.675,20.781,1663294,0
20050822,20.828,20.922,20.348,20.733,3399478,0
20050823,20.52,20.771,20.357,20.588,2246128,0
20050824,20.443,20.903,20.367,20.733,2416392,0
20050825,20.568,21.413,20.568,21.268,1645500,0
20050826,21.25,21.624,21.019,21.223,1125218,0
20050829,21.164,21.596,21.019,21.442,969125,0
20050830,21.154,21.596,21.115,21.498,1263076,0
20050831,21.374,21.528,21.115,21.364,1723548,0
20050901,21.25,21.538,21.174,21.326,1543128,0
20050902,21.298,21.72,20.847,21.471,1913906,0
20050906,20.818,21.644,20.818,21.203,2588544,0
20050907,21.068,21.683,21.028,21.384,1426072,0
20050908,21.278,22.048,21.135,21.547,1334063,0
20050909,21.115,21.452,20.873,21.174,4305846,0
20050912,21.068,21.873,21.068,21.213,2106040,0
20050913,21.442,21.508,21.115,21.184,1559232,0
20050914,21.058,21.25,20.873,20.942,1515592,0
20050915,20.856,20.971,20.205,20.549,2628678,0
20050916,20.395,20.597,19.916,20.156,1983617,0
20050919,19.963,20.452,19.926,20.205,2254802,0
20050920,20.224,20.224,19.926,20.097,1416240,0
20050921,20.578,20.636,17.862,19.82,1868254,0
20050922,19.83,19.839,18.842,19.436,2026887,0
20050923,19.475,19.485,18.957,19.273,1438390,0
20050926,19.225,19.512,19.098,19.234,1595456,0
20050927,19.234,19.456,18.86,19.117,1409652,0
20050928,19.078,19.127,18.85,18.937,1357751,0
20050929,18.823,19.303,18.755,19.215,2384116,0
20050930,18.86,19.186,18.735,19.014,2235863,0
20051003,19.588,20.395,19.387,19.588,2132345,0
20051004,19.617,20.175,19.579,19.763,1402001,0
20051005,19.773,19.935,19.117,19.283,1122532,0
20051006,19.485,19.485,18.87,19.234,766404,0
20051007,19.117,19.579,18.927,19.293,1138773,0
20051010,19.195,19.675,19.098,19.485,921691,0
20051011,19.495,19.753,19.098,19.244,929456,0
20051012,19.147,19.436,18.755,18.86,1292589,0
20051013,18.735,19.108,18.525,18.966,1295116,0
20051014,19.014,20.117,18.908,19.331,999701,0
20051017,19.273,19.675,18.957,19.598,1251729,0
20051018,19.646,19.753,18.908,19.069,626662,0
20051019,19.053,19.186,18.667,18.803,973991,0
20051020,18.735,18.908,18.216,18.716,1225373,0
20051021,18.581,19.137,18.437,18.794,870076,0
20051024,18.833,18.833,18.101,18.495,1656806,0
20051025,18.324,18.466,17.996,18.073,1023360,0
20051026,18.045,18.265,17.765,17.986,982656,0
20051027,18.314,18.334,17.947,18.073,1208050,0
20051028,17.842,18.131,17.833,18.025,1265418,0
20051031,17.862,18.456,17.746,18.093,1883233,0
20051101,17.928,18.417,17.928,18.275,1713172,0
20051102,18.178,18.755,18.045,18.619,1717782,0
20051103,19.675,20.127,19.322,19.877,4723559,0
20051104,22.537,23.15,21.307,21.815,9098070,0
20051107,21.883,21.951,21.174,21.72,1507832,0
20051108,21.518,21.979,21.019,21.683,1468446,0
20051109,21.711,21.873,21.135,21.403,1756482,0
20051110,21.213,21.557,21.028,21.115,1348496,0
20051111,21.106,21.232,20.52,20.636,1431274,0
20051114,20.636,20.942,20.3,20.704,1979273,0
20051115,20.597,20.723,20.234,20.645,1378380,0
20051116,20.818,21.193,20.51,20.549,1198813,0
20051117,20.588,20.989,20.309,20.781,2360115,0
20051118,20.781,21.028,20.684,20.828,1737758,0
20051121,20.809,21.979,20.809,21.692,4750646,0
20051122,21.806,22.736,21.518,22.459,3956466,0
20051123,22.171,22.459,21.644,21.883,2359546,0
20051125,22.018,22.478,22.018,22.208,402817,0
20051128,22.402,22.527,21.999,22.256,1345026,0
20051129,22.2,23.275,22.171,22.708,4067214,0
20051130,23.006,23.985,22.785,23.888,5775259,0
20051201,23.888,24.072,23.64,23.843,3019242,0
20051202,23.657,23.927,23.419,23.898,981135,0
20051205,23.967,23.967,23.169,23.4,2294968,0
20051206,23.64,23.794,23.236,23.334,1409522,0
20051207,23.236,23.804,23.236,23.592,2075337,0
20051208,23.515,23.774,23.227,23.63,1101289,0
20051209,23.563,24.11,23.353,23.898,2044144,0
20051212,24.235,24.283,23.612,24.186,1467841,0
20051213,24.138,24.407,23.735,24.11,1857728,0
20051214,24.196,24.455,23.813,24.341,1444243,0
