Date,Open,High,Low,Close,Volume,OpenInt
20110802,11.787,11.787,11.361,11.361,83286,0
20110803,11.361,11.632,11.282,11.399,40732,0
20110804,11.282,11.282,11.05,11.05,46898,0
20110805,11.167,11.167,10.663,10.663,57031,0
20110808,10.857,11.089,10.003,10.119,86553,0
20110809,10.895,10.895,9.771,10.275,99131,0
20110810,10.082,10.352,9.2667,9.577,72047,0
20110811,9.577,10.314,9.577,9.849,126544,0
20110812,9.887,10.314,8.8015,10.003,77812,0
20110815,10.352,10.779,10.197,10.314,97498,0
20110816,10.236,10.469,10.082,10.236,50503,0
20110817,10.197,10.314,10.042,10.082,25167,0
20110818,9.809,10.236,9.4991,9.538,61732,0
20110819,9.4991,9.887,9.4991,9.616,50042,0
20110822,9.887,10.003,9.616,9.693,81931,0
20110823,9.693,10.042,9.693,9.926,50547,0
20110824,9.849,10.119,9.809,10.003,29906,0
20110825,10.082,10.159,9.577,9.693,63308,0
20110826,9.887,10.082,9.577,10.003,40653,0
20110829,9.693,10.701,9.693,10.507,61210,0
20110830,10.275,10.469,9.965,10.159,21971,0
20110831,9.926,10.972,9.616,9.887,52146,0
20110901,9.926,10.352,9.926,10.119,65355,0
20110902,9.849,10.159,9.538,9.538,47679,0
20110906,9.4991,9.965,9.4991,9.693,41990,0
20110907,9.849,10.082,9.849,9.926,30874,0
20110908,9.887,10.042,9.654,9.693,31068,0
20110909,9.577,9.809,9.1117,9.4211,49570,0
20110912,9.1892,9.616,9.0342,9.538,37113,0
20110913,9.4991,10.119,9.3836,9.965,53648,0
20110914,10.082,10.119,9.306,10.003,42047,0
20110915,10.042,10.314,10.042,10.159,18502,0
20110916,10.236,10.469,10.159,10.43,52639,0
20110919,10.236,10.391,10.003,10.082,16362,0
20110920,10.314,10.352,10.042,10.119,23023,0
20110921,10.119,10.43,9.809,9.809,41660,0
20110922,9.809,9.809,9.4606,9.4606,52369,0
20110923,9.616,9.732,9.306,9.693,49096,0
20110926,9.732,9.965,9.3441,9.965,26270,0
20110927,10.197,10.314,9.538,9.732,86493,0
20110928,9.654,9.771,9.1892,9.1892,45816,0
20110929,9.4991,9.732,9.306,9.577,31105,0
20110930,9.3836,9.538,9.1892,9.228,39533,0
20111003,9.228,9.4211,8.4913,8.4913,57048,0
20111004,8.6464,11.981,8.3362,10.507,73646,0
20111005,9.2667,10.314,9.0342,9.3441,28214,0
20111006,9.3441,9.577,9.1505,9.538,19100,0
20111007,9.4606,9.577,9.228,9.2667,48299,0
20111010,9.3441,9.809,9.2667,9.732,65943,0
20111011,9.654,9.809,9.577,9.693,31936,0
20111012,9.693,10.159,9.693,9.849,50406,0
20111013,9.693,9.732,9.4606,9.577,29462,0
20111014,9.654,9.849,9.538,9.809,33113,0
20111017,9.693,9.849,9.3441,9.3836,33832,0
20111018,9.4606,9.926,9.2667,9.887,42530,0
20111019,9.887,9.965,9.577,9.577,35839,0
