Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.73,17.21,16.4,17.08,2091600,0
20050228,16.88,17.44,16.38,16.52,2909600,0
20050301,17.25,17.4,16.88,17.37,2955500,0
20050302,17.36,17.36,16.64,16.65,2809900,0
20050303,16.84,16.91,16.1,16.74,1991700,0
20050304,16.93,17.08,16.5,16.68,1004400,0
20050307,16.82,17.17,16.7,16.95,1317800,0
20050308,16.95,17.21,16.57,16.63,1311000,0
20050309,16.64,16.87,16.39,16.47,865300,0
20050310,16.6,16.62,16.2,16.44,1563500,0
20050311,16.6,16.6,15.25,15.68,2445800,0
20050314,15.8,16.02,15.61,15.99,1018800,0
20050315,16,16.07,15.58,15.74,1000700,0
20050316,15.65,16,15.47,15.6,1140300,0
20050317,15.61,15.88,15.6,15.64,788800,0
20050318,15.77,15.77,15.24,15.45,2459500,0
20050321,15.45,15.8,15.33,15.65,1236900,0
20050322,15.82,15.91,15.35,15.36,1272700,0
20050323,15.29,15.79,15.26,15.55,710600,0
20050324,15.62,15.72,15.49,15.55,800200,0
20050328,15.61,15.85,15.37,15.37,1386500,0
20050329,15.4,15.63,15.08,15.09,2165700,0
20050330,15.22,15.6,15.05,15.57,1456200,0
20050331,15.55,15.55,15.13,15.33,2351400,0
20050401,15.46,15.56,14.75,14.96,1773100,0
20050404,15.03,15.03,14.56,14.83,2036300,0
20050405,14.93,14.95,14.5,14.55,1581300,0
20050406,14.7,14.89,14.46,14.56,1716600,0
20050407,14.56,14.95,14.56,14.83,1313200,0
20050408,14.8,15.04,14.74,14.75,897400,0
20050411,14.85,14.86,14.37,14.38,1266400,0
20050412,14.32,14.76,14.1,14.66,1842700,0
20050413,14.66,14.73,14.32,14.37,2443600,0
20050414,14.15,14.66,13.87,14.13,4848000,0
20050415,14.12,14.12,13.32,13.46,4167900,0
20050418,13.47,13.73,13.28,13.3,2043000,0
20050419,13.56,13.83,13.54,13.71,2260100,0
20050420,13.81,13.89,13.16,13.26,1874100,0
20050421,13.41,13.76,13.24,13.72,1727100,0
20050422,13.75,13.75,13.25,13.41,1176200,0
20050425,13.54,13.65,13.36,13.48,606700,0
20050426,13.43,13.92,13.37,13.47,1223400,0
20050427,13.37,13.48,13.27,13.39,1275700,0
20050428,13.32,13.75,13.18,13.23,1515700,0
20050429,13.33,13.57,13.14,13.45,1182700,0
20050502,13.5,13.67,13.25,13.64,1775300,0
20050503,13.61,13.8,13.49,13.62,1079400,0
20050504,13.62,14.04,13.54,13.98,1395300,0
20050505,13.89,14.36,13.89,14.06,1513500,0
20050506,14.2,14.25,13.93,14.1,785400,0
20050509,14.08,14.17,13.93,14.06,1139300,0
20050510,13.81,14.05,13.46,13.55,1493600,0
20050511,13.62,13.65,13.19,13.53,980100,0
20050512,13.53,13.81,13.4,13.51,709100,0
20050513,13.64,14.22,13.53,14.09,2757200,0
20050516,14.09,14.24,14.05,14.21,1689800,0
20050517,14.05,14.15,13.78,13.98,1385000,0
20050518,14.06,14.6,13.87,14.51,1121900,0
20050519,14.48,14.78,14.02,14.11,2016500,0
20050520,14.01,14.22,13.83,14.2,1914500,0
20050523,14.33,14.43,14.15,14.3,1492600,0
20050524,14.3,14.52,14.18,14.49,1072800,0
20050525,14.4,14.44,14.07,14.22,1009900,0
20050526,14.37,14.6,14.28,14.4,1269900,0
20050527,14.39,14.43,14.12,14.4,944400,0
20050531,14.45,14.55,14.08,14.3,1599200,0
20050601,13.9,14.54,13.9,14.54,3107300,0
20050602,14.35,14.37,13.69,14,3213100,0
20050603,14,14.05,13.73,13.76,1301700,0
20050606,14.15,14.15,13.93,14,2330300,0
20050607,14.1,14.36,13.85,13.88,1641600,0
20050608,14.03,14.29,14.03,14.09,1775300,0
20050609,14.1,14.65,14.04,14.6,2096500,0
20050610,14.8,15.08,14.69,14.97,3354300,0
20050613,14.91,14.91,14.57,14.65,2027600,0
