Date,Open,High,Low,Close,Volume,OpenInt
20130517,4.8,5.75,4.75,5,94500,0
20130520,5,5.33,4.69,4.75,96972,0
20130521,4.75,4.75,4.5,4.73,27440,0
20130522,4.73,4.89,4.73,4.85,13660,0
20130523,4.85,5,4.56,4.85,53832,0
20130524,4.9,4.9,4.7,4.8,21792,0
20130528,4.9,4.95,4.82,4.94,19823,0
20130529,4.94,5.04,4.94,5.02,17566,0
20130530,4.92,5.05,4.76,4.9,42260,0
20130531,4.95,5.1,4.71,4.95,66128,0
20130603,5.03,5.21,4.94,5.2,58542,0
20130604,5.22,5.53,5.16,5.53,120281,0
20130605,5.63,5.68,5.3,5.58,88407,0
20130606,5.5,5.65,5.3,5.35,36256,0
20130607,5.49,5.49,5.22,5.4,55754,0
20130610,5.49,5.6,5.3,5.49,43349,0
20130611,5.4,5.45,5.3,5.45,29875,0
20130612,5.45,5.51,4.65,5.41,99046,0
20130613,5.55,5.69,5.31,5.64,62064,0
20130614,5.62,5.7,5.42,5.49,28365,0
20130617,5.44,6.01,5.28,5.75,114242,0
20130618,5.62,6.46,5.5,6.39,158759,0
20130619,6.25,7,6.25,6.95,245328,0
20130620,7.1,7.2,6.62,7,156210,0
20130621,6.99,7,5.86,5.86,253777,0
20130624,6.18,6.18,5.34,6.09,173427,0
20130625,5.77,6.25,5.77,6.13,63688,0
20130626,6.13,6.15,5.43,5.72,147049,0
20130627,5.62,6.03,5.53,6.03,126468,0
20130628,6.07,6.19,5.87,6.12,1352715,0
20130701,6.05,6.23,5.87,6.04,152041,0
20130702,6.06,6.2,5.97,6.1,42208,0
20130703,6.06,6.2,6.02,6.11,14120,0
20130705,6.19,6.19,5.92,6,44433,0
20130708,6.04,6.07,5.73,6,39237,0
20130709,6.05,6.06,5.7,5.8,108553,0
20130710,5.78,6,5.34,5.81,89435,0
20130711,5.82,5.9,5.52,5.64,67198,0
20130712,5.62,5.85,5.57,5.75,19517,0
20130715,5.75,5.75,5.55,5.69,47233,0
20130716,5.67,5.67,5.42,5.49,80113,0
20130717,5.49,5.51,5.45,5.5,27989,0
20130718,5.53,5.54,5.4,5.49,51192,0
20130719,5.48,5.6,5.48,5.49,36752,0
20130722,5.51,5.51,5.35,5.46,33837,0
20130723,5.79,5.79,5.4,5.43,61235,0
20130724,5.45,5.45,5.17,5.24,104631,0
20130725,5.22,5.25,5.13,5.15,85751,0
20130726,5.04,5.21,5,5.15,44607,0
20130729,5.13,5.21,5.06,5.15,50405,0
20130730,5.14,5.15,4.97,5.1,57994,0
20130731,5.14,5.14,4.95,4.98,76998,0
20130801,5.05,5.5,5.04,5.49,48757,0
20130802,5.47,5.65,5.4,5.57,179209,0
20130805,5.56,5.59,5.35,5.45,53907,0
20130806,5.41,5.64,5.05,5.52,76101,0
20130807,5.5,5.59,5.2,5.48,32550,0
20130808,5.5,5.95,5.45,5.8,205473,0
20130809,5.78,5.8,5.6,5.61,102080,0
20130812,5.66,5.77,5.56,5.66,78606,0
20130813,5.65,5.65,5.43,5.65,26521,0
20130814,5.52,5.62,5.26,5.4,62184,0
20130815,5.49,5.49,5.3,5.41,96881,0
20130816,5.35,5.42,5.25,5.32,134707,0
20130819,5.45,6.07,5.3,5.4,258125,0
20130820,5.4,5.57,5.2,5.29,62794,0
20130821,5.3,5.46,5.1,5.2,121060,0
20130822,5.2,5.2,5.1,5.13,68135,0
20130823,5.14,5.22,5.1,5.1,63791,0
20130826,5.11,5.18,4.85,4.86,79186,0
20130827,4.83,5,4.6,4.67,85437,0
20130828,4.52,5.09,4.5,4.97,89213,0
20130829,5.21,5.56,5.07,5.4,82930,0
20130830,5.4,5.54,5.1,5.45,74112,0
20130903,5.3,5.45,5.2,5.21,22806,0
20130904,5.23,5.3,5.2,5.25,34278,0
20130905,5.25,5.35,5.11,5.33,27399,0
20130906,5.35,5.42,5.25,5.4,23735,0
20130909,5.38,5.91,5.38,5.8,105134,0
20130910,5.91,5.91,5.62,5.75,92881,0
20130911,5.75,5.79,5.21,5.49,92018,0
20130912,5.51,5.75,5.26,5.56,130160,0
20130913,5.58,5.68,5.12,5.58,123114,0
20130916,5.64,5.7,5.3,5.57,144133,0
20130917,5.55,5.61,5.34,5.48,66523,0
20130918,5.32,5.62,5.23,5.5,66401,0
20130919,5.53,5.59,5.26,5.42,90301,0
20130920,5.48,5.48,4.87,4.9,174688,0
20130923,5.03,5.27,5,5.25,24877,0
20130924,5.27,5.44,4.95,5.14,59560,0
20130925,5.02,5.21,4.9,4.99,63774,0
20130926,4.21,5.1,4.1,4.2,2456744,0
20130927,4.17,4.3,4.16,4.26,516205,0
20130930,4.25,4.38,4.21,4.38,323881,0
20131001,4.37,4.39,4.18,4.3,199774,0
20131002,4.32,4.34,4.22,4.24,226380,0
20131003,4.25,4.33,4.17,4.24,148259,0
20131004,4.23,4.32,4.14,4.19,434085,0
20131007,4.22,4.3,4.04,4.06,222844,0
20131008,4.1,4.12,3.77,3.85,256804,0
20131009,3.87,3.98,3.6,3.8,252169,0
20131010,3.82,3.94,3.63,3.82,190375,0
20131011,3.76,3.93,3.74,3.85,81291,0
20131014,3.83,3.87,3.67,3.72,132641,0
20131015,3.82,3.82,3.64,3.66,154037,0
20131016,3.68,3.86,3.68,3.75,153640,0
20131017,3.75,4.04,3.69,3.95,97344,0
20131018,4.08,4.13,3.85,3.98,132789,0
20131021,3.98,4.08,3.77,3.9,69067,0
20131022,3.9,3.9,3.71,3.85,62574,0
20131023,3.8,3.99,3.79,3.93,112999,0
20131024,3.94,4.11,3.8,3.84,53912,0
20131025,3.85,3.87,3.75,3.83,63363,0
20131028,3.82,3.95,3.7,3.93,100709,0
20131029,3.95,4.2,3.81,4.02,184818,0
20131030,4.04,4.1,3.96,4,116033,0
20131031,3.99,4.04,3.67,3.7,446300,0
20131101,3.68,3.77,3.58,3.74,198832,0
20131104,3.74,3.87,3.6,3.8,86643,0
20131105,3.8,3.8,3.64,3.75,50063,0
20131106,3.75,3.94,3.58,3.74,247727,0
20131107,3.76,3.8,3.64,3.66,118935,0
20131108,3.65,3.66,3.43,3.5,121625,0
20131111,3.52,3.9,3.35,3.71,159500,0
20131112,3.69,3.69,3.38,3.46,158195,0
20131113,3.45,3.64,3.34,3.34,63765,0
20131114,3.38,3.53,3.37,3.44,18472,0
20131115,3.37,3.5,3.37,3.4,32519,0
20131118,3.4,3.55,3.38,3.38,52999,0
20131119,3.39,3.48,3.28,3.36,100484,0
20131120,3.4,3.65,3.4,3.62,110690,0
20131121,3.69,3.9,3.57,3.86,184788,0
20131122,3.94,4.2,3.76,4.2,265616,0
20131125,4.18,4.29,3.98,4.04,108795,0
20131126,4.04,4.14,3.72,4.08,80160,0
20131127,4.05,4.12,3.87,4.1,45733,0
20131129,4.16,4.16,4.02,4.1,28766,0
20131202,4.09,4.13,3.97,4.07,52409,0
20131203,4.3,4.44,4.11,4.18,144813,0
20131204,4.16,4.16,3.95,3.95,72774,0
20131205,3.94,3.96,3.78,3.87,50284,0
20131206,3.92,4.09,3.86,3.91,33482,0
20131209,4.04,4.4,4.04,4.11,269800,0
20131210,4.16,4.36,3.93,3.96,87161,0
