Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.5,9.5,9.5,9.5,1000,0
20050301,9.5,9.5,9.5,9.5,6000,0
20050302,10.75,10.75,10,10,4000,0
20050303,10.75,10.75,10.3,10.3,11000,0
20050304,10.4,10.5,10,10.5,5375,0
20050307,10.5,10.75,10.5,10.75,3100,0
20050308,10.75,10.75,9.77,9.77,15400,0
20050309,10.25,10.45,10,10.25,2300,0
20050310,10,10,9.78,9.78,1500,0
20050311,9.55,9.55,9.55,9.55,4000,0
20050314,9.78,9.95,9.5,9.75,5229,0
20050316,9.6,10.15,9.6,10,14700,0
20050317,10.25,10.25,9.8,9.8,37500,0
20050318,9.75,9.75,9.75,9.75,500,0
20050321,9.55,9.8,9.55,9.8,42000,0
20050322,9.85,9.85,9.55,9.85,6100,0
20050324,9.55,9.65,9.5,9.65,1900,0
20050328,9.55,9.55,9.4,9.4,600,0
20050329,9.7,9.7,9.6,9.6,1000,0
20050331,9.25,9.5,9.25,9.5,1200,0
20050401,9.9,9.9,9.25,9.25,14400,0
20050405,9.3,9.5,9.3,9.5,18000,0
20050411,9.35,9.35,9.35,9.35,3000,0
20050412,9.5,9.5,9.5,9.5,1000,0
20050414,9.35,9.5,9.25,9.25,5900,0
20050415,9,9,8.5,8.75,3000,0
20050418,9,9,9,9,500,0
20050419,8.75,8.75,8.75,8.75,500,0
20050420,8.75,8.75,8.5,8.5,6206,0
20050421,8.5,8.5,8.5,8.5,500,0
20050422,8.4,8.4,8.25,8.25,1365,0
20050426,8.01,8.03,8.01,8.02,20500,0
20050427,8.02,8.02,8.02,8.02,2000,0
20050428,8.02,8.2,8.02,8.2,1100,0
20050503,8.01,8.02,8,8,15500,0
20050504,8.2,8.35,8.2,8.2,4300,0
20050506,8.4,8.4,8.4,8.4,200,0
20050511,8.02,8.02,7.75,7.75,9000,0
20050512,8,8.01,8,8.01,1100,0
20050516,8,8,8,8,2000,0
20050519,8,8,8,8,500,0
20050524,8,8,8,8,1000,0
20050525,8.05,8.05,7.9,7.9,1700,0
20050526,8,8,8,8,1400,0
20050527,8,8,8,8,4750,0
20050602,8,8,8,8,1000,0
20050603,8,8,8,8,3250,0
20050606,8.15,8.25,8.1,8.1,10435,0
20050607,8.5,8.5,8.5,8.5,2000,0
20050608,8.5,8.5,8.2,8.2,4500,0
20050610,8.5,8.5,8.5,8.5,400,0
20050613,8.6,8.6,8.6,8.6,190,0
20050614,8.5,8.9,8.5,8.5,2035,0
20050621,8.5,8.5,8.5,8.5,400,0
20050622,8.5,8.5,8.5,8.5,1430,0
20050623,8.5,8.5,8.5,8.5,500,0
20050628,8.16,8.16,8.16,8.16,200,0
20050706,8.3,8.3,8.3,8.3,1000,0
20050714,8.15,8.25,8,8,7800,0
20050715,8,8,8,8,1000,0
20050718,8,8.2,8,8.2,2000,0
20050719,8.2,8.2,7.9,8.15,4000,0
20050722,8.15,8.15,8,8.01,2666,0
20050725,8.01,9.25,8.01,9.25,14340,0
20050726,9.25,10,9.2,10,27479,0
20050727,10,10,9.8,9.95,32100,0
20050728,9.9,9.9,9.5,9.5,10540,0
20050729,9.5,9.5,9.5,9.5,1000,0
20050803,8.7,8.7,8.7,8.7,2000,0
20050804,8.75,8.8,8.75,8.75,1400,0
20050805,9,9.2,8.75,9,9000,0
20050809,8.95,9,8.75,8.75,7200,0
20050810,8.7,8.7,8.5,8.5,4500,0
20050811,8.25,8.25,8.25,8.25,400,0
20050812,8.6,9,8.6,9,10358,0
20050815,8.7,9,8.6,9,1500,0
20050816,8.7,8.7,8.6,8.6,3000,0
20050817,8.6,8.7,8.5,8.6,11600,0
20050818,8.5,8.5,8.2,8.2,2000,0
20050819,8.15,8.25,8.15,8.25,11500,0
20050822,8.15,8.25,8.15,8.25,1800,0
20050823,8.15,8.15,8.15,8.15,550,0
20050824,8.05,8.2,8,8.1,123075,0
20050825,8.15,8.15,8.05,8.15,47000,0
20050826,8.1,8.15,8.1,8.1,17185,0
20050829,8.1,8.15,8.05,8.1,38500,0
20050830,8.1,8.1,8.1,8.1,3000,0
20050831,8.05,8.05,8.05,8.05,300,0
20050902,8.07,8.07,8.07,8.07,700,0
20050906,8.1,8.1,8.1,8.1,1000,0
20050907,8.05,8.1,8.05,8.1,2200,0
20050908,8,8,8,8,1000,0
20050909,8,8,8,8,500,0
20050912,8,8,7.95,7.95,1500,0
20050913,7.95,7.95,7.95,7.95,500,0
20050914,7.95,7.95,7.95,7.95,500,0
20050915,8,8,8,8,6000,0
20050921,7.95,7.95,7.9,7.92,1900,0
20050922,7.92,7.95,7.92,7.95,1500,0
20050923,8,8,8,8,650,0
20050926,7.9,8,7.9,8,9335,0
