Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.774,14.014,13.774,13.965,80244,0
20050228,13.85,13.973,13.728,13.914,126736,0
20050301,13.981,14.172,13.89,14.113,89126,0
20050302,14.188,14.188,14.021,14.149,117360,0
20050303,14.196,14.228,14.088,14.18,65028,0
20050304,14.236,14.451,14.196,14.451,85946,0
20050307,14.303,14.435,14.244,14.244,77250,0
20050308,14.157,14.372,14.157,14.328,172619,0
20050309,14.249,14.355,14.212,14.319,122570,0
20050310,14.38,14.55,14.273,14.28,153934,0
20050311,14.311,14.443,14.204,14.212,121927,0
20050314,14.188,14.427,14.188,14.343,166714,0
20050315,14.38,14.619,14.336,14.355,121556,0
20050316,14.28,14.387,14.236,14.244,182120,0
20050317,14.372,14.427,14.273,14.396,181046,0
20050318,14.427,14.75,14.296,14.733,354290,0
20050321,14.495,14.78,14.495,14.773,182199,0
20050322,14.651,14.785,14.578,14.602,299753,0
20050323,14.511,14.564,14.418,14.427,71782,0
20050324,14.503,14.518,14.427,14.427,89988,0
20050328,14.418,14.511,14.387,14.427,77080,0
20050329,14.396,14.564,14.029,14.105,226000,0
20050330,14.244,14.28,14.121,14.172,194514,0
20050331,14.311,14.319,13.873,14.005,247108,0
20050401,14.081,14.328,13.805,13.92,139864,0
20050404,13.989,14.105,13.698,14.005,103893,0
20050405,14.081,14.257,13.906,14.034,77086,0
20050406,14.136,14.236,13.798,13.989,98286,0
20050407,14.065,14.128,13.813,14.057,72945,0
20050408,14.088,14.096,13.736,13.774,97324,0
20050411,13.782,13.873,13.706,13.85,190005,0
20050412,13.782,14.188,13.782,14.172,213205,0
20050413,14.18,14.228,13.706,13.706,187702,0
20050414,13.521,13.751,13.398,13.451,156343,0
20050415,13.422,13.551,13.161,13.214,125256,0
20050418,13.153,13.583,13.145,13.436,135333,0
20050419,13.343,13.505,13.23,13.459,84920,0
20050420,13.505,13.505,13.137,13.298,177390,0
20050421,13.352,13.674,13.276,13.674,269577,0
20050422,13.698,13.698,13.107,13.291,202034,0
20050425,13.384,13.62,13.236,13.513,108595,0
20050426,13.429,13.505,13.038,13.107,102079,0
20050427,13.008,13.352,12.975,13.214,109795,0
20050428,13.115,13.23,12.968,12.968,86262,0
20050429,12.968,13.276,12.884,13.268,168500,0
20050502,13.198,13.682,13.198,13.644,254074,0
20050503,13.544,13.798,13.483,13.558,72544,0
20050504,13.658,13.89,13.551,13.827,89875,0
20050505,13.898,13.981,13.544,13.644,96974,0
20050506,13.782,13.827,13.583,13.743,88350,0
20050509,13.751,13.95,13.69,13.95,94659,0
20050510,13.719,13.866,13.429,13.436,94266,0
20050511,13.551,13.719,13.336,13.651,68942,0
20050512,13.674,13.813,13.414,13.429,54991,0
20050513,13.583,13.583,13.206,13.375,145547,0
20050516,13.375,13.813,13.375,13.798,91735,0
20050517,13.706,14.005,13.674,13.973,101492,0
20050518,14.005,14.081,13.858,14.034,157812,0
20050519,13.89,14.014,13.782,13.798,70171,0
20050520,13.914,13.914,13.698,13.842,77788,0
20050523,13.743,13.965,13.698,13.89,124791,0
20050524,13.706,13.881,13.706,13.82,81854,0
20050525,13.751,13.751,13.491,13.637,85966,0
20050526,13.583,13.965,13.583,13.942,73222,0
20050527,14.049,14.121,13.866,13.898,162805,0
20050531,14.049,14.049,13.766,13.813,257627,0
20050601,13.881,13.927,13.736,13.927,171493,0
20050602,13.813,13.958,13.813,13.881,125899,0
20050603,13.791,13.858,13.605,13.62,109779,0
20050606,13.505,13.798,13.505,13.751,75602,0
20050607,13.682,13.942,13.62,13.62,109776,0
20050608,13.529,13.759,13.521,13.551,89527,0
20050609,13.505,13.736,13.467,13.719,96076,0
20050610,13.599,13.942,13.599,13.914,74207,0
20050613,13.927,14.005,13.513,13.537,168888,0
20050614,13.567,13.69,13.352,13.658,155035,0
20050615,13.712,14.157,13.544,14.157,179799,0
20050616,14.18,14.204,14.065,14.165,121382,0
20050617,14.204,14.355,14.204,14.288,193517,0
20050620,14.236,14.319,14.121,14.136,57152,0
20050621,14.228,14.336,14.081,14.296,52001,0
20050622,14.387,14.463,14.228,14.427,53325,0
20050623,14.328,14.351,13.934,13.934,78680,0
20050624,13.842,13.958,13.69,13.798,121657,0
20050627,13.658,13.85,13.612,13.85,65718,0
20050628,13.958,14.351,13.866,14.311,101246,0
20050629,14.204,14.503,14.142,14.495,75358,0
20050630,14.503,14.578,14.387,14.503,176971,0
20050701,14.57,14.686,14.372,14.686,262007,0
20050705,14.578,14.718,14.564,14.701,241969,0
20050706,14.686,14.726,14.558,14.651,94393,0
20050707,14.355,14.809,14.355,14.758,111746,0
20050708,14.733,15.231,14.664,15.195,148333,0
20050711,15.116,15.562,14.659,14.773,303526,0
20050712,14.733,14.887,14.626,14.693,89042,0
20050713,14.733,14.902,14.659,14.718,148754,0
20050714,14.718,14.873,14.427,14.427,109799,0
20050715,14.471,14.503,14.319,14.396,113769,0
20050718,14.336,14.435,14.149,14.188,142615,0
20050719,14.257,14.387,14.22,14.355,88094,0
20050720,14.265,14.693,14.196,14.634,133589,0
20050721,14.651,14.793,14.212,14.28,95143,0
20050722,14.157,14.228,13.719,14.204,292657,0
20050725,14.236,14.257,13.759,13.95,210722,0
20050726,13.95,14.204,13.873,14.105,112901,0
20050727,14.021,14.18,13.89,13.898,71527,0
20050728,13.89,14.057,13.89,14.005,82777,0
20050729,13.958,14.088,13.82,13.842,75794,0
20050801,13.813,14.228,13.813,14.014,121468,0
20050802,13.927,14.157,13.898,13.914,113846,0
20050803,13.898,14.005,13.774,13.782,189905,0
20050804,13.736,13.766,13.429,13.491,201115,0
20050805,13.612,13.612,13.099,13.153,162808,0
20050808,13.182,13.291,13.09,13.206,144543,0
20050809,13.244,13.253,13.046,13.052,136464,0
20050810,13.046,13.33,12.953,13.038,95920,0
20050811,13.008,13.375,12.968,13.276,110750,0
20050812,13.223,13.298,13.008,13.082,70682,0
20050815,13.082,13.313,13.008,13.313,78878,0
20050816,13.198,13.305,13.129,13.236,120099,0
20050817,13.161,13.313,13.161,13.206,114162,0
20050818,13.123,13.283,13.115,13.253,117943,0
20050819,13.182,13.483,13.161,13.322,204716,0
20050822,13.283,13.497,13.283,13.491,92587,0
20050823,13.405,13.513,13.368,13.436,147798,0
