Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.652,15.036,14.62,15.036,40199,0
20050228,14.794,15.036,14.794,15.036,40158,0
20050301,15.004,15.387,14.812,15.33,54179,0
20050302,15.071,15.446,14.744,15.103,117715,0
20050303,15.247,15.247,14.812,15.013,84061,0
20050304,15.112,15.162,15.036,15.071,40373,0
20050307,15.063,15.213,14.962,15.204,189763,0
20050308,15.204,15.363,15.153,15.321,89186,0
20050309,15.137,15.229,15.137,15.204,67760,0
20050310,15.13,15.622,15.121,15.555,267317,0
20050311,15.454,15.579,15.33,15.405,123980,0
20050314,15.489,15.548,15.354,15.454,137015,0
20050315,15.53,15.563,15.354,15.363,31136,0
20050316,15.33,15.539,15.18,15.221,41027,0
20050317,15.346,15.412,15.204,15.387,33475,0
20050318,15.505,15.53,15.213,15.262,129401,0
20050321,15.188,15.371,15.153,15.153,35754,0
20050322,15.137,15.396,15.063,15.13,30103,0
20050323,15.036,15.088,14.954,14.978,52880,0
20050324,15.088,15.162,15.013,15.013,26223,0
20050328,15.036,15.088,14.928,14.947,95018,0
20050329,15.036,15.153,14.829,14.894,24400,0
20050330,14.971,15.171,14.894,15.13,45708,0
20050331,15.255,15.269,15.036,15.204,166814,0
20050401,15.278,15.412,14.829,14.853,61631,0
20050404,14.987,15.071,14.794,15.013,31385,0
20050405,14.962,15.162,14.962,15.153,34496,0
20050406,15.354,15.446,15.103,15.229,35998,0
20050407,15.287,15.287,15.036,15.088,30379,0
20050408,15.079,15.162,14.995,15.013,25571,0
20050411,15.171,15.171,15.004,15.004,49286,0
20050412,14.954,15.045,14.627,14.785,156006,0
20050413,14.777,15.036,14.744,14.846,103284,0
20050414,14.711,14.954,14.603,14.678,75899,0
20050415,14.678,14.821,14.344,14.344,73646,0
20050418,14.519,14.586,14.127,14.453,54798,0
20050419,14.519,14.61,14.102,14.353,101762,0
20050420,14.361,14.57,13.868,13.868,65332,0
20050421,14.158,14.158,13.518,14.068,76406,0
20050422,13.993,13.993,13.45,13.594,68870,0
20050425,13.734,14.185,13.634,14.185,32494,0
20050426,13.952,14.11,13.441,13.75,55772,0
20050427,13.575,14.093,13.458,13.925,37048,0
20050428,13.75,14.093,13.575,13.75,42487,0
20050429,13.885,13.885,13.358,13.666,62841,0
20050502,13.734,14.11,13.65,14.11,30470,0
20050503,14.102,14.401,13.859,14.068,52053,0
20050504,14.093,14.744,14.093,14.61,48085,0
20050505,14.644,14.644,14.093,14.093,113892,0
20050506,14.261,14.293,13.666,13.683,85528,0
20050509,13.666,14.268,13.484,13.818,128169,0
20050510,13.726,13.726,13.374,13.509,53260,0
20050511,13.541,13.541,13.29,13.409,33997,0
20050512,13.491,13.65,13.182,13.266,37746,0
20050513,13.366,13.484,12.99,13.25,36616,0
20050516,13.4,13.868,13.266,13.792,81314,0
20050517,13.65,13.934,13.45,13.885,48075,0
20050518,13.952,14.268,13.827,14.227,90349,0
20050519,14.244,14.419,13.934,14.202,54472,0
20050520,14.276,14.377,14.051,14.11,17302,0
20050523,14.093,14.41,13.908,14.135,86871,0
20050524,14.285,14.285,14.176,14.252,6805,0
20050525,14.11,14.377,13.868,14.227,38474,0
20050526,14.127,14.327,14.119,14.327,50045,0
20050527,14.327,14.327,14.158,14.302,12607,0
20050531,14.193,14.41,14.11,14.11,38860,0
20050601,13.993,14.419,13.993,14.202,38515,0
20050602,14.276,14.285,14.127,14.235,67268,0
20050603,14.068,14.202,13.96,14.167,24013,0
20050606,14.293,14.293,13.818,13.943,44086,0
20050607,13.993,14.158,13.726,13.767,100502,0
20050608,13.608,13.658,13.317,13.409,69819,0
20050609,13.308,13.952,13.283,13.908,43042,0
20050610,13.952,14.017,13.701,13.759,35392,0
20050613,13.701,14.127,13.674,14.042,41150,0
20050614,14.042,14.361,14.042,14.235,81647,0
20050615,14.252,14.419,14.093,14.276,79065,0
20050616,14.344,14.661,14.193,14.661,63095,0
20050617,14.711,15.036,14.586,14.902,78193,0
20050620,14.861,15.027,14.838,14.894,39986,0
20050621,14.987,15.204,14.785,15.112,21601,0
20050622,15.204,15.555,15.204,15.405,38878,0
20050623,15.287,15.579,14.744,14.744,46435,0
20050624,14.785,14.887,14.419,14.453,145166,0
20050627,14.577,14.603,14.344,14.435,52248,0
20050628,14.469,15.18,14.469,15.18,25728,0
20050629,15.18,15.563,15.18,15.48,54707,0
20050630,15.539,15.664,15.363,15.371,71834,0
20050701,15.489,15.489,15.278,15.472,45448,0
20050705,15.412,16.206,15.412,16.048,49786,0
20050706,16.173,16.289,15.539,15.539,28962,0
20050707,15.38,15.882,14.838,15.588,28011,0
20050708,15.38,15.998,15.269,15.739,84419,0
20050711,15.813,16.081,15.631,15.914,39855,0
20050712,15.806,16.09,15.806,15.882,23814,0
20050713,16.014,16.115,15.781,16.115,39849,0
20050714,16.09,16.181,15.763,15.79,37092,0
20050715,15.521,16.206,15.521,16.081,68184,0
20050718,15.998,16.181,15.613,15.613,49508,0
20050719,15.705,15.965,15.438,15.781,29181,0
20050720,15.613,15.864,15.405,15.806,65921,0
20050721,15.806,15.846,15.314,15.454,62973,0
20050722,15.43,16.04,15.396,15.839,92587,0
20050725,15.864,15.864,15.438,15.521,22825,0
20050726,15.638,15.798,15.43,15.539,66343,0
20050727,15.588,15.588,15.121,15.446,19287,0
20050728,15.571,15.906,15.571,15.906,25330,0
20050729,15.79,16.073,15.673,15.823,30806,0
20050801,15.781,16.415,15.781,16.257,40663,0
20050802,16.148,16.257,15.638,16.215,48885,0
20050803,16.19,16.215,15.705,15.705,30302,0
20050804,15.889,15.889,14.947,15.103,49300,0
20050805,15.079,15.337,15.036,15.063,54869,0
20050808,15.027,15.278,14.911,14.954,26222,0
20050809,14.829,15.027,14.661,14.696,40897,0
20050810,14.535,15.287,14.527,14.72,100485,0
20050811,14.687,14.853,14.552,14.736,66020,0
20050812,14.669,14.869,14.527,14.794,37311,0
20050815,14.527,15.238,14.527,15.079,83521,0
20050816,15.036,15.103,14.62,14.769,36842,0
20050817,14.62,14.869,14.595,14.652,29521,0
20050818,14.535,14.744,14.401,14.428,24147,0
20050819,14.361,14.636,14.202,14.485,25390,0
20050822,14.276,14.736,14.219,14.711,30520,0
20050823,14.544,14.902,14.419,14.485,19139,0
20050824,14.435,14.812,14.235,14.335,45135,0
20050825,14.353,14.62,14.285,14.561,17903,0
20050826,14.386,14.92,14.167,14.369,37381,0
20050829,14.361,14.444,14.033,14.41,29186,0
20050830,14.235,14.595,14.202,14.444,64588,0
20050831,14.453,14.61,14.369,14.577,39676,0
20050901,14.444,14.838,14.444,14.703,66901,0
20050902,14.736,14.803,14.485,14.535,30692,0
20050906,14.57,15.019,14.527,14.753,33508,0
20050907,14.62,14.794,14.62,14.794,26955,0
20050908,14.627,14.669,14.419,14.595,27546,0
20050909,14.627,14.962,14.577,14.962,39457,0
20050912,14.838,14.92,14.235,14.627,106441,0
20050913,14.535,14.577,14.167,14.227,60821,0
20050914,14.261,14.327,13.968,14.033,27619,0
20050915,14.143,14.185,13.701,13.827,66013,0
20050916,13.885,14.051,13.45,13.818,151265,0
20050919,13.908,14.227,13.658,13.718,73415,0
20050920,13.759,13.908,13.374,13.625,38325,0
20050921,13.525,13.634,13.258,13.425,29504,0
20050922,13.392,13.642,13.266,13.533,30966,0
20050923,13.616,13.908,13.258,13.775,39430,0
20050926,13.943,14.151,13.851,13.925,42405,0
20050927,13.885,13.993,13.533,13.993,32708,0
20050928,14.026,14.026,13.409,13.634,422146,0
20050929,13.634,13.734,13.575,13.683,47173,0
20050930,13.658,13.741,13.6,13.674,36714,0
20051003,13.358,14.167,13.358,13.6,60238,0
20051004,13.625,13.692,12.823,13.048,109748,0
20051005,13.115,13.274,12.656,12.849,103141,0
20051006,12.94,13.224,12.706,12.882,47086,0
20051007,13.023,13.124,12.841,12.873,38592,0
20051010,13.008,13.008,12.448,12.514,118000,0
20051011,12.556,12.63,12.047,12.047,185204,0
20051012,11.863,12.306,11.653,12.029,329205,0
20051013,11.988,12.473,11.713,12.43,82371,0
20051014,12.489,12.832,12.222,12.789,74424,0
20051017,12.765,12.898,12.496,12.765,48822,0
20051018,12.757,12.757,12.364,12.539,51222,0
20051019,12.439,12.932,12.38,12.932,105459,0
