Date,Open,High,Low,Close,Volume,OpenInt
20131219,21.434,21.534,21.314,21.419,187018,0
20131220,21.534,21.566,21.383,21.566,272681,0
20131223,21.575,21.707,21.48,21.688,138111,0
20131224,21.707,21.793,21.637,21.749,53037,0
20131226,21.707,21.768,21.603,21.645,66157,0
20131227,21.61,21.707,21.61,21.645,47383,0
20131230,21.543,21.74,21.543,21.688,79142,0
20131231,21.664,21.768,21.664,21.725,107467,0
20140102,21.785,21.828,21.688,21.828,101096,0
20140103,21.749,21.959,21.749,21.899,114107,0
20140106,21.915,21.915,21.802,21.871,386198,0
20140107,21.863,22.01,21.793,22.01,416346,0
20140108,22.01,22.056,21.915,22.028,299598,0
20140109,22.028,22.081,21.988,22.038,348245,0
20140110,22.088,22.316,22.046,22.201,127938,0
20140113,22.201,22.262,22.081,22.125,180487,0
20140114,22.169,22.169,22.02,22.117,70218,0
20140115,22.088,22.131,21.976,22.071,62556,0
20140116,22.088,22.125,22.02,22.071,120656,0
20140117,22.02,22.125,22.01,22.117,1446826,0
20140121,22.081,22.081,21.932,21.993,251567,0
20140122,22.056,22.056,21.966,22.01,1064023,0
20140123,22.046,22.046,21.871,21.924,93739,0
20140124,21.94,22.02,21.854,22.02,553248,0
20140127,21.94,22.056,21.94,22.046,73069,0
20140128,22.046,22.062,22.01,22.059,147088,0
20140129,21.959,22.046,21.949,22,804261,0
20140130,22.01,22.141,21.968,22.081,552064,0
20140131,22.08,22.185,21.986,22.185,512496,0
20140203,22.02,22.185,22.02,22.149,733465,0
20140204,22.071,22.176,21.993,22.176,214012,0
20140205,22.046,22.169,21.959,22.125,109427,0
20140206,22.169,22.185,22.071,22.185,92821,0
20140207,22.107,22.193,22.098,22.193,145628,0
20140210,22.229,22.255,22.185,22.229,61135,0
20140211,22.17,22.262,22.152,22.238,358366,0
20140212,22.247,22.28,22.176,22.238,31525,0
20140213,22.238,22.377,22.238,22.369,90506,0
20140214,22.385,22.438,22.35,22.369,1336084,0
20140218,22.41,22.568,22.402,22.532,46430,0
20140219,22.837,22.837,22.49,22.664,324787,0
20140220,22.583,22.603,22.523,22.603,43655,0
20140221,22.568,22.645,22.551,22.621,107560,0
20140224,22.706,22.706,22.402,22.568,83048,0
20140225,22.603,22.629,22.551,22.629,494148,0
20140226,22.743,22.882,22.621,22.751,152832,0
20140227,22.82,23.008,22.621,22.882,736605,0
20140228,23.16,23.185,22.89,23.08,146814,0
20140303,23.105,23.298,23.029,23.08,104534,0
20140304,23.143,23.282,23.045,23.099,905593,0
20140305,23.185,23.437,22.864,23.437,267623,0
20140306,23.456,23.456,23.185,23.282,296058,0
20140307,23.246,23.446,23.185,23.315,280745,0
20140310,23.255,23.306,22.976,23.09,79091,0
20140311,23.045,23.126,22.933,23.021,93607,0
20140312,23.003,23.115,22.952,23.074,109287,0
20140313,23.08,23.115,22.933,23.028,27315,0
20140314,23.013,23.105,22.889,22.993,132453,0
20140317,23.115,23.124,22.959,23.064,111432,0
20140318,23.105,23.29,23.036,23.29,138182,0
20140319,23.49,23.49,23.074,23.204,46376,0
20140320,23.35,23.35,23.124,23.29,14616,0
20140321,23.402,23.444,23.151,23.195,149745,0
20140324,23.499,23.585,23.105,23.115,114217,0
20140325,23.36,23.36,23.185,23.185,396179,0
20140326,23.323,23.375,23.207,23.34,307508,0
20140327,23.395,23.395,23.076,23.252,76868,0
20140328,23.287,23.438,23.287,23.388,44853,0
20140331,23.304,23.526,23.304,23.457,34123,0
20140401,23.483,23.535,23.385,23.385,142508,0
20140402,23.463,23.518,23.421,23.509,189281,0
20140403,23.554,23.554,23.349,23.518,12368,0
20140404,23.463,23.545,23.359,23.43,77101,0
20140407,23.518,23.518,23.395,23.473,16280,0
20140408,23.597,23.61,23.421,23.518,78222,0
20140409,23.625,23.625,23.375,23.572,121814,0
20140410,23.616,23.659,23.563,23.572,28562,0
20140411,23.65,23.704,23.473,23.668,6574,0
20140414,23.829,23.829,23.535,23.535,15632,0
20140415,23.554,23.643,23.545,23.643,19997,0
20140416,23.687,23.776,23.572,23.625,47096,0
20140417,23.687,23.704,23.395,23.395,59448,0
20140421,23.501,23.501,23.359,23.375,14009,0
20140422,23.492,23.492,23.333,23.402,76343,0
20140423,23.447,23.473,23.359,23.359,343532,0
20140424,23.375,23.375,23.287,23.359,134873,0
20140425,23.385,23.535,23.375,23.535,59422,0
20140428,23.501,23.572,23.473,23.509,21714,0
20140429,23.588,23.588,23.501,23.526,310660,0
20140430,23.625,23.634,23.553,23.563,38060,0
20140501,23.616,23.9,23.554,23.854,75840,0
20140502,23.864,23.908,23.592,23.668,161157,0
