Date,Open,High,Low,Close,Volume,OpenInt
19990316,8.149,8.149,8.149,8.149,2650,0
19990326,8.087,8.1299,8.087,8.1299,35807,0
19990329,8.2076,8.2641,8.2076,8.2641,24292,0
19990330,8.3217,8.3217,8.1519,8.3217,38421,0
19990331,8.3217,8.3217,8.3217,8.3217,2649,0
19990407,8.3217,8.3217,8.3217,8.3217,441,0
19990412,8.431,8.431,8.0915,8.0915,18557,0
19990419,8.1493,8.2353,8.1493,8.2353,79957,0
19990426,8.4026,8.4026,8.149,8.149,2650,0
19990427,8.1482,8.1482,8.0915,8.0915,26509,0
19990505,8.1482,8.1482,8.0915,8.0915,8394,0
19990506,8.2641,8.2641,8.2641,8.2641,5742,0
19990507,8.0915,8.0915,8.0915,8.0915,5744,0
19990510,8.0925,8.149,8.0925,8.149,30483,0
19990511,8.2631,8.2631,8.2067,8.2067,2650,0
19990512,8.1509,8.2641,8.1509,8.2641,29591,0
19990513,8.2641,8.2641,8.2641,8.2641,8391,0
19990518,8.0915,8.0915,8.0915,8.0915,2650,0
19990524,8.1772,8.2631,8.1772,8.2067,65374,0
19990525,8.2641,8.2641,8.2641,8.2641,5742,0
19990526,8.2076,8.2641,8.0944,8.2641,77292,0
19990527,8.4846,8.4846,8.4846,8.4846,38451,0
19990528,8.4865,8.5997,8.4865,8.5997,21652,0
19990601,8.832,8.9453,8.3792,8.3792,14572,0
19990603,8.9448,8.9448,8.9448,8.9448,8390,0
19990607,8.3792,8.3792,8.3792,8.3792,2649,0
19990614,8.9448,8.9448,8.9448,8.9448,441,0
19990615,8.8873,8.8873,8.8873,8.8873,3975,0
19990616,8.8307,8.8873,8.8307,8.8873,5741,0
19990618,8.5997,8.5997,8.5997,8.5997,3977,0
19990621,8.5998,8.5998,8.0341,8.0341,103841,0
19990622,8.149,8.149,8.149,8.149,3976,0
19990624,8.0915,8.0915,8.0915,8.0915,2650,0
19990625,8.0915,8.0915,8.0915,8.0915,442,0
19990629,8.149,8.149,8.149,8.149,6626,0
19990702,8.035,8.0915,8.035,8.0915,60088,0
19990706,8.149,8.149,8.149,8.149,35784,0
19990713,8.149,8.149,8.149,8.149,14578,0
19990803,8.149,8.149,8.149,8.149,32250,0
19990804,8.0915,8.0915,8.0915,8.0915,8394,0
19990805,8.1482,8.1482,8.0915,8.0915,8394,0
19990806,7.9765,7.9765,7.9765,7.9765,20329,0
19990810,7.9765,7.9765,7.9765,7.9765,5745,0
19990811,8.0915,8.0915,8.0915,8.0915,17672,0
19990819,7.9765,7.9765,7.9765,7.9765,44192,0
19990902,8.0331,8.0331,7.9765,7.9765,44192,0
19990903,8.0341,8.0341,8.0341,8.0341,11930,0
19990914,7.9781,8.0052,7.9781,8.0052,298238,0
19990923,7.9765,7.9765,7.9765,7.9765,29608,0
19991006,8.149,8.149,8.149,8.149,2650,0
19991020,7.4665,7.919,7.4665,7.919,18564,0
19991021,8.0915,8.0915,8.0915,8.0915,15905,0
19991028,8.2067,8.2067,8.2067,8.2067,15901,0
19991101,7.919,7.919,7.919,7.919,442,0
19991110,8.0341,8.0341,8.0341,8.0341,2652,0
19991112,8.0341,8.0341,8.0341,8.0341,2652,0
19991117,8.0341,8.0341,8.0341,8.0341,21652,0
19991123,7.919,7.919,7.919,7.919,442,0
19991129,7.919,7.919,7.919,7.919,8397,0
19991208,7.804,7.804,7.804,7.804,442,0
19991213,7.804,7.804,7.804,7.804,442,0
19991217,7.6265,7.6695,7.4702,7.5834,178910,0
19991220,7.4702,7.5834,7.3005,7.5834,30482,0
19991221,7.8059,7.919,7.8059,7.919,29612,0
19991231,7.6985,7.6985,7.6985,7.6985,2649,0
20000103,7.7272,7.7272,7.7272,7.7272,2649,0
20000113,7.4109,7.4109,7.4109,7.4109,442,0
20000125,7.3267,7.526,7.3267,7.526,6627,0
20000126,7.7272,7.7272,7.7272,7.7272,3974,0
20000128,7.7001,7.7272,7.7001,7.7272,212387,0
20000202,7.3533,7.3533,7.3533,7.3533,3978,0
20000208,7.5822,7.5822,7.4397,7.4397,2650,0
20000211,7.3553,7.4683,7.3553,7.4683,30489,0
20000224,7.2383,7.2383,7.2383,7.2383,442,0
20000314,7.4656,7.4656,7.2959,7.2959,44203,0
20000320,7.4119,7.4683,7.4119,7.4683,8395,0
20000323,7.2959,7.2959,7.2959,7.2959,5746,0
20000327,7.2959,7.2959,7.2959,7.2959,2653,0
20000403,7.3515,7.3515,7.2383,7.2383,6632,0
20000404,7.2383,7.2383,7.2383,7.2383,23873,0
20000405,7.3246,7.3246,7.3246,7.3246,15909,0
20000406,7.2409,7.3246,7.2409,7.3246,29609,0
20000413,7.2383,7.2383,7.2383,7.2383,3979,0
20000414,7.2383,7.2383,7.2383,7.2383,8399,0
20000417,7.2383,7.2383,7.2383,7.2383,5747,0
20000418,7.2383,7.2383,7.2383,7.2383,21663,0
20000420,7.2959,7.2959,7.2959,7.2959,32268,0
20000426,7.2968,7.3533,7.2968,7.3533,148946,0
20000501,7.469,7.469,7.4397,7.4397,5744,0
20000503,7.354,7.354,7.3246,7.3246,29609,0
20000504,7.3533,7.3533,7.3533,7.3533,2652,0
20000505,7.2383,7.2383,7.2383,7.2383,23873,0
20000512,7.3515,7.3515,7.2383,7.2383,29620,0
20000519,7.2383,7.2383,7.2383,7.2383,8399,0
20000522,7.3533,7.3533,7.3533,7.3533,12375,0
20000523,7.2975,7.354,7.2975,7.3246,83967,0
20000524,7.3554,7.3554,6.9028,6.9028,39767,0
20000525,6.7877,6.7877,6.7877,6.7877,2652,0
20000531,6.7302,6.7302,6.7302,6.7302,9725,0
20000601,6.7348,7.0179,6.7348,7.0179,17669,0
20000602,6.7877,6.7877,6.7877,6.7877,2652,0
20000606,7.0179,7.0179,7.0179,7.0179,2650,0
20000607,6.7302,6.7302,6.7302,6.7302,5746,0
20000608,6.9602,6.9602,6.9602,6.9602,8394,0
20000609,6.7302,6.7302,6.7302,6.7302,5746,0
20000612,6.7311,6.7877,6.5615,6.7877,74251,0
20000614,6.5672,6.5672,6.5672,6.5672,14573,0
20000615,6.5672,6.6805,6.5105,6.5672,95825,0
20000626,6.3947,6.3947,6.3947,6.3947,442,0
20000628,6.3954,6.3954,6.3659,6.3659,36222,0
20000629,6.3371,6.3371,6.3371,6.3371,8394,0
20000630,6.5672,6.5672,6.5672,6.5672,3974,0
20000712,6.4502,6.4502,6.3371,6.3371,3976,0
20000717,6.3371,6.3371,6.3371,6.3371,442,0
20000719,6.3374,6.4234,6.3374,6.4234,8394,0
20000731,6.224,6.3371,6.224,6.3371,66277,0
20000802,6.3947,6.3947,6.3947,6.3947,5743,0
20000807,6.2221,6.2221,6.2221,6.2221,6630,0
20000816,6.3947,6.3947,6.3947,6.3947,5743,0
20000822,6.3371,6.3371,6.3371,6.3371,8394,0
20000823,6.392,6.392,6.3084,6.3084,29610,0
20000824,6.3371,6.3371,6.3371,6.3371,145808,0
20000830,6.3371,6.3371,6.3371,6.3371,503700,0
20000911,6.3659,6.3659,6.3659,6.3659,6625,0
20000912,6.338,6.3947,6.338,6.3947,14579,0
20000920,6.5088,6.6785,6.2824,6.4521,62282,0
20001005,6.5672,6.5672,6.5672,6.5672,2649,0
20001006,6.5672,6.5672,6.5672,6.5672,2649,0
20001017,6.5665,6.5959,6.5665,6.5959,27822,0
20001019,6.5672,6.5672,6.5672,6.5672,2649,0
20001023,6.5959,6.5959,6.5959,6.5959,441,0
20001024,6.5665,6.5959,6.5665,6.5959,17665,0
20001025,6.6247,6.6247,6.6247,6.6247,2649,0
20001027,6.6737,6.7302,6.6737,6.7302,5746,0
20001031,6.5622,6.759,6.5622,6.759,12374,0
20001102,6.559,6.7014,6.559,6.7014,155635,0
20001107,6.5665,6.5959,6.5665,6.5959,8391,0
20001109,6.5672,6.5672,6.5672,6.5672,8390,0
20001113,6.5672,6.5672,6.5672,6.5672,11923,0
20001114,6.5665,6.5959,6.5665,6.5959,11924,0
20001116,6.3401,6.5959,6.3401,6.5959,41514,0
20001117,6.3371,6.3371,6.3371,6.3371,442,0
20001120,6.3553,6.6247,6.3553,6.6247,5740,0
20001129,6.3947,6.3947,6.3947,6.3947,6626,0
20001130,6.5097,6.5097,6.5097,6.5097,6624,0
20001205,6.3947,6.3947,6.3947,6.3947,442,0
20001218,6.3947,6.3947,6.3947,6.3947,442,0
20001219,6.3947,6.3947,6.3947,6.3947,2650,0
20001228,6.3947,6.3947,6.3947,6.3947,442,0
20010103,6.4234,6.4234,6.4234,6.4234,6627,0
20010104,6.5672,6.5672,6.5672,6.5672,441,0
20010105,6.5681,6.6247,6.5681,6.6247,20310,0
20010108,6.7302,6.7302,6.7302,6.7302,5746,0
20010109,6.7877,6.7877,6.7877,6.7877,442,0
20010110,6.7905,6.9602,6.7905,6.9602,6626,0
20010111,7.0466,7.0466,7.0466,7.0466,2649,0
20010116,7.0196,7.1328,7.0196,7.1328,5741,0
20010124,7.3533,7.3533,7.3533,7.3533,442,0
20010209,6.8728,7.2959,6.8728,7.2959,147197,0
20010226,6.874,6.874,6.874,6.874,5745,0
20010227,7.2191,7.2191,7.2191,7.2191,5739,0
20010308,7.1041,7.1041,7.1041,7.1041,14577,0
20010319,6.9028,6.9028,6.9028,6.9028,59650,0
20010320,7.2191,7.2191,7.2191,7.2191,14569,0
20010323,6.9028,6.9028,6.9028,6.9028,14582,0
20010328,7.2191,7.2191,7.2191,7.2191,441,0
20010329,6.9046,7.0179,6.9046,7.0179,26504,0
20010403,7.697,7.9233,7.0179,7.0179,8392,0
20010503,7.0187,7.0753,7.0187,7.0753,5742,0
20010507,7.2949,7.2949,7.2383,7.2383,253319,0
20010510,7.0179,7.0179,7.0179,7.0179,2650,0
20010511,7.0466,7.0466,7.0466,7.0466,442,0
20010514,7.0161,7.0273,7.0161,7.0273,5744,0
20010515,7.0121,7.2383,7.0121,7.2383,18568,0
20010518,7.0179,7.0179,7.0179,7.0179,3975,0
20010521,7.0143,7.037,7.0143,7.037,5745,0
20010522,7.0273,7.2425,7.0273,7.0273,32255,0
20010523,7.0461,7.2383,7.0461,7.2383,11936,0
20010529,7.037,7.037,7.037,7.037,3977,0
20010614,7.8815,7.9958,7.8815,7.9958,3940,0
20010619,7.1808,7.1808,7.1808,7.1808,438,0
20010627,7.2229,7.2229,7.2,7.2,8312,0
20010706,7.2575,7.2575,7.2575,7.2575,5687,0
20010719,7.3195,7.3653,7.3195,7.3629,91077,0
20010720,7.5384,7.9954,7.3671,7.9381,9630,0
20010723,7.5355,7.5355,7.5355,7.5355,70944,0
20010724,7.5388,7.9958,7.5388,7.9958,63034,0
20010725,7.8231,7.8231,7.8231,7.8231,11821,0
20010727,7.9958,7.9958,7.9958,7.9958,438,0
20010803,7.9838,7.9838,7.9381,7.9381,2626,0
20010814,7.43,7.43,7.43,7.43,5687,0
20010815,7.4229,7.7656,7.4229,7.7656,59107,0
20010823,7.4345,7.7656,7.4345,7.7656,102889,0
20010829,7.9385,7.9958,7.9385,7.9958,20136,0
20010905,7.7656,7.7656,7.7656,7.7656,438,0
20010907,7.7428,7.7656,7.7428,7.7656,2627,0
20010910,7.7428,7.7656,7.7428,7.7656,2627,0
20010920,7.9729,8.0528,7.7445,7.9958,102868,0
20010921,7.7464,7.7464,7.7464,7.7464,2625,0
20010924,7.9972,8.2258,7.9972,8.2258,67398,0
20010928,7.7428,7.7656,7.7428,7.7656,33274,0
20011001,7.7656,7.7656,7.7656,7.7656,3941,0
20011002,8.2258,8.2258,8.2258,8.2258,3939,0
20011015,8.2258,8.3401,8.2258,8.2258,38075,0
20011023,8.0052,8.0052,8.0052,8.0052,438,0
20011024,8.0149,8.0149,8.0149,8.0149,6570,0
20011102,8.0532,8.0532,8.0532,8.0532,438,0
20011105,8.056,8.0629,8.056,8.0629,5689,0
20011106,8.0532,8.0532,8.0532,8.0532,438,0
20011107,8.4555,8.4555,8.227,8.3984,11815,0
20011128,8.0532,8.0532,8.0532,8.0532,3794,0
20011130,8.0915,8.0915,8.0915,8.0915,292,0
20011206,8.3984,8.3984,8.3984,8.3984,4376,0
20011207,8.1203,8.1203,8.1203,8.1203,292,0
20011218,8.1395,8.1395,8.1395,8.1395,1167,0
