Date,Open,High,Low,Close,Volume,OpenInt
20050225,31.973,32.311,31.719,32.151,83148,0
20050228,32.104,32.274,31.746,32.104,109724,0
20050301,32.048,32.264,31.746,32.095,145984,0
20050302,31.973,32.452,31.661,31.915,76331,0
20050303,31.945,32.199,31.728,32.095,60582,0
20050304,32.189,32.688,32.132,32.603,87581,0
20050307,32.386,32.829,32.114,32.301,119974,0
20050308,32.095,32.33,31.737,31.888,124596,0
20050309,32.358,32.358,31.549,31.661,86833,0
20050310,31.869,32.132,31.513,32.067,181797,0
20050311,32.132,32.217,31.549,31.795,90526,0
20050314,31.661,32.283,31.606,32.274,98775,0
20050315,32.34,32.499,31.878,32.076,130780,0
20050316,31.869,32.217,31.813,31.822,61181,0
20050317,31.878,31.992,31.606,31.785,96989,0
20050318,31.983,31.983,30.911,31.155,447388,0
20050321,31.041,31.324,30.797,31.183,151799,0
20050322,31.078,31.183,30.617,30.637,158949,0
20050323,30.572,30.731,30.365,30.401,84334,0
20050324,30.617,30.617,30.119,30.119,66925,0
20050328,30.119,30.674,30.119,30.486,92783,0
20050329,30.289,30.524,30.026,30.251,215571,0
20050330,30.383,30.901,30.317,30.806,78702,0
20050331,30.852,30.852,30.101,30.553,166693,0
20050401,30.572,30.77,29.922,30.232,114946,0
20050404,30.129,30.476,29.856,30.308,44261,0
20050405,30.496,30.534,30.167,30.327,115267,0
20050406,30.572,30.947,30.429,30.448,149586,0
20050407,30.393,30.713,30.251,30.59,84606,0
20050408,30.664,30.76,29.905,29.931,88007,0
20050411,29.914,29.978,29.668,29.733,78893,0
20050412,29.631,30.439,29.51,30.401,114741,0
20050413,30.27,30.439,29.761,29.856,79011,0
20050414,30.053,30.053,29.518,29.545,154593,0
20050415,29.733,29.761,29.394,29.442,151092,0
20050418,29.442,30.148,29.442,29.905,133948,0
20050419,30.053,30.241,29.725,29.875,145974,0
20050420,30.082,30.082,29.573,29.78,247872,0
20050421,29.828,30.393,29.771,30.383,213932,0
20050422,30.448,30.694,29.725,29.978,130047,0
20050425,30.401,31.7,30.26,31.7,379707,0
20050426,31.464,31.756,30.703,30.797,296879,0
20050427,30.674,31.22,30.429,30.844,147275,0
20050428,30.713,30.78,30.241,30.289,128873,0
20050429,30.327,30.815,29.885,30.722,98559,0
20050502,30.834,31.117,30.515,31.117,75491,0
20050503,30.929,31.473,30.787,30.901,81317,0
20050504,31.088,31.493,30.75,31.39,170443,0
20050505,31.286,31.381,30.684,31.098,108981,0
20050506,30.929,31.247,30.684,30.731,109725,0
20050509,30.713,31.381,30.713,31.381,75005,0
20050510,31.229,31.229,30.543,30.976,100934,0
20050511,30.911,31.427,30.76,31.399,75327,0
20050512,31.266,31.427,30.617,30.75,79923,0
20050513,30.901,30.919,30.158,30.553,74235,0
20050516,30.486,31.615,30.458,31.597,133267,0
20050517,31.324,31.841,31.049,31.766,71796,0
20050518,32.537,33.157,32.002,33.119,447339,0
20050519,33.128,33.403,32.941,33.225,169350,0
20050520,33.394,33.394,32.865,33.128,110983,0
20050523,32.922,33.243,32.848,33.092,111940,0
20050524,32.791,33.092,32.715,33.037,65509,0
20050525,32.922,32.979,32.311,32.517,101923,0
20050526,32.641,32.821,32.406,32.725,100466,0
20050527,32.547,32.895,32.547,32.641,80064,0
20050531,32.547,32.791,31.558,32.632,155216,0
20050601,32.594,33.112,32.574,33.112,152671,0
20050602,33.063,33.138,32.734,32.791,93156,0
20050603,32.743,32.931,32.443,32.547,59325,0
20050606,32.547,32.875,32.358,32.875,68850,0
20050607,32.922,33.26,32.613,32.641,136209,0
20050608,32.641,33.028,32.462,32.462,62297,0
20050609,32.416,32.668,32.311,32.584,122627,0
20050610,32.547,32.547,32.199,32.311,121234,0
20050613,32.406,32.781,32.114,32.781,100054,0
20050614,32.856,33.102,32.594,32.959,129022,0
20050615,33.028,33.374,32.885,33.374,171192,0
20050616,33.394,33.901,33.206,33.901,111852,0
20050617,33.976,34.286,33.675,33.675,362265,0
20050620,33.609,33.693,33.441,33.467,125276,0
20050621,33.675,33.722,33.336,33.384,105889,0
20050622,33.561,33.816,33.234,33.45,113151,0
20050623,33.3,33.431,32.753,32.772,148081,0
20050624,32.706,32.821,32.434,32.762,311681,0
20050627,32.725,32.725,32.34,32.641,117509,0
20050628,32.688,33.243,32.623,33.225,111564,0
20050629,33.252,33.467,32.989,33.394,97056,0
20050630,33.3,33.496,32.95,32.998,91286,0
20050701,33.082,33.364,32.922,33.364,53258,0
20050705,33.148,33.863,33.018,33.863,117186,0
20050706,33.855,33.855,32.875,32.931,112078,0
20050707,32.706,32.914,32.386,32.856,146322,0
20050708,32.905,33.929,32.697,33.863,108974,0
20050711,33.976,34.183,33.722,34.098,142878,0
20050712,34.126,34.286,33.846,34.212,168487,0
20050713,34.231,34.428,33.826,33.958,164380,0
20050714,34.146,34.146,33.684,34.014,210349,0
20050715,33.769,34.381,33.769,34.353,144065,0
20050718,34.381,34.381,33.496,33.524,78903,0
20050719,33.741,34.241,33.732,34.241,102587,0
20050720,34.088,34.719,33.732,34.663,88580,0
20050721,34.663,34.663,33.629,33.722,87341,0
20050722,33.807,34.521,33.639,34.513,100725,0
20050725,34.334,34.747,34.053,34.136,66796,0
20050726,34.173,34.805,34.126,34.71,94007,0
20050727,34.626,35.547,34.626,35.499,204832,0
20050728,35.932,35.932,35.142,35.445,262202,0
20050729,35.18,35.594,35.059,35.105,156165,0
20050801,35.171,35.734,35.002,35.301,129614,0
20050802,35.396,35.744,35.162,35.744,177002,0
20050803,34.993,35.83,34.805,35.801,236104,0
20050804,35.623,35.744,34.87,35.085,262804,0
20050805,34.993,35.256,34.315,34.635,117689,0
20050808,34.737,34.737,34.428,34.597,77073,0
20050809,34.757,35.199,34.295,34.616,181508,0
20050810,34.775,35.19,34.231,34.737,125872,0
20050811,34.663,35.537,34.645,35.416,200710,0
20050812,35.247,35.652,34.822,35.283,136280,0
20050815,35.228,35.679,34.852,35.679,101719,0
20050816,35.499,35.688,35.059,35.34,154858,0
20050817,35.228,35.275,34.898,34.925,120666,0
20050818,34.852,35.085,34.626,35.011,148461,0
20050819,34.852,35.455,34.852,35.32,132670,0
