Date,Open,High,Low,Close,Volume,OpenInt
20130510,25,25.48,24.05,24.5,3887278,0
20130513,24.5,24.63,24.25,24.55,231792,0
20130514,24.55,24.6,24.27,24.54,224047,0
20130515,24.26,24.5,24.18,24.29,146586,0
20130516,24.25,24.28,23.91,24.12,1666114,0
20130517,24.1,25,24.1,24.99,250382,0
20130520,24.95,24.95,24.3,24.7,58268,0
20130521,24.58,24.62,24.36,24.44,34085,0
20130522,24.59,24.59,24.29,24.29,98840,0
20130523,24.18,24.2,23.56,24.13,156274,0
20130524,24.01,24.44,24.01,24.16,54202,0
20130528,24.44,24.44,24.01,24.29,30416,0
20130529,24.11,24.5,24.11,24.42,51365,0
20130530,24.5,24.8,24.38,24.79,95606,0
20130531,24.75,25.25,24.75,25.12,123140,0
20130603,25.24,25.91,25.2,25.91,150858,0
20130604,25.89,26.43,25.84,25.93,87199,0
20130605,26.2,26.2,25.48,25.57,76693,0
20130606,25.7,25.75,24.9,25.22,28316,0
20130607,24.36,25.69,24.26,25.59,41089,0
20130610,25.68,25.68,25,25.55,50229,0
20130611,25.39,25.47,24.78,24.94,47419,0
20130612,25.23,25.445,25,25.26,30860,0
20130613,25.29,25.29,24.053,25.02,35769,0
20130614,25.05,25.49,24.95,25.06,18984,0
20130617,25.35,25.49,24.82,25.22,57863,0
20130618,25.32,25.67,25.03,25.25,37907,0
20130619,25.28,25.52,25.1,25.31,38112,0
20130620,25.17,25.68,25.16,25.51,35844,0
20130621,25.64,25.7,24.64,25.61,138517,0
20130624,25.29,25.44,24.66,25.15,60721,0
20130625,25.26,25.29,24.95,25.19,124272,0
20130626,25.32,25.7,24.97,25.61,88155,0
20130627,25.7,25.7,25.11,25.25,145511,0
20130628,24.8,24.85,24.32,24.4,687625,0
20130701,24.48,25.23,24.242,25.15,69349,0
20130702,25.06,25.445,24.91,25.14,26368,0
20130703,25.12,25.16,24.73,24.95,14076,0
20130705,25,25,24.65,25,25228,0
20130708,25,25.03,24.685,25.03,19508,0
20130709,24.975,25.35,24.87,25.04,126165,0
20130710,24.74,25.59,24.74,25.46,98771,0
20130711,25.65,26,25.5,25.99,147015,0
20130712,26,26.4,25.64,26.24,56628,0
20130715,26.25,26.45,26.01,26.21,31487,0
20130716,26.135,26.87,26.077,26.66,71218,0
20130717,26.75,26.97,26.5,26.55,55223,0
20130718,26.64,26.98,26.601,26.95,28525,0
20130719,26.9,27.322,26.75,27.02,28224,0
20130722,26.95,27.3,26.95,27.14,65222,0
20130723,27.14,27.69,26.71,27.03,81652,0
20130724,27.05,27.96,26.28,26.58,22275,0
20130725,26.52,27.16,26.29,26.5,82932,0
20130726,26.19,26.82,26.14,26.56,89007,0
20130729,26.31,26.54,25.9,26.05,41006,0
20130730,26.29,26.29,26,26.2,11838,0
20130731,25.71,26.26,24.86,26.16,376601,0
20130801,26.14,26.4,25.44,26.24,117839,0
20130802,26.09,26.09,25.5,25.61,217056,0
20130805,25.5,25.71,24.93,25.6,207903,0
20130806,25.53,26.27,25.43,26.06,219756,0
20130807,26.02,26.05,25.74,25.92,44667,0
20130808,25.57,25.97,25.42,25.5,58559,0
20130809,25.45,25.5,24.92,24.98,12261,0
20130812,24.98,25.75,24.08,25.73,64304,0
20130813,25.88,26,25.41,25.61,97345,0
20130814,25.49,25.54,25.16,25.27,37492,0
20130815,25.02,25.35,24.9,24.97,53047,0
20130816,25.71,25.71,24.9,24.97,40888,0
20130819,25.09,25.24,24.25,24.47,43662,0
20130820,24.55,25.1,24.5,24.73,22048,0
20130821,24.66,24.87,24.45,24.5,25314,0
20130822,24.62,24.85,24.4,24.56,24998,0
20130823,24.53,24.83,24.5,24.56,84121,0
20130826,24.52,24.6,24.05,24.29,60283,0
20130827,23.94,24.16,23.61,23.76,93427,0
20130828,23.52,24.144,23.05,23.71,162233,0
20130829,23.56,23.64,23.53,23.55,105373,0
20130830,23.55,23.63,23.5,23.51,31173,0
20130903,23.71,23.74,23.24,23.26,31560,0
20130904,23.35,23.6,23.02,23.57,103045,0
20130905,23.9,23.9,23.31,23.38,28950,0
20130906,23.51,23.76,23.45,23.62,48611,0
20130909,23.45,23.69,23.35,23.68,5336,0
20130910,23.74,23.79,23.49,23.61,22728,0
20130911,23.51,23.73,23.45,23.69,156196,0
20130912,23.63,23.79,23.63,23.75,40858,0
20130913,23.82,23.9,23.45,23.78,284884,0
20130916,23.76,23.9,23.7,23.9,33433,0
20130917,23.86,23.9,23.75,23.87,65897,0
20130918,23.8,24.31,23.65,24.26,39860,0
20130919,24.34,24.34,23.905,24,36502,0
20130920,23.73,24.03,23.67,23.75,55128,0
20130923,23.76,24.05,23.76,23.95,53082,0
20130924,23.89,24.01,23.6,23.92,41190,0
20130925,23.9,24.4,23.77,24.19,97700,0
20130926,24.45,24.56,24.25,24.47,80398,0
20130927,24.5,24.6,24.35,24.47,62600,0
20130930,24.35,24.5,24.23,24.38,32900,0
20131001,24.3,24.82,24.26,24.42,76100,0
20131002,24.32,24.55,24.22,24.25,45300,0
20131003,24.3,24.48,24.18,24.29,70454,0
20131004,24.33,24.85,24.33,24.78,197860,0
20131007,24.66,24.86,24.4,24.65,27900,0
20131008,24.46,24.65,24.39,24.52,59900,0
20131009,24.65,25,24.51,24.6,25900,0
20131010,24.75,25,24.56,24.73,30500,0
20131011,24.71,25,24.53,24.93,24900,0
20131014,24.69,24.95,24.69,24.95,16300,0
20131015,24.89,24.89,24.62,24.73,13000,0
20131016,24.75,25.56,24.75,25.51,60900,0
20131017,25.34,25.67,25.23,25.33,39300,0
20131018,25.51,25.97,24.83,25.84,80600,0
20131021,25.83,26.82,25.64,26.59,52700,0
20131022,26.84,27.2,26.26,26.55,42200,0
20131023,26.51,26.72,26.33,26.52,22000,0
20131024,26.45,26.95,25.94,26.82,71796,0
20131025,26.76,26.99,26.2,26.56,70900,0
20131028,26.55,26.96,26.06,26.6,59200,0
20131029,26.52,26.97,26.43,26.78,44200,0
20131030,26.68,27.21,26.61,26.84,28900,0
20131031,26.76,27,26.205,26.65,29641,0
20131101,26.96,27.02,26.5,26.68,82500,0
20131104,26.71,26.71,26.02,26.25,61700,0
20131105,26.24,26.25,25.8,26.06,21500,0
20131106,26.04,26.35,26.04,26.35,102917,0
20131107,26.3,26.74,25.77,26.28,27700,0
20131108,26.46,28.97,26.46,28.6,212407,0
20131111,28.75,29.26,28.33,28.87,124400,0
20131112,28.86,28.86,27.61,28.73,74400,0
20131113,28.54,28.68,28.24,28.51,77100,0
20131114,28.48,28.48,27.931,28.28,28127,0
20131115,28.18,28.4,27.376,28.08,68857,0
20131118,27.97,28.22,27.7,28,116700,0
20131119,27.99,28.09,27.73,27.98,191000,0
20131120,28,28.02,25.77,27.77,24300,0
20131121,27.78,28,27.65,27.94,200000,0
20131122,28,28.05,27.53,27.98,585700,0
20131125,28,29.53,27.91,29.1,584835,0
20131126,29.22,29.31,28.64,28.78,173400,0
20131127,28.9,29.02,28.8,28.87,53885,0
20131129,28.97,28.99,28.77,28.88,15010,0
20131202,28.83,29,28.29,28.3,32082,0
20131203,28.31,28.5,28.15,28.34,22600,0
20131204,28.28,28.77,28.2,28.38,20600,0
20131205,28.28,28.77,28.2,28.74,32400,0
20131206,28.83,29.35,28.83,29.13,83500,0
20131209,29.12,29.29,29,29.17,71600,0
20131210,29.2,29.23,28.64,28.82,213400,0
20131211,28.83,29.07,28.47,28.78,66766,0
20131212,28.83,29.01,28.75,28.83,44300,0
20131213,28.78,29,28.53,28.99,174600,0
20131216,28.91,30.02,28.91,30,99300,0
20131217,30,30.41,30,30.25,190900,0
20131218,30.25,30.42,30.06,30.38,86361,0
20131219,30.3,30.76,30.1,30.23,55500,0
20131220,30.5,30.85,30.4,30.85,282400,0
20131223,30.92,31.49,30.78,31.42,61000,0
20131224,31.41,31.95,31.41,31.62,31020,0
20131226,31.81,32.04,31.35,31.6,79400,0
20131227,31.72,32.31,31.34,32.09,74429,0
20131230,32.21,32.55,31.5,32.35,49392,0
20131231,32.29,33.11,32.01,32.3,53500,0
20140102,32.28,32.3,31.67,31.9,127937,0
20140103,32.11,32.25,31.54,32.03,52115,0
20140106,32,32.96,32,32.42,121170,0
20140107,32.61,33.03,32.14,32.22,342300,0
20140108,32.37,32.6,32.06,32.5,69900,0
20140109,32.66,32.9,32.35,32.56,107200,0
20140110,32.31,33.5,32.3,33.22,212793,0
20140113,33.24,33.36,32.13,32.41,89900,0
20140114,32.5,32.9,32.24,32.51,60517,0
20140115,32.48,32.96,32.47,32.59,51600,0
20140116,32.62,32.84,32.1,32.25,68100,0
20140117,32.13,32.67,31.31,32.3,44900,0
20140121,32.3,32.95,32.09,32.75,51923,0
20140122,32.9,33.17,32.67,32.85,57216,0
20140123,32.85,33.37,32.27,33.11,88600,0
20140124,32.84,33.21,32.5,33,48600,0
20140127,32.96,33.35,32.5,32.89,82000,0
20140128,32.73,33.3,32.61,32.89,48700,0
20140129,32.54,33,31.82,31.94,78572,0
20140130,32.8,32.82,31.64,32.48,32770,0
20140131,32.06,32.81,31.7,32.6,95300,0
20140203,32.74,33.37,31.65,31.81,103347,0
20140204,31.69,32.56,31.64,32.32,63702,0
20140205,32.78,32.78,31.97,32.16,96642,0
20140206,32.14,33.03,32.14,32.83,74520,0
20140207,32.97,33.14,32.51,32.91,46606,0
20140210,32.705,32.99,32.29,32.5,62623,0
20140211,32.9,33.85,32.62,33.44,85762,0
20140212,33.65,33.828,33.4,33.57,135567,0
20140213,33.51,33.89,33.28,33.44,80291,0
20140214,33.5,33.91,33.21,33.49,64386,0
20140218,33.89,34,33.16,33.52,65218,0
20140219,33.39,33.99,33.3,33.44,52502,0
20140220,33.37,33.87,33.065,33.32,65956,0
20140221,33.29,33.74,32.48,32.76,80823,0
20140224,32.9,33.4,32.536,32.8,46486,0
20140225,32.35,33,32.29,32.68,47623,0
20140226,32.358,33.183,32.358,32.94,48142,0
20140227,33.13,33.94,33.13,33.46,127880,0
20140228,33.26,33.49,33.25,33.37,49960,0
20140303,33.24,33.33,32.75,32.76,30079,0
20140304,33,33.11,32.41,32.975,158046,0
20140305,32.93,33.02,32.366,32.96,50281,0
20140306,32.81,32.98,32.45,32.87,66295,0
20140307,32.89,33.16,32.522,32.9,131499,0
20140310,32.83,33.08,32.66,32.97,91187,0
20140311,32.76,33,32.48,32.9,72428,0
20140312,32.52,33.03,32.52,32.88,102448,0
20140313,33.3,33.92,32.68,32.97,36716,0
20140314,32.25,33,32.25,32.87,84670,0
20140317,33.14,33.34,32.632,33.2,36625,0
20140318,33.32,33.74,33.06,33.6,54640,0
20140319,33.57,33.85,33.11,33.69,91998,0
20140320,33.96,34.74,33.396,34.51,76238,0
20140321,34.6,34.83,34.21,34.53,83303,0
20140324,34.55,34.7,34.4,34.43,73270,0
20140325,34.64,34.98,33.86,34.11,125140,0
20140326,34.36,34.85,34,34.55,81500,0
20140327,34.55,34.98,34.01,34.33,105800,0
20140328,34.25,34.87,34.17,34.35,63575,0
20140331,34.93,35.25,34.32,34.86,67482,0
20140401,34.86,35.56,33.532,35.43,87778,0
20140402,32.515,35.83,32.515,35.42,57371,0
20140403,35.2,35.44,34.35,34.7,73640,0
20140404,34.9,35.46,34.44,34.47,93031,0
20140407,34.4,34.65,34.15,34.19,65487,0
20140408,34.29,34.45,34,34.16,68102,0
20140409,34.37,34.57,34.11,34.44,39644,0
20140410,34.44,34.54,33.91,33.98,89642,0
20140411,33.85,33.98,33.3,33.36,39897,0
20140414,33.66,33.8,32.86,33.31,46042,0
20140415,33.38,33.5,33.06,33.35,41124,0
20140416,33.5,33.5,33.01,33.42,52793,0
20140417,33.26,33.6,33.25,33.43,19919,0
20140421,33.94,33.94,33.34,33.43,29648,0
20140422,33.49,33.56,33.21,33.28,43627,0
20140423,33.34,33.45,33.23,33.25,29404,0
20140424,33.42,33.6,33.03,33.3,37705,0
20140425,33.27,33.43,32.51,32.87,66909,0
20140428,33.23,33.23,32.18,32.56,23998,0
20140429,32.78,32.78,31.35,31.61,95402,0
20140430,31.31,31.77,30.81,31.1,210817,0
20140501,30.9,32,30.39,31.7,109581,0
20140502,30.3,32.5,30.3,32.04,60214,0
20140505,31.75,32.49,31.6,32.15,27156,0
20140506,32.09,32.19,31.31,31.43,46967,0
20140507,31.51,32.07,31.07,31.85,36888,0
20140508,31.89,31.93,31.08,31.26,29112,0
20140509,31.56,32.01,30.97,31.11,42843,0
20140512,31.24,32.31,31.07,31.78,92588,0
20140513,31.34,32.335,31.34,31.65,51419,0
20140514,31.43,31.79,31.23,31.43,41459,0
20140515,31.63,31.88,31.03,31.72,263335,0
20140516,31.89,31.89,31.182,31.49,103035,0
20140519,31.52,32.205,31.17,31.99,85752,0
20140520,31.84,32.29,31.49,31.82,68008,0
20140521,31.8,32.7,31.401,31.9,213610,0
20140522,32.08,32.8,31.82,32.6,45015,0
20140523,32.75,33.33,32.1,32.78,36007,0
20140527,33.2,34.28,33.01,33.6,104263,0
20140528,33.79,33.87,32.904,33.69,75708,0
20140529,33.68,33.99,32.86,33.83,41198,0
20140530,33.88,34.07,32.958,33.9,108679,0
20140602,33.74,34.06,33.35,33.91,39681,0
20140603,33.6,34.38,33.016,33.99,79748,0
20140604,33.79,34.11,33.71,34,89687,0
20140605,33.92,34.88,33.92,34.52,223819,0
20140606,33.64,33.7,30.65,32.04,602175,0
20140609,30.12,32.185,29.18,31.7,316732,0
20140610,31.44,31.54,30.62,30.74,229300,0
20140611,30.66,31.36,30.65,30.88,146197,0
20140612,30.84,30.92,30.06,30.63,118057,0
20140613,30.944,31.22,30.41,30.63,88685,0
20140616,30.74,31.18,30.432,30.84,89774,0
20140617,31.1,31.43,30.65,30.985,72763,0
20140618,30.89,31.405,30.79,31.32,96871,0
20140619,31.97,32.94,31.38,32.71,247571,0
20140620,32.75,32.97,32.53,32.8,121611,0
20140623,32.75,32.88,32.51,32.75,94640,0
20140624,32.69,33.29,32.54,32.94,129651,0
20140625,32.965,33.298,32.61,33.11,113281,0
20140626,33.24,33.38,32.92,33.3,84636,0
20140627,33.14,33.98,33.062,33.72,1706575,0
20140630,33.67,33.89,33.37,33.51,117601,0
20140701,33.51,34.47,33.36,33.95,165569,0
20140702,34.09,34.09,33.48,33.74,83800,0
20140703,33.88,34.1,33.79,34.05,54895,0
20140707,34.09,34.75,33.72,33.75,70973,0
20140708,33.6,33.7,33,33.36,80501,0
20140709,33.55,33.603,33.16,33.25,71558,0
20140710,32.9,33.2,32.53,32.92,49670,0
20140711,32.96,32.96,32.46,32.62,87010,0
20140714,32.81,32.9,32.62,32.68,41993,0
20140715,32.82,33.04,32.25,32.87,93077,0
20140716,32.87,32.98,32.16,32.24,49593,0
20140717,32.1,32.23,31.51,31.59,80649,0
20140718,31.51,32.48,31.5,32.24,99242,0
20140721,31.98,32.35,31.9,32,38299,0
