Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.504,12.747,12.212,12.457,35113,0
20050228,12.727,12.845,12.232,12.816,26445,0
20050301,12.389,13.019,12.36,12.717,19810,0
20050302,12.698,12.893,12.601,12.893,23064,0
20050303,12.989,13.552,12.95,13.338,74170,0
20050304,13.415,13.415,13.087,13.319,21448,0
20050307,13.097,13.338,13.097,13.163,8781,0
20050308,13.087,13.192,12.999,12.999,6327,0
20050309,12.989,13.009,12.698,12.727,15492,0
20050310,12.698,12.767,12.552,12.552,17563,0
20050311,12.562,12.883,12.504,12.883,8641,0
20050314,12.591,12.883,12.409,12.883,10954,0
20050315,12.717,13.133,12.562,13.087,13308,0
20050316,13.038,13.038,12.457,12.679,10953,0
20050317,12.533,12.698,12.448,12.62,12698,0
20050318,12.448,12.989,12.448,12.796,11127,0
20050321,12.601,12.64,12.242,12.64,26500,0
20050322,12.552,12.747,12.504,12.552,42108,0
20050323,12.466,14.299,12.301,13.861,198516,0
20050324,13.958,13.978,13.097,13.444,111543,0
20050328,13.386,13.542,13.289,13.299,10242,0
20050329,13.202,13.309,12.65,13.019,28416,0
20050330,12.913,13.133,12.913,12.95,12017,0
20050331,12.941,13.126,12.747,13.126,19235,0
20050401,12.999,13.211,12.65,13.087,38117,0
20050404,13.133,13.133,12.65,12.698,18312,0
20050405,12.65,13.533,12.601,13.23,84920,0
20050406,13.117,13.425,13.038,13.192,15009,0
20050407,13.562,13.562,13.192,13.338,29073,0
20050408,13.126,13.493,13.097,13.27,5014,0
20050411,13.279,13.279,13.182,13.192,11387,0
20050412,13.038,13.309,12.95,13.068,14441,0
20050413,13.319,13.377,13.143,13.329,21296,0
20050414,13.153,13.368,13.097,13.329,15984,0
20050415,13.25,13.25,12.786,12.796,22523,0
20050418,12.66,13.425,12.66,13.425,9798,0
20050419,13.425,13.425,12.922,13.048,28852,0
20050420,12.865,13.126,12.865,12.873,7171,0
20050421,13.163,13.182,12.893,13.182,20014,0
20050422,12.913,13.687,12.865,13.572,142682,0
20050425,13.707,13.707,13.299,13.62,81991,0
20050426,13.601,14.539,13.572,14.299,63300,0
20050427,14.075,14.803,14.075,14.347,112987,0
20050428,14.347,14.47,13.679,13.861,34574,0
20050429,13.861,14.347,13.309,14.055,53513,0
20050502,13.542,13.832,13.377,13.513,39046,0
20050503,13.377,13.377,12.601,12.669,255941,0
20050504,12.611,12.941,12.611,12.767,26070,0
20050505,12.796,12.855,12.767,12.796,18186,0
20050506,12.698,12.796,12.698,12.698,12601,0
20050509,12.601,12.845,12.601,12.776,10625,0
20050510,12.717,12.845,12.116,12.448,71487,0
20050511,12.485,12.533,12.145,12.494,38299,0
20050512,12.688,12.737,12.523,12.601,26935,0
20050513,12.33,12.35,12.126,12.164,54869,0
20050516,12.107,12.271,12.087,12.194,13048,0
20050517,12.049,12.116,11.838,11.924,44700,0
20050518,11.789,12.019,11.789,11.865,41161,0
20050519,11.828,11.875,11.642,11.671,36360,0
20050520,11.661,11.661,11.041,11.408,27861,0
20050523,11.39,11.7,11.39,11.7,15836,0
20050524,11.73,11.799,11.466,11.466,11039,0
20050525,12.009,12.35,11.342,12.242,28754,0
20050526,12.252,12.36,11.661,12.019,38611,0
20050527,12.097,12.097,11.466,11.847,46162,0
20050531,11.553,12.825,11.342,12.601,80934,0
20050601,12.63,12.63,11.954,12.291,52449,0
20050602,12.562,12.708,12.222,12.63,44801,0
20050603,12.65,12.65,12.242,12.409,18775,0
20050606,12.126,12.438,11.982,12.232,10743,0
20050607,12.164,12.504,12.116,12.504,15802,0
20050608,12.552,12.552,12.194,12.33,6241,0
20050609,12.476,12.485,12.301,12.32,10717,0
20050610,12.369,12.485,12.194,12.194,9750,0
20050613,11.895,12.261,11.895,12.261,20358,0
20050614,12.049,12.222,12.039,12.067,16879,0
20050615,11.895,12.058,11.73,11.73,32058,0
20050616,11.828,11.905,11.769,11.789,9584,0
20050617,11.661,11.982,11.495,11.838,32602,0
20050620,11.982,12.504,11.895,12.485,41000,0
20050621,12.36,13.087,12.164,12.893,53205,0
20050622,12.845,13.087,12.679,12.96,51085,0
20050623,13.087,13.279,12.922,12.999,67912,0
20050624,13.153,13.153,12.737,12.865,21401,0
20050627,12.611,12.989,12.116,12.533,20528,0
20050628,12.457,12.865,12.457,12.601,9857,0
20050629,12.504,12.571,12.126,12.409,55637,0
20050630,12.485,12.64,12.379,12.494,12483,0
20050701,12.65,12.698,12.261,12.476,16799,0
20050705,12.485,12.485,12.116,12.164,28479,0
20050706,12.116,12.35,11.661,11.7,40498,0
20050707,11.612,11.856,11.612,11.72,10559,0
20050708,11.543,11.74,11.466,11.681,25824,0
20050711,11.934,12.311,11.74,12.009,26182,0
20050712,11.828,11.963,11.681,11.71,6952,0
20050713,11.875,11.875,11.681,11.71,5030,0
20050714,11.691,11.691,11.534,11.642,7027,0
20050715,11.534,11.622,11.534,11.573,5598,0
20050718,11.534,12.067,11.438,11.799,40879,0
20050719,11.954,12.019,11.651,11.875,21513,0
20050720,11.972,11.972,11.875,11.875,13555,0
20050721,11.875,12.438,11.651,12.418,27827,0
20050722,12.311,12.409,12.009,12.019,6501,0
20050725,12.009,12.271,11.651,12.222,15935,0
20050726,12.212,12.252,12.212,12.252,414,0
20050727,12.097,12.36,12.087,12.36,3559,0
20050728,12.504,12.504,12.019,12.311,12456,0
20050729,12.164,12.311,12.116,12.311,12843,0
20050801,12.222,12.301,11.885,12.242,8283,0
20050802,12.34,12.34,11.73,12.087,15486,0
20050803,12.039,12.591,12.039,12.087,44555,0
20050804,12.116,12.222,11.73,12.116,14031,0
20050805,12.067,12.116,11.934,11.934,8255,0
20050808,11.799,12.116,11.779,11.779,21739,0
20050809,11.779,11.885,11.73,11.749,13720,0
20050810,11.73,12.252,11.543,11.875,19181,0
20050811,11.875,11.875,11.012,11.828,17319,0
20050812,11.612,12.457,11.148,11.865,24345,0
20050815,11.895,11.895,11.495,11.632,11332,0
20050816,11.632,11.73,11.632,11.632,4024,0
20050817,11.759,12.116,11.515,11.671,25686,0
20050818,11.632,11.632,11.398,11.583,30406,0
20050819,11.681,11.681,11.39,11.418,13522,0
20050822,11.632,11.789,11.447,11.457,10727,0
20050823,11.515,11.632,11.466,11.495,5866,0
20050824,11.72,11.72,11.39,11.457,7014,0
20050825,11.515,11.642,11.438,11.466,4072,0
20050826,11.438,11.553,11.293,11.398,18739,0
20050829,11.148,11.398,10.672,11.244,62365,0
20050830,10.983,11.206,10.807,11.09,15780,0
20050831,11.197,11.351,10.807,11.351,87368,0
20050901,11.274,11.332,10.672,11.109,14842,0
20050902,10.914,11.109,10.539,10.711,56120,0
20050906,10.953,10.953,10.605,10.788,21122,0
20050907,10.595,10.662,10.539,10.615,61952,0
20050908,10.662,10.876,10.662,10.836,54890,0
20050909,10.662,10.827,10.625,10.633,6501,0
20050912,10.615,10.807,10.549,10.721,12844,0
20050913,12.601,12.845,11.408,12.029,156191,0
20050914,12.504,12.611,11.769,12.409,50641,0
20050915,12.571,12.669,12.164,12.504,24658,0
20050916,12.389,12.679,12.35,12.476,29913,0
20050919,12.571,12.581,12.116,12.494,36388,0
20050920,12.523,12.601,12.126,12.591,17479,0
20050921,12.688,13.019,12.611,12.941,35211,0
20050922,13.087,13.087,12.865,13.048,27955,0
20050923,12.989,13.221,12.989,13.221,14488,0
20050926,13.221,13.221,12.601,12.717,24946,0
20050927,12.717,12.786,12.698,12.786,6085,0
20050928,13.009,13.068,12.999,13.019,36700,0
20050929,13.009,13.009,12.737,12.903,15972,0
20050930,13.077,13.133,13.068,13.077,21974,0
20051003,12.913,13.434,12.913,13.338,42745,0
20051004,13.454,13.562,12.825,12.893,24726,0
20051005,12.893,12.893,12.796,12.806,5717,0
20051006,12.747,12.796,12.389,12.688,24067,0
20051007,12.601,12.688,12.36,12.513,6449,0
20051010,12.737,12.737,12.485,12.552,3903,0
20051011,12.591,12.591,12.34,12.34,13293,0
20051012,12.36,12.418,12.34,12.399,6317,0
20051013,12.369,12.64,12.36,12.494,14105,0
20051014,12.737,12.835,12.457,12.552,6412,0
20051017,12.485,12.504,12.116,12.32,20288,0
20051018,12.494,12.494,12.126,12.174,3628,0
20051019,12.164,12.184,11.197,11.39,49580,0
20051020,11.225,11.885,11.225,11.759,7429,0
20051021,11.73,11.799,11.215,11.681,15349,0
20051024,11.74,12.009,11.099,11.749,20231,0
20051025,12.883,12.883,11.38,11.573,17156,0
20051026,11.642,11.642,11.05,11.129,39522,0
20051027,11.012,11.05,11.012,11.022,5557,0
20051028,10.963,11.032,10.924,10.973,22670,0
20051031,11.215,11.244,11.215,11.244,1342,0
20051101,11.235,11.991,11.129,11.818,8854,0
20051102,11.642,11.828,11.592,11.632,3912,0
20051103,11.524,11.612,11.109,11.438,5467,0
20051104,11.428,11.573,11.012,11.012,8047,0
20051107,10.885,11.148,10.885,11.09,26730,0
20051108,11.05,11.05,10.924,10.953,4152,0
20051109,11.148,11.158,10.963,11.05,14624,0
20051110,11.244,11.438,10.73,11.139,76464,0
20051111,11.457,12.271,11.428,11.885,53447,0
20051114,12.591,12.591,11.495,11.632,27486,0
20051115,11.808,11.808,11.342,11.428,63799,0
20051116,11.622,12.466,11.602,12.212,25966,0
20051117,12.36,12.679,11.885,12.65,94132,0
20051118,12.65,12.65,12.571,12.611,21344,0
20051121,12.698,12.893,12.698,12.893,28222,0
20051122,12.611,12.893,12.601,12.893,25589,0
20051123,12.562,12.893,12.562,12.747,34908,0
20051125,12.786,12.989,12.767,12.873,11167,0
20051128,12.873,13.029,12.66,12.999,23207,0
20051129,12.835,13.087,12.62,12.979,30100,0
20051130,13.087,13.23,12.989,13.087,43813,0
20051201,13.107,13.299,13.107,13.182,113670,0
20051202,13.182,13.182,12.893,13.163,65181,0
20051205,13.087,14.431,13.038,13.909,181871,0
20051206,13.929,14.86,13.755,14.803,152493,0
20051207,14.87,14.87,14.291,14.539,68531,0
20051208,14.539,14.938,14.261,14.773,55072,0
20051209,15.092,15.384,14.783,15.016,45759,0
20051212,14.928,15.189,14.928,15.121,37531,0
20051213,15.026,15.607,15.026,15.509,154249,0
20051214,15.296,15.607,15.296,15.432,134402,0
20051215,15.568,15.568,15.48,15.518,44610,0
20051216,15.656,15.994,15.518,15.868,28217,0
20051219,15.994,16.935,15.994,16.382,90194,0
20051220,16.587,16.587,16.391,16.48,55053,0
20051221,16.46,16.48,16.188,16.46,71359,0
20051222,16.45,16.567,16.382,16.567,67151,0
20051223,16.48,16.616,16.391,16.48,52974,0
20051227,16.47,16.691,16.431,16.529,47209,0
20051228,16.529,16.577,16.47,16.577,30135,0
20051229,16.672,16.71,16.557,16.606,30925,0
20051230,16.606,16.626,16.48,16.587,33865,0
20060103,16.48,17.264,16.431,17.264,52276,0
20060104,17.595,17.595,17.187,17.585,35733,0
20060105,17.595,17.622,16.285,17.459,102198,0
20060106,17.507,17.806,17.255,17.409,13837,0
20060109,17.546,17.613,16.653,16.72,29294,0
20060110,16.509,17.933,16.509,17.798,84562,0
20060111,17.933,19.232,17.651,18.32,59213,0
20060112,18.28,18.901,18.174,18.28,52676,0
20060113,18.515,18.515,17.982,18.126,29416,0
20060117,18.224,18.417,17.933,17.943,14985,0
20060118,17.816,17.816,17.69,17.69,8899,0
20060119,17.788,18.329,17.449,18.06,26164,0
20060120,18.436,18.436,18.108,18.174,18036,0
20060123,18.515,18.515,18.06,18.174,16150,0
20060124,18.224,18.466,18.214,18.407,37319,0
20060125,18.564,18.564,18.194,18.204,18583,0
20060126,18.098,18.252,18.079,18.174,4952,0
20060127,18.174,18.436,18.174,18.349,19916,0
20060130,17.825,18.339,17.825,18.252,23362,0
20060131,17.972,18.079,17.825,17.933,28242,0
20060201,17.933,18.407,17.855,18.174,21227,0
20060202,18.02,18.136,17.825,17.835,23133,0
20060203,17.825,17.825,16.519,17.255,40247,0
20060206,17.7,17.7,16.769,16.769,13768,0
20060207,16.519,17.011,16.382,16.896,25222,0
20060208,16.963,16.963,16.71,16.72,19786,0
20060209,17.05,17.05,16.7,16.72,5229,0
20060210,16.682,16.72,16.577,16.577,7468,0
20060213,17.05,17.05,16.149,16.217,21954,0
20060214,16.043,16.557,16.043,16.382,19971,0
20060215,16.431,16.567,16.333,16.382,16027,0
20060216,16.529,16.529,16.052,16.315,25484,0
20060217,16.13,16.285,15.838,15.838,19246,0
20060221,15.676,15.79,15.414,15.48,47760,0
20060222,15.5,17.884,15.365,16.577,103854,0
20060223,16.401,16.48,16.236,16.333,20408,0
20060224,16.305,16.333,15.926,16.091,32378,0
20060227,16.324,16.333,15.984,16.149,23367,0
20060228,16.052,16.372,16.052,16.188,22866,0
20060301,16.149,16.342,16.072,16.091,18318,0
20060302,16.662,16.662,16.285,16.285,9411,0
20060303,16.208,16.441,15.656,16.236,18994,0
20060306,16.48,16.856,15.751,16.596,55396,0
20060307,16.596,16.963,16.236,16.653,27418,0
20060308,16.653,16.954,16.49,16.635,15496,0
20060309,16.46,16.691,16.46,16.539,21404,0
20060310,16.529,16.954,16.509,16.529,20629,0
20060313,16.509,16.682,16.509,16.529,22457,0
20060314,16.577,16.577,16.431,16.48,38121,0
20060315,16.431,16.577,16.421,16.577,35165,0
20060316,16.411,16.567,16.391,16.431,31207,0
