Date,Open,High,Low,Close,Volume,OpenInt
20150414,0.4,0.4,0.4,0.4,10000,0
20150416,0.35,0.35,0.35,0.35,130000,0
20150417,0.3,0.35,0.3,0.35,40400,0
20150420,0.32,0.34,0.32,0.34,11700,0
20150421,0.35,0.35,0.35,0.35,10000,0
20150424,0.34,0.34,0.34,0.34,5000,0
20150427,0.34,0.34,0.34,0.34,10000,0
20150428,0.34,0.34,0.34,0.34,46600,0
20150504,0.32,0.32,0.32,0.32,5000,0
20150505,0.32,0.32,0.32,0.32,5000,0
20150506,0.36,0.38,0.34,0.34,13000,0
20150513,0.32,0.32,0.32,0.32,20000,0
20150518,0.31,0.31,0.3011,0.3011,10000,0
20150519,0.33,0.33,0.33,0.33,5200,0
20150526,0.4,0.4,0.3999,0.4,9900,0
20150603,0.57,0.6,0.57,0.6,3000,0
20150604,0.55,0.55,0.55,0.55,300,0
20150609,0.4,0.4,0.4,0.4,5000,0
20150610,0.399,0.4,0.399,0.4,15200,0
20150612,0.65,0.8,0.65,0.65,400,0
20150615,0.43,0.44,0.4,0.44,22100,0
20150617,0.41,0.41,0.39,0.39,6100,0
20150618,0.37,0.37,0.37,0.37,200,0
20150619,0.45,0.45,0.45,0.45,2500,0
20150622,0.45,0.45,0.37,0.4,15300,0
20150714,0.38,0.38,0.38,0.38,9810,0
20150715,0.34,0.35,0.34,0.34,1800,0
20150717,0.34,0.34,0.34,0.34,21600,0
20150720,0.34,0.34,0.34,0.34,1000,0
20150721,0.33,0.33,0.33,0.33,25000,0
20150727,0.32,0.32,0.32,0.32,30000,0
20150730,0.32,0.35,0.32,0.35,30100,0
20150731,0.32,0.35,0.32,0.35,21300,0
20150812,0.35,0.35,0.35,0.35,9900,0
20150824,0.3199,0.32,0.3199,0.32,10000,0
20150825,0.31,0.31,0.31,0.31,1500,0
20150831,0.33,0.39,0.33,0.39,3100,0
20150903,0.35,0.35,0.3,0.3,5400,0
20150910,0.33,0.33,0.3111,0.3111,10100,0
20150915,0.3,0.3,0.3,0.3,10200,0
20150918,0.29,0.29,0.29,0.29,6500,0
20151012,0.34,0.35,0.34,0.35,206,0
20151030,0.4,0.4,0.4,0.4,100,0
20151111,0.35,0.35,0.35,0.35,100,0
20151130,0.38,0.38,0.38,0.38,100,0
20151224,0.22,0.35,0.22,0.35,417,0
20151230,0.35,0.38,0.3499,0.38,1900,0
20160111,0.3299,0.3299,0.3299,0.3299,118,0
20160112,0.33,0.33,0.33,0.33,100,0
20160113,0.3201,0.3201,0.3201,0.3201,125,0
20160129,0.45,0.45,0.45,0.45,100,0
20160203,0.45,0.45,0.45,0.45,100,0
20160204,0.2501,0.2501,0.2501,0.2501,100,0
20160229,0.4,0.4,0.4,0.4,100,0
20160308,0.45,0.69,0.45,0.69,419162,0
20160309,0.67,0.86,0.611,0.7,41891,0
20160310,0.74,0.7401,0.65,0.6999,6109,0
20160311,0.75,0.75,0.65,0.6999,30500,0
20160314,0.7,0.7,0.611,0.7,37320,0
20160315,0.67,0.6998,0.65,0.6998,24211,0
20160316,0.62,0.7,0.56,0.7,37303,0
20160317,0.735,0.8,0.7,0.7,615,0
20160318,0.74,0.74,0.7,0.7,316,0
20160321,0.74,0.74,0.7,0.7,404,0
20160322,0.65,0.7,0.65,0.7,300,0
20160323,0.7,0.7,0.6499,0.65,19300,0
20160324,0.71,0.7599,0.6998,0.6999,3006,0
20160331,0.65,0.65,0.6499,0.65,3336,0
20160404,0.6061,0.6061,0.6,0.6001,1300,0
20160405,0.6,0.6,0.6,0.6,1000,0
20160406,0.56,0.5601,0.55,0.55,12806,0
20160407,0.5001,0.55,0.5,0.55,12161,0
20160411,0.5001,0.68,0.5001,0.68,4200,0
20160412,0.5001,0.5001,0.5,0.5,8500,0
20160413,0.58,0.58,0.58,0.58,100,0
20160415,0.43,0.475,0.43,0.475,10500,0
