Date,Open,High,Low,Close,Volume,OpenInt
20100312,28.587,28.587,28.466,28.466,241,0
20100315,28.251,28.251,27.739,27.739,536,0
20100316,28.316,28.39,28.289,28.39,1393,0
20100317,28.941,29.286,28.941,29.164,10977,0
20100318,29.044,29.11,28.753,28.753,4464,0
20100319,28.876,28.876,28.222,28.222,3005,0
20100322,27.935,28.418,27.935,28.418,10796,0
20100323,28.485,28.791,28.343,28.709,8881,0
20100324,28.241,28.241,27.972,28.167,9874,0
20100325,28.103,28.241,27.962,27.962,5087,0
20100326,27.999,28.177,27.999,28.037,1565,0
20100329,27.999,28.726,27.999,28.726,1893,0
20100330,28.904,28.931,28.876,28.931,1426,0
20100331,29.164,29.827,28.856,29.192,41948,0
20100401,29.752,30.142,29.752,30.106,11216,0
20100405,30.367,30.853,30.219,30.674,9330,0
20100406,30.58,32.38,30.534,30.983,28419,0
20100407,31.019,31.178,30.843,30.908,7642,0
20100408,30.758,30.87,30.357,30.87,56916,0
20100409,31.244,31.412,31.159,31.402,24974,0
20100412,31.421,31.635,31.261,31.261,5142,0
20100413,31.159,31.159,30.506,30.796,8598,0
20100414,31.326,31.569,31.251,31.524,13759,0
20100415,31.467,31.635,31.467,31.579,15659,0
20100416,31.261,31.261,30.33,30.674,18507,0
20100419,30.442,30.442,29.901,30.367,5713,0
20100420,30.973,31.038,30.888,30.888,3662,0
20100421,30.768,30.853,30.647,30.711,2708,0
20100422,30.181,30.572,30.013,30.442,7834,0
20100423,30.506,30.955,30.46,30.945,7386,0
20100426,30.973,31.514,30.973,31.373,4491,0
20100427,31.131,31.131,30.396,30.396,9013,0
20100428,30.357,30.357,30.06,30.238,2474,0
20100429,30.534,30.87,30.516,30.516,15254,0
20100430,31.121,31.121,30.301,30.301,2949,0
20100503,30.628,30.628,30.199,30.311,30298,0
20100504,29.435,29.435,28.121,28.186,17116,0
20100505,27.365,27.403,26.788,27.16,6934,0
20100506,26.919,27.803,25.52,26.517,22418,0
20100507,26.126,26.126,24.225,25.259,10981,0
20100510,28.941,28.941,27.16,27.646,5200,0
20100511,27.206,27.365,26.993,27.365,10222,0
20100512,27.943,28.343,27.784,28.279,10019,0
20100513,28.326,28.418,27.878,28.028,34741,0
20100514,27.663,27.663,26.582,26.582,3567,0
20100517,26.489,26.545,25.801,26.07,9148,0
20100518,26.619,26.619,25.669,25.735,11778,0
20100519,25.184,25.184,24.16,24.681,24010,0
20100520,23.703,23.703,22.473,22.77,32737,0
20100521,22.378,23.916,22.378,23.693,10593,0
20100524,24.15,24.336,24.085,24.131,3631,0
20100525,22.658,23.424,22.388,23.424,10752,0
20100526,24.411,24.653,24.075,24.075,8059,0
20100527,25.231,25.735,25.231,25.735,8231,0
20100528,25.612,25.612,25.184,25.269,1758,0
20100601,25.072,25.305,24.766,24.831,5680,0
20100602,24.866,25.362,24.84,25.344,5272,0
20100603,25.716,25.716,24.933,24.952,2625,0
20100604,24.626,24.626,23.712,23.712,3817,0
20100607,23.219,23.478,23.19,23.19,4032,0
20100608,23.022,23.219,23.022,23.219,1048,0
20100609,23.749,23.964,23.591,23.693,1673,0
20100610,24.672,24.672,24.336,24.633,4993,0
20100611,24.225,24.393,24.225,24.393,538,0
20100614,24.7,24.904,24.633,24.633,726,0
20100615,25.11,25.315,25.017,25.315,3340,0
20100616,25.148,25.203,25.148,25.175,536,0
20100617,25.689,25.689,25.184,25.184,2989,0
20100618,25.305,25.782,25.305,25.763,1636,0
20100621,26.676,26.751,25.846,25.846,7110,0
20100622,25.529,25.725,25.362,25.362,6323,0
20100623,25.167,25.372,24.979,25.194,2147,0
20100625,24.178,24.56,24.178,24.56,428,0
20100628,24.598,24.633,24.588,24.588,597,0
20100629,24.121,24.121,23.209,23.209,9337,0
20100630,22.994,23.013,22.77,22.77,3863,0
20100701,22.464,22.464,22.295,22.295,1504,0
20100702,22.732,22.929,22.519,22.621,43570,0
20100706,23.591,23.674,23.013,23.153,2683,0
20100707,22.63,23.236,22.63,23.236,2306,0
20100708,23.581,23.638,23.488,23.601,967,0
20100709,23.674,23.674,23.674,23.674,107,0
20100712,23.629,23.638,23.488,23.638,540,0
20100713,24.197,24.197,24.197,24.197,107,0
20100714,24.234,24.234,23.852,23.852,644,0
20100715,23.945,23.945,23.601,23.665,987,0
20100716,23.703,23.703,23.013,23.088,3863,0
20100719,22.668,22.761,22.611,22.611,1866,0
20100720,23.236,23.301,23.236,23.301,842,0
20100721,23.516,23.516,23.115,23.115,1610,0
20100722,23.983,24.085,23.777,24.029,1065,0
20100723,24.495,24.531,24.326,24.531,1393,0
20100726,24.513,24.979,24.513,24.979,1276,0
20100727,25.148,25.157,24.979,24.979,751,0
20100729,25.017,25.025,25.008,25.017,1334,0
20100730,24.952,25.072,24.914,24.979,3153,0
20100802,25.464,25.846,25.464,25.697,9443,0
20100803,25.483,25.65,25.464,25.64,2554,0
20100804,25.707,25.744,25.707,25.744,242,0
20100805,25.567,25.567,25.567,25.567,428,0
20100806,25.269,25.416,25.259,25.259,1715,0
20100809,25.241,25.241,25.241,25.241,236,0
20100810,25.11,25.11,24.933,24.979,1512,0
20100811,24.326,24.326,23.498,23.674,6585,0
20100812,23.619,23.749,23.555,23.749,3110,0
20100813,23.954,23.954,23.739,23.739,1557,0
20100817,24.569,24.569,24.569,24.569,225,0
20100818,24.456,24.476,24.456,24.476,1319,0
20100819,24.317,24.354,24.048,24.048,675,0
20100820,23.683,23.683,23.433,23.638,1504,0
20100823,23.768,23.768,23.768,23.768,215,0
20100824,23.357,23.357,23.041,23.19,2897,0
20100825,22.789,22.789,22.454,22.732,5872,0
20100826,22.845,23.367,22.845,23.078,2151,0
20100830,23.665,23.665,23.209,23.236,2050,0
20100831,23.124,23.199,23.124,23.199,396,0
20100901,24.113,24.345,24.113,24.345,1181,0
20100902,24.354,24.662,24.354,24.569,1935,0
20100903,25.167,25.167,24.923,25.064,1877,0
20100907,24.895,24.895,24.866,24.866,470,0
20100908,25.081,25.222,25.072,25.167,3056,0
20100909,25.231,25.445,25.091,25.091,1213,0
20100910,25.138,25.4,25.138,25.231,967,0
20100913,25.548,26.041,25.548,26.032,3575,0
20100914,26.136,26.284,26.136,26.275,3005,0
20100915,26.209,26.443,26.07,26.443,2968,0
20100916,26.378,26.396,26.378,26.378,428,0
20100917,26.332,26.527,26.332,26.471,644,0
20100920,26.509,26.891,26.509,26.834,3643,0
20100921,27.104,27.104,25.846,26.694,1877,0
20100922,26.796,26.796,26.499,26.657,2252,0
20100923,26.647,26.742,26.396,26.742,1287,0
20100924,27.039,27.104,26.993,27.095,2575,0
20100927,27.104,27.206,27.011,27.151,3373,0
20100928,27.216,27.216,26.769,26.956,1233,0
20100929,27.142,27.262,27.142,27.216,3932,0
20100930,27.262,27.59,27.262,27.449,8110,0
20101001,27.654,27.943,27.654,27.926,4278,0
20101004,27.525,27.672,27.525,27.663,2158,0
20101005,27.952,28.326,27.869,28.261,11434,0
20101006,28.27,28.847,28.065,28.82,11516,0
20101007,28.922,29.369,28.735,28.82,10396,0
20101008,29.322,29.621,29.117,29.612,9422,0
20101011,29.621,29.928,29.547,29.547,5670,0
20101012,29.127,29.212,28.968,29.212,1504,0
20101013,29.259,29.975,29.259,29.761,3121,0
20101014,30.013,30.022,29.873,30.004,4399,0
20101015,29.817,29.817,29.527,29.678,4211,0
20101018,29.508,29.508,29.146,29.491,5514,0
20101019,28.194,29.396,26.937,28.213,10676,0
20101020,28.568,29.445,28.485,29.35,134134,0
20101021,29.35,29.36,28.719,28.922,67524,0
20101022,28.941,30.432,28.503,28.987,76539,0
20101025,29.584,30.086,29.406,29.508,99269,0
20101026,29.453,29.517,29.212,29.445,22050,0
20101027,29.015,29.015,28.558,28.885,81708,0
20101028,29.183,29.277,28.931,29.249,45360,0
20101029,29.439,29.673,29.308,29.607,38695,0
20101101,30.069,30.078,29.556,29.696,12434,0
20101102,30.106,30.516,29.947,30.423,95326,0
20101103,30.405,30.405,29.827,30.396,29592,0
20101104,31.448,31.895,31.178,31.737,10957,0
20101105,31.699,32.018,31.579,31.97,11873,0
20101108,31.803,32.072,31.587,32.072,9099,0
20101109,32.577,33.256,31.336,31.364,83339,0
20101110,31.68,32.044,30.973,32.036,29660,0
20101111,31.915,31.989,31.439,31.989,15525,0
20101112,31.68,31.68,30.702,30.796,23789,0
20101115,30.87,31.317,30.666,30.666,7084,0
20101116,30.133,30.133,28.949,29.127,16549,0
20101117,29.463,29.574,29.268,29.406,7353,0
20101118,29.883,30.255,29.78,30.245,12043,0
20101119,30.171,30.245,29.827,30.245,4601,0
20101122,30.181,30.181,29.547,29.965,6720,0
20101123,29.36,29.416,28.781,29.081,10583,0
20101124,29.63,29.63,29.305,29.593,4726,0
20101126,28.662,29.09,28.549,28.978,11280,0
20101129,28.941,28.941,28.241,28.719,22939,0
20101130,28.177,28.68,28.111,28.558,9761,0
20101201,29.127,29.621,29.025,29.556,14536,0
20101202,29.771,30.796,29.771,30.562,97848,0
20101203,30.853,31.169,30.721,31.169,22840,0
20101206,31.102,31.169,30.768,31.159,10068,0
20101207,31.476,31.532,30.843,30.843,12913,0
20101208,30.674,30.936,30.33,30.683,4554,0
20101209,30.711,30.786,30.311,30.534,6770,0
20101210,30.888,30.888,30.46,30.824,7564,0
20101213,31.308,31.308,31.112,31.14,10422,0
20101214,31.14,31.439,30.936,30.991,4009,0
20101215,30.758,31.261,30.749,30.87,6403,0
20101216,31.084,31.326,30.814,31.075,29256,0
20101217,30.926,31.206,30.843,31.14,5261,0
20101220,31.019,31.504,31.019,31.439,9936,0
20101221,32.445,32.445,31.524,31.812,8770,0
20101222,31.812,31.812,31.402,31.671,9678,0
20101223,32.586,32.586,31.373,31.708,4456,0
20101227,32.064,32.064,31.429,31.559,7660,0
20101228,32.128,32.128,31.54,31.886,13904,0
20101229,31.52,32.489,31.52,32.461,10075,0
20101230,33.562,33.562,32.163,32.359,6257,0
20101231,32.803,32.877,32.358,32.509,24180,0
20110103,37.563,37.563,32.596,33.079,33527,0
20110104,33.34,33.34,32.109,32.324,13608,0
20110105,31.364,32.278,31.224,32.23,25736,0
20110106,32.79,32.79,30.396,31.178,41616,0
20110107,30.888,31.69,30.888,31.336,14716,0
20110110,31.373,31.661,30.758,31.54,16343,0
20110111,31.251,32.099,31.251,31.886,14905,0
20110112,32.53,32.977,32.064,32.977,9225,0
20110113,34.356,34.356,32.81,32.977,14543,0
20110114,32.184,33.033,32.184,33.014,5348,0
20110118,33.918,33.918,31.251,33.014,7431,0
20110119,33.079,33.583,32.558,32.771,9289,0
20110120,33.424,33.424,31.346,31.642,18252,0
20110121,32.622,32.622,31.54,31.68,5905,0
20110124,31.234,31.867,31.234,31.587,2634,0
20110125,31.234,31.234,30.534,31.028,20573,0
20110126,30.796,31.597,30.796,31.597,7974,0
20110127,31.616,31.616,31.206,31.326,7801,0
20110128,31.066,31.102,30.115,30.181,14479,0
20110131,29.863,30.619,29.863,30.599,14180,0
20110201,31.308,31.597,31.196,31.514,11357,0
20110202,31.942,31.962,31.514,31.821,8474,0
20110203,31.97,32.184,31.402,32.156,6171,0
20110204,31.849,32.184,31.849,32.175,4177,0
20110207,31.915,32.454,31.915,32.259,5390,0
20110208,32.558,32.771,32.445,32.53,3676,0
20110209,32.715,32.715,31.952,32.064,23122,0
20110210,32.52,32.52,31.439,31.784,8477,0
20110211,31.923,32.305,31.923,32.222,14619,0
20110214,32.502,32.548,32.315,32.353,9257,0
20110215,32.51,32.53,32.25,32.502,11929,0
20110216,33.079,33.079,32.492,32.912,11983,0
20110217,33.182,33.182,32.483,32.865,24562,0
20110218,33.322,33.322,32.23,32.464,22957,0
20110222,32.836,32.836,31.019,31.28,13142,0
20110223,31.412,31.793,30.758,31.308,15202,0
20110224,31.448,31.448,30.396,30.758,29625,0
20110225,30.647,31.642,30.647,31.224,33906,0
20110228,32.2,32.2,31.501,31.892,9723,0
20110301,32.362,32.362,31.55,31.616,14946,0
20110302,31.251,32.203,31.251,32.203,6644,0
20110303,32.166,32.492,32.166,32.296,63945,0
20110304,32.435,32.435,31.998,32.296,28058,0
20110307,32.072,32.099,31.467,31.559,8171,0
20110308,31.373,31.448,30.991,31.28,27011,0
