Date,Open,High,Low,Close,Volume,OpenInt
20130703,20.364,20.422,20.327,20.376,3478,0
20130705,20.355,20.397,20.355,20.397,14218,0
20130708,20.437,20.437,20.355,20.4,8429,0
20130709,20.364,20.364,20.232,20.355,29834,0
20130710,20.315,20.315,20.2,20.274,7095,0
20130711,20.275,20.348,20.274,20.34,7765,0
20130712,20.437,20.437,20.397,20.429,1224,0
20130715,20.437,20.437,20.355,20.355,5585,0
20130716,20.437,20.437,20.232,20.299,12207,0
20130717,20.299,20.379,20.299,20.315,13702,0
20130718,20.355,20.642,20.274,20.364,7233,0
20130722,20.437,20.511,20.397,20.437,10277,0
20130723,20.519,20.519,20.397,20.405,3217,0
20130724,20.437,20.446,20.397,20.437,6886,0
20130725,20.397,20.397,20.397,20.397,1711,0
20130726,20.511,20.632,20.397,20.397,3107,0
20130729,20.355,20.632,20.355,20.592,6019,0
20130730,20.519,20.519,20.519,20.519,1224,0
20130731,20.412,20.543,20.412,20.478,9026,0
20130801,20.478,20.56,20.478,20.519,978,0
20130802,20.478,20.478,20.478,20.478,244,0
20130807,20.519,20.632,20.519,20.632,5505,0
20130808,20.658,20.658,20.658,20.658,2202,0
20130809,20.658,20.658,20.642,20.642,1099,0
20130812,20.659,20.659,20.519,20.658,1224,0
20130813,20.519,20.519,20.519,20.519,1224,0
20130814,20.519,20.519,20.355,20.397,13896,0
20130815,20.397,20.601,20.315,20.601,6226,0
20130816,20.511,20.602,20.446,20.519,6099,0
20130819,20.536,20.536,20.519,20.519,5876,0
20130820,20.437,20.481,20.437,20.453,3510,0
20130821,20.446,20.446,20.437,20.437,1467,0
20130822,20.437,20.437,20.437,20.437,1224,0
20130823,20.397,20.397,20.364,20.397,1959,0
20130826,20.602,20.602,20.602,20.602,1186,0
20130827,20.602,20.602,20.585,20.602,1099,0
20130828,20.56,20.561,20.56,20.561,978,0
20130829,20.626,20.632,20.446,20.446,4718,0
20130830,20.895,21.071,20.878,21.071,2635,0
20130903,20.592,20.602,20.519,20.519,2080,0
20130904,20.723,20.723,20.723,20.723,489,0
20130906,20.682,20.723,20.668,20.723,4699,0
20130910,20.756,20.764,20.756,20.764,1224,0
