Date,Open,High,Low,Close,Volume,OpenInt
20160321,20.08,20.11,20.0746,20.11,6013,0
20160322,20.1,20.13,20.05,20.1,14812,0
20160323,20.07,20.07,20.0374,20.0374,39082,0
20160324,19.98,20.03,19.9601,20.03,75586,0
20160328,20.04,20.06,20.0143,20.04,25784,0
20160329,20.24,20.24,19.9785,20.2,65881,0
20160330,20.36,20.36,20.18,20.2,294163,0
20160331,20.29,20.29,20.2,20.24,242612,0
20160401,20.26,20.26,20.12,20.24,294975,0
20160404,20.32,20.32,20.13,20.13,280901,0
20160405,20.09,20.09,20.0013,20.01,84806,0
20160406,20.15,20.15,19.97,20.15,111625,0
20160407,20.24,20.24,19.97,20.03,41830,0
20160408,20.13,20.15,20.06,20.09,43022,0
20160411,20.33,20.33,20,20,75520,0
20160412,20.13,20.3268,19.98,20.3,42638,0
20160413,20.52,20.52,20.3181,20.44,134833,0
20160414,20.56,20.56,20.3367,20.36,294159,0
20160415,20.27,20.36,20.2,20.35,118418,0
