Date,Open,High,Low,Close,Volume,OpenInt
20050225,27.283,27.974,27.169,27.738,227468,0
20050228,27.86,28.156,27.443,27.994,200657,0
20050301,28.118,28.572,27.965,28.004,221570,0
20050302,28.421,28.421,27.748,27.794,182554,0
20050303,28.239,28.448,27.615,28.194,155953,0
20050304,28.421,28.421,27.738,27.851,175088,0
20050307,28.239,28.674,27.994,28.611,225958,0
20050308,28.295,28.8,28.295,28.581,193690,0
20050309,28.43,28.79,27.775,27.775,127522,0
20050310,28.06,28.156,27.283,27.414,164477,0
20050311,27.434,27.945,27.227,27.624,114926,0
20050314,27.662,27.974,27.434,27.652,155322,0
20050315,27.879,28.194,26.996,27.121,143601,0
20050316,27.15,27.567,27.035,27.405,213614,0
20050317,27.472,27.888,27.045,27.567,218896,0
20050318,27.803,27.803,26.977,27.102,345349,0
20050321,26.968,27.055,26.579,26.886,103593,0
20050322,26.694,27.102,26.618,26.675,347630,0
20050323,26.618,26.791,26.334,26.448,280690,0
20050324,26.598,26.93,26.551,26.666,205307,0
20050328,26.551,27.016,26.551,26.733,110361,0
20050329,26.93,27.026,26.276,26.448,246545,0
20050330,26.448,26.94,26.448,26.93,266589,0
20050331,26.977,26.996,26.608,26.92,316457,0
20050401,26.977,27.026,25.859,26.431,396589,0
20050404,25.376,26.266,25.376,25.926,601301,0
20050405,26.078,26.134,25.584,25.907,363218,0
20050406,26.069,26.412,25.812,25.812,153488,0
20050407,25.603,25.841,25.471,25.49,150906,0
20050408,25.508,25.508,23.953,24.078,494743,0
20050411,24.2,24.513,23.764,23.848,272879,0
20050412,23.719,24.552,23.413,24.313,241623,0
20050413,24.078,24.247,23.128,23.186,232754,0
20050414,23.043,23.282,22.332,22.428,354690,0
20050415,22.371,23.033,21.479,21.876,382723,0
20050418,21.659,22.597,21.393,22.437,386706,0
20050419,22.55,23.224,22.504,23.224,320160,0
20050420,23.186,23.756,22.816,23.565,453315,0
20050421,23.468,23.886,23.205,23.357,659017,0
20050422,23.099,23.282,22.446,22.672,352641,0
20050425,22.787,23.186,22.456,22.985,111568,0
20050426,22.995,22.995,21.924,22,165729,0
20050427,21.886,21.904,20.881,21.763,835040,0
20050428,23.128,23.727,22.351,22.922,810800,0
20050429,22.884,23.157,22.56,22.768,411564,0
20050502,23.167,23.311,22.644,22.884,471359,0
20050503,22.711,22.903,22.636,22.816,252978,0
20050504,22.701,22.949,22.597,22.903,139993,0
20050505,22.912,23.385,22.729,23.089,259264,0
20050506,23.468,23.468,22.931,23.033,290895,0
20050509,23.07,23.357,22.884,23.329,196553,0
20050510,23.44,23.458,22.836,22.855,175200,0
20050511,22.758,23.301,22.758,23.099,215537,0
20050512,23.137,23.292,22.682,22.855,248803,0
20050513,23.413,23.421,22.663,22.807,243199,0
20050516,22.966,23.516,22.845,23.497,140506,0
20050517,23.565,23.565,23.07,23.413,137495,0
20050518,23.338,24.628,23.338,24.419,255679,0
20050519,24.361,24.798,24.361,24.72,192388,0
20050520,24.788,24.845,24.098,24.22,321112,0
20050523,24.342,24.798,24.107,24.647,133982,0
20050524,24.323,24.702,24.238,24.513,126750,0
20050525,24.419,24.419,23.82,23.896,87882,0
20050526,24.182,24.816,23.848,24.657,170687,0
20050527,25.026,25.036,24.088,24.533,141628,0
20050531,24.845,25.764,24.845,25.32,444859,0
20050601,25.386,26.987,25.386,26.91,393648,0
20050602,26.886,27.926,26.886,27.338,451250,0
20050603,27.338,27.538,26.589,26.752,232692,0
20050606,26.996,27.217,26.569,26.666,138065,0
20050607,26.733,27.055,26.363,26.383,187056,0
20050608,26.504,26.504,24.657,24.693,551005,0
20050609,24.902,24.902,24.598,24.816,419904,0
20050610,24.894,25.452,24.74,25.31,416126,0
20050613,25.185,25.433,24.798,25.339,186985,0
20050614,25.433,25.955,25.214,25.955,237147,0
20050615,26.003,26.239,25.565,26.04,233890,0
20050616,26.04,26.504,26.003,26.448,245061,0
20050617,26.513,27.169,26.325,27.112,466588,0
20050620,27.102,27.159,26.713,26.987,200116,0
20050621,27.006,27.463,26.93,27.414,258778,0
20050622,27.348,28.448,27.348,28.315,270728,0
20050623,28.108,28.108,26.162,26.354,391337,0
20050624,26.485,26.485,25.556,25.718,422462,0
20050627,25.699,25.965,25.547,25.936,295342,0
20050628,26.003,26.809,26.003,26.771,238266,0
20050629,26.723,27.509,26.723,27.236,163521,0
20050630,27.443,27.443,26.752,26.809,189731,0
20050701,27.006,27.356,26.684,27.092,150294,0
20050705,27.227,27.236,26.684,27.083,173831,0
20050706,27.178,27.984,26.996,27.141,140576,0
20050707,27.159,27.169,26.675,26.92,173263,0
20050708,27.121,27.481,26.743,27.169,226550,0
20050711,27.955,28.516,27.869,28.069,705832,0
20050712,28.211,28.249,27.586,27.719,205863,0
20050713,27.738,28.324,27.405,28.202,194242,0
20050714,28.629,28.733,27.794,28.031,181121,0
20050715,27.926,28.467,27.926,28.439,197442,0
20050718,28.382,28.412,27.955,28.098,175774,0
20050719,28.194,28.62,28.013,28.62,355328,0
20050720,28.448,29.92,28.324,29.568,234181,0
20050721,29.613,30.535,29.217,29.377,220542,0
20050722,29.455,30.828,29.455,30.81,276255,0
20050725,30.934,31.237,29.92,29.948,405589,0
20050726,30.002,30.724,29.483,30.525,164889,0
20050727,30.8,31.294,29.824,31.075,284512,0
20050728,31.009,32.214,30.971,32.214,345911,0
20050729,32.242,33.381,31.938,33.049,397295,0
20050801,32.953,33.333,32.204,32.651,230154,0
20050802,32.479,32.669,31.606,32.165,376963,0
20050803,32.119,33.188,31.824,33.02,228950,0
20050804,32.935,32.935,31.549,31.645,179117,0
20050805,31.531,31.549,30.914,31.123,166219,0
20050808,31.247,31.616,30.867,31.056,126450,0
20050809,31.218,31.378,30.696,31.275,180732,0
20050810,31.416,32.137,31.416,31.776,279837,0
20050811,31.72,32.887,31.711,32.641,227925,0
