Date,Open,High,Low,Close,Volume,OpenInt
20120312,19.944,19.944,19.818,19.85,23759,0
20120313,19.922,19.961,19.841,19.85,27899,0
20120314,19.93,19.93,19.85,19.878,36551,0
20120315,19.961,20.003,19.841,19.93,20936,0
20120316,19.93,19.93,19.894,19.93,14279,0
20120319,19.93,20.812,19.93,19.93,29893,0
20120320,19.894,19.969,19.769,19.969,41227,0
20120321,19.894,19.969,19.894,19.93,9321,0
20120322,19.93,19.93,19.894,19.894,7028,0
20120323,19.93,19.969,19.93,19.944,2622,0
20120326,19.93,20.081,19.93,20.054,12520,0
20120329,20.09,20.09,20.01,20.028,20211,0
20120330,20.028,20.051,20.003,20.003,36007,0
20120402,20.01,20.054,19.995,19.995,11587,0
20120403,20.01,20.054,19.986,19.986,39765,0
20120404,19.969,20.047,19.969,20.037,4521,0
20120405,20.028,20.028,20.01,20.01,750,0
20120409,20.01,20.037,20.01,20.01,5259,0
20120410,20.01,20.047,20.01,20.047,10589,0
20120411,20.054,20.054,19.986,20.047,17267,0
20120412,20.01,20.047,19.995,20.047,15363,0
20120413,20.01,20.054,20.01,20.01,6110,0
20120416,20.054,20.155,20.054,20.121,1124,0
20120417,20.163,20.374,20.09,20.09,5119,0
20120418,20.09,20.213,20.09,20.188,1998,0
20120419,20.374,20.374,20.09,20.131,8012,0
20120420,20.131,20.131,20.09,20.131,18383,0
20120423,20.34,20.348,20.206,20.34,5048,0
20120424,20.403,20.442,20.213,20.248,11370,0
20120425,20.221,20.29,20.221,20.29,12494,0
20120426,20.131,20.131,20.131,20.131,1334,0
20120427,20.306,20.332,20.213,20.213,2273,0
20120430,20.332,20.332,20.213,20.332,1998,0
20120501,20.332,20.332,20.256,20.332,12502,0
20120502,20.248,20.483,20.248,20.483,7868,0
20120503,20.298,20.483,20.298,20.407,1622,0
20120504,20.315,20.315,20.315,20.315,497,0
20120507,20.323,20.323,20.315,20.315,3250,0
20120508,20.256,20.256,20.155,20.172,17616,0
20120509,20.172,20.248,20.172,20.179,9369,0
20120510,20.188,20.483,20.188,20.476,1752,0
20120511,20.221,20.221,20.179,20.179,2248,0
20120514,20.256,20.256,20.256,20.256,1249,0
20120515,20.131,20.396,20.131,20.396,1562,0
20120516,20.396,20.396,20.163,20.163,5080,0
20120517,20.137,20.137,20.137,20.137,1000,0
20120518,20.137,20.241,20.09,20.09,3999,0
20120521,20.281,20.29,20.228,20.29,3437,0
20120522,20.172,20.273,20.104,20.273,8872,0
20120523,20.146,20.146,20.146,20.146,444,0
20120524,20.221,20.221,20.213,20.213,3776,0
20120525,20.213,20.29,20.137,20.29,2219,0
20120529,20.29,20.29,20.172,20.188,1557,0
20120530,20.172,20.172,20.172,20.172,3555,0
20120531,20.213,20.213,20.113,20.172,4994,0
20120601,20.323,20.323,20.096,20.137,3883,0
20120604,20.29,20.29,20.29,20.29,139,0
20120605,20.213,20.213,20.213,20.213,497,0
20120606,20.172,20.172,20.096,20.137,7868,0
20120608,20.113,20.29,20.09,20.29,14862,0
20120611,20.323,20.323,20.096,20.213,1863,0
20120613,20.248,20.332,20.206,20.332,6498,0
20120614,20.221,20.332,20.213,20.332,1885,0
20120615,20.332,20.332,20.29,20.332,3995,0
20120618,20.29,20.332,20.221,20.332,3373,0
20120619,20.332,20.332,20.221,20.332,8496,0
20120620,20.172,20.332,20.172,20.241,8490,0
20120621,20.236,20.236,20.228,20.228,6971,0
20120622,20.213,20.248,20.188,20.213,4983,0
20120625,20.315,20.323,20.315,20.323,2378,0
20120626,20.315,20.323,20.315,20.323,750,0
20120627,20.241,20.332,20.213,20.332,7124,0
20120628,20.323,20.323,20.264,20.306,3311,0
20120629,20.323,20.323,20.221,20.29,12871,0
20120702,20.323,20.323,20.29,20.29,3467,0
20120703,20.366,20.366,20.221,20.221,2970,0
20120705,20.332,20.332,20.332,20.332,353,0
20120706,20.29,20.29,20.197,20.29,1874,0
20120709,20.29,20.29,20.241,20.29,6668,0
20120710,20.29,20.29,20.236,20.281,5394,0
20120711,20.29,20.29,20.29,20.29,1752,0
20120712,20.323,20.323,20.29,20.29,1622,0
20120713,20.29,20.29,20.29,20.29,750,0
20120716,20.374,20.374,20.306,20.332,4247,0
20120717,20.374,20.374,20.264,20.264,19556,0
20120718,20.315,20.315,20.172,20.172,2119,0
20120719,20.306,20.306,20.221,20.221,1400,0
20120720,20.306,20.306,20.298,20.298,1124,0
20120723,20.298,20.298,20.179,20.188,1752,0
20120724,20.248,20.281,20.248,20.281,1285,0
20120725,20.281,20.306,20.131,20.306,21864,0
20120726,20.172,20.172,20.146,20.172,9997,0
20120727,20.155,20.29,20.146,20.29,2622,0
20120730,20.281,20.281,20.155,20.241,2443,0
20120731,20.281,20.281,20.179,20.213,1487,0
20120802,20.172,20.172,20.172,20.172,873,0
20120803,20.298,20.298,20.283,20.298,2308,0
20120806,20.298,20.306,20.248,20.248,2060,0
20120807,20.256,20.256,20.213,20.214,4497,0
20120808,20.29,20.306,20.221,20.306,2422,0
20120809,20.323,20.323,20.315,20.315,2378,0
20120810,20.315,20.315,20.315,20.315,393,0
20120813,20.221,20.221,20.213,20.221,2496,0
20120814,20.315,20.315,20.214,20.214,3857,0
20120815,20.228,20.248,20.155,20.213,16990,0
20120816,20.315,20.315,20.213,20.213,9282,0
20120817,20.315,20.315,20.248,20.248,1904,0
20120821,20.228,20.228,20.113,20.114,2748,0
20120822,20.104,20.104,20.104,20.104,2378,0
20120823,20.131,20.213,20.104,20.104,4436,0
20120824,20.248,20.264,20.248,20.264,1185,0
20120827,20.137,20.264,20.131,20.179,2622,0
20120828,20.241,20.241,20.241,20.241,239,0
20120829,20.248,20.248,20.248,20.248,245,0
20120830,20.213,20.213,20.146,20.146,1752,0
20120831,20.236,20.241,20.146,20.241,4846,0
20120904,20.213,20.213,20.213,20.213,5873,0
20120905,20.281,20.281,20.281,20.281,1679,0
20120906,20.228,20.323,20.228,20.323,750,0
20120907,20.323,20.323,20.221,20.29,12871,0
20120910,20.29,20.29,20.29,20.29,623,0
20120911,20.228,20.29,20.228,20.29,2378,0
20120912,20.248,20.248,20.221,20.221,5844,0
20120913,20.306,20.306,20.221,20.221,2248,0
20120914,20.273,20.273,20.221,20.221,2496,0
20120917,20.221,20.348,20.213,20.348,9618,0
20120918,20.306,20.315,20.197,20.197,2252,0
20120919,20.197,20.248,20.155,20.172,13395,0
20120920,20.172,20.172,20.104,20.131,33737,0
20120921,20.155,20.172,20.09,20.09,20362,0
20120924,20.09,20.248,20.081,20.247,3898,0
20120925,20.241,20.241,20.241,20.241,623,0
20120926,20.172,20.172,20.163,20.163,951,0
20120927,20.172,20.241,20.096,20.241,13819,0
20120928,20.256,20.256,20.256,20.256,378,0
20121001,20.193,20.236,20.131,20.236,5119,0
20121002,20.131,20.241,20.131,20.228,8308,0
20121003,20.241,20.241,20.096,20.221,6676,0
20121004,20.206,20.206,20.09,20.09,13492,0
20121005,20.121,20.228,20.121,20.137,5149,0
20121008,20.061,20.213,20.061,20.137,4747,0
20121009,20.171,20.171,20.061,20.131,4760,0
20121010,20.197,20.197,20.104,20.121,11994,0
20121011,20.179,20.213,20.179,20.197,4765,0
20121012,20.172,20.213,20.146,20.209,2697,0
20121015,20.213,20.241,20.068,20.081,15029,0
20121016,20.131,20.206,20.131,20.131,7124,0
20121017,20.197,20.248,20.131,20.248,12494,0
20121018,20.163,20.163,20.155,20.155,2575,0
20121019,20.131,20.188,20.09,20.131,9025,0
20121022,20.172,20.221,20.172,20.221,2998,0
20121023,20.221,20.221,20.131,20.221,4126,0
20121024,20.172,20.221,20.096,20.213,9551,0
20121025,20.213,20.241,20.131,20.131,6922,0
20121031,20.236,20.236,20.131,20.131,5873,0
20121101,20.172,20.197,20.131,20.131,14180,0
20121102,20.131,20.206,20.131,20.197,7579,0
20121105,20.188,20.197,20.137,20.197,7751,0
