Date,Open,High,Low,Close,Volume,OpenInt
20111027,0.76,0.85,0.75,0.76,283328,0
20111028,0.74,0.75,0.71,0.75,185128,0
20111031,0.82,0.82,0.72,0.74,75146,0
20111101,0.75,0.75,0.71,0.73,191822,0
20111102,0.71,0.74,0.69,0.71,337793,0
20111103,0.7,0.8,0.7,0.8,166568,0
20111104,0.8,0.8,0.73,0.779,238156,0
20111107,0.78,0.78,0.7,0.72,188632,0
20111108,0.71,0.72,0.69,0.7,243232,0
20111109,0.71,0.73,0.69,0.71,143549,0
20111110,0.72,0.73,0.7,0.72,96264,0
20111111,0.72,0.72,0.7,0.7,72623,0
20111114,0.72,0.72,0.66,0.7,77088,0
20111115,0.72,0.72,0.67,0.7,142603,0
20111116,0.7,0.72,0.65,0.7,94656,0
20111117,0.71,0.72,0.65,0.71,54950,0
20111118,0.66,0.7,0.66,0.68,123694,0
20111121,0.67,0.68,0.61,0.64,232041,0
20111122,0.67,0.67,0.6,0.61,187728,0
20111123,0.6,0.61,0.53,0.56,221224,0
20111125,0.54,0.55,0.5,0.51,313037,0
20111128,0.65,0.71,0.61,0.64,666734,0
20111129,0.65,0.66,0.62,0.65,138992,0
20111130,0.65,0.698,0.6,0.6,304076,0
20111201,0.65,0.68,0.61,0.68,245853,0
20111202,0.69,0.69,0.63,0.67,115448,0
20111205,0.68,0.7,0.68,0.69,192681,0
20111206,0.72,0.72,0.4831,0.5402,2073168,0
20111207,0.64,0.66,0.5822,0.5967,697791,0
20111208,0.6,0.6,0.5523,0.56,211594,0
20111209,0.57,0.61,0.56,0.57,267495,0
20111212,0.58,0.58,0.5,0.54,385423,0
20111213,0.51,0.53,0.49,0.5,838570,0
20111214,0.49,0.5,0.47,0.48,235958,0
20111215,0.48,0.5,0.39,0.41,867487,0
20111216,0.43,0.4498,0.3803,0.39,502038,0
20111219,0.42,0.43,0.37,0.37,328245,0
20111220,0.38,0.41,0.36,0.38,564423,0
20111221,0.37,0.41,0.37,0.39,332445,0
20111222,0.39,0.475,0.39,0.45,671500,0
20111223,0.45,0.53,0.4499,0.47,559627,0
20111227,0.47,0.5,0.435,0.44,342484,0
20111228,0.44,0.476,0.4,0.43,220086,0
20111229,0.42,0.49,0.403,0.48,204790,0
20111230,0.48,0.48,0.44,0.469,356685,0
20120103,0.49,0.49,0.4417,0.47,98761,0
20120104,0.45,0.47,0.45,0.457,134760,0
20120105,0.44,0.47,0.43,0.44,221751,0
20120106,0.47,0.58,0.46,0.574,665266,0
20120109,0.63,0.67,0.56,0.66,1055172,0
20120110,0.69,0.799,0.6783,0.75,1178388,0
20120111,0.75,0.77,0.67,0.69,524534,0
