Date,Open,High,Low,Close,Volume,OpenInt
20100414,9.651,9.651,9.651,9.651,0,0
20100415,9.651,9.95,9.516,9.791,2706429,0
20100416,9.651,9.816,9.651,9.783,371616,0
20100419,9.783,9.883,9.697,9.797,347930,0
20100420,9.85,9.883,9.756,9.883,257187,0
20100421,9.87,9.87,9.723,9.85,177738,0
20100422,9.717,9.845,9.717,9.797,129449,0
20100423,9.785,9.851,9.682,9.851,239602,0
20100426,9.791,9.802,9.697,9.756,185314,0
20100427,9.723,9.783,9.651,9.683,293090,0
20100428,9.691,9.81,9.651,9.783,220127,0
20100429,9.783,9.797,9.656,9.783,199921,0
20100430,9.717,9.75,9.651,9.651,294053,0
20100503,9.744,9.744,9.651,9.656,171303,0
20100504,9.656,9.717,9.651,9.717,286036,0
20100505,9.656,9.691,9.651,9.683,231419,0
20100506,9.683,9.717,9.651,9.651,1003095,0
20100507,9.656,9.983,9.651,9.677,177290,0
20100510,9.783,9.783,9.651,9.663,144002,0
20100511,9.683,9.717,9.651,9.67,87646,0
20100512,9.656,9.776,9.651,9.651,113769,0
20100513,9.691,9.691,9.651,9.651,53037,0
20100514,9.651,9.663,9.651,9.651,160611,0
20100517,9.651,9.651,9.331,9.4438,221810,0
20100518,9.532,9.603,8.8194,8.9659,197472,0
20100519,9.0441,9.1773,8.366,8.9197,335250,0
20100520,8.7784,9.0177,8.3581,8.9846,256520,0
20100521,8.8983,9.0234,8.4853,8.5516,126931,0
20100524,8.5259,8.9306,8.3581,8.8305,65763,0
20100525,8.6655,8.8843,8.3188,8.8843,141280,0
20100526,8.951,9.3034,8.8305,9.0848,84022,0
20100527,9.1386,9.4625,8.8723,9.2852,73895,0
20100528,9.4507,9.609,8.9047,9.4095,81929,0
20100601,9.4095,9.584,9.316,9.3389,61353,0
20100602,9.4095,9.4507,9.316,9.4095,19290,0
20100603,9.3703,9.385,8.9047,9.185,53656,0
20100604,9.4566,9.4566,9.0177,9.2698,25832,0
20100607,9.239,9.4095,9.2043,9.2977,79976,0
20100608,9.1523,9.1523,8.8583,9.098,86097,0
20100609,9.2977,9.2977,8.8907,9.2312,27339,0
20100610,9.3034,9.4311,9.2312,9.2919,24861,0
20100611,9.2852,9.57,9.2168,9.57,62702,0
20100614,9.516,9.677,9.3506,9.578,68628,0
20100615,9.609,9.717,9.4841,9.709,84257,0
20100616,9.51,9.683,9.4968,9.656,66919,0
20100617,9.597,9.683,9.4164,9.683,61973,0
20100618,9.617,9.651,9.504,9.584,103920,0
20100621,9.651,9.717,9.316,9.637,230346,0
20100622,9.4841,9.703,9.4389,9.644,227881,0
20100623,9.603,9.73,9.4566,9.644,203205,0
20100624,9.563,9.75,9.563,9.737,105188,0
20100625,9.776,9.829,9.609,9.75,1349181,0
20100628,9.756,9.756,9.537,9.557,57441,0
20100629,9.504,9.63,9.4841,9.537,57340,0
20100630,9.579,9.8,9.4821,9.6,56050,0
20100701,9.584,9.651,9.331,9.3703,104799,0
20100702,9.4438,9.4507,9.316,9.3241,35408,0
20100706,9.4095,9.532,9.0848,9.2043,109289,0
20100707,9.2563,9.683,9.2235,9.637,66899,0
20100708,9.651,9.67,9.4036,9.584,46268,0
20100709,9.603,9.603,9.3771,9.4036,43697,0
20100712,9.4242,9.584,9.2919,9.3241,37523,0
20100713,9.4311,9.677,9.316,9.578,176079,0
20100714,9.609,9.609,9.2563,9.4164,78253,0
20100715,9.4566,9.4566,9.316,9.3634,20209,0
20100716,9.2977,9.3506,9.2515,9.263,29671,0
20100719,9.3241,9.63,9.263,9.3918,59890,0
20100720,9.3389,9.544,9.263,9.544,29153,0
20100721,9.563,9.563,9.4036,9.4566,96234,0
20100722,9.551,9.551,9.4095,9.4841,50242,0
20100723,9.4507,9.51,9.2774,9.4841,54333,0
20100726,9.532,9.532,9.2698,9.4095,68486,0
20100727,9.4507,9.532,9.3389,9.524,33321,0
20100728,9.516,9.516,9.3448,9.3771,42417,0
20100729,9.4164,9.4566,9.2852,9.3389,26179,0
20100730,9.263,9.4566,9.263,9.3389,39149,0
20100802,9.4311,9.4566,9.3448,9.4095,38924,0
20100803,9.385,9.524,9.385,9.4841,36395,0
20100804,9.504,9.651,9.4242,9.637,60713,0
20100805,9.59,9.644,9.4841,9.578,35388,0
20100806,9.524,9.59,9.064,9.3967,104379,0
20100809,9.4164,9.4841,9.1927,9.4841,65078,0
20100810,9.4095,9.51,9.064,9.3771,49000,0
20100811,9.2563,9.624,9.2515,9.49,163746,0
20100812,9.3918,9.756,9.3918,9.744,121716,0
20100813,9.744,9.783,9.609,9.644,47315,0
20100816,9.697,9.802,9.651,9.77,77432,0
20100817,9.723,9.797,9.651,9.703,65928,0
20100818,9.663,9.691,9.4841,9.59,66197,0
20100819,9.537,9.81,9.4968,9.651,55471,0
20100820,9.609,9.791,9.584,9.651,60582,0
20100823,9.763,9.783,9.63,9.67,42224,0
20100824,9.603,9.783,9.584,9.584,48861,0
20100825,9.584,9.697,9.584,9.644,23606,0
20100826,9.644,9.663,9.51,9.59,35247,0
20100827,9.644,9.663,9.544,9.663,49010,0
20100830,9.59,9.63,9.49,9.49,28140,0
20100831,9.534,9.662,9.486,9.527,62053,0
20100901,9.637,9.797,9.597,9.756,99124,0
20100902,9.783,9.783,9.691,9.723,33902,0
20100903,9.797,9.797,9.691,9.723,49154,0
20100907,9.73,9.81,9.73,9.763,99697,0
20100908,9.717,9.723,9.557,9.651,71541,0
20100909,9.744,9.744,9.516,9.617,24462,0
20100910,9.617,9.81,9.59,9.81,57604,0
20100913,9.81,9.898,9.67,9.876,76735,0
20100914,9.876,9.898,9.73,9.856,58818,0
20100915,9.81,9.845,9.703,9.797,23039,0
