Date,Open,High,Low,Close,Volume,OpenInt
20150812,34.65,47.38,33.01,43.11,6957300,0
20150813,41.02,42,37.16,39.03,822200,0
20150814,39.45,46.89,38.99,45.67,379400,0
20150817,46.25,55.44,45.81,53.49,808400,0
20150818,52.95,52.95,44.65,45.06,694500,0
20150819,45.55,45.95,41.24,44.16,263500,0
20150820,43.56,46.37,42.07,44.99,247300,0
20150821,44.1,46.03,42.23,45.6,422600,0
20150824,42.81,45.426,36.363,39.51,310165,0
20150825,44.5,45.5,40,42.87,108700,0
20150826,44.32,44.32,38.51,40.76,301500,0
20150827,41.68,42.7,41.51,42.2,77200,0
20150828,41.78,46.95,40.66,45.44,114500,0
20150831,45.68,50.5,45.44,49.49,275000,0
20150901,47.51,50,46.51,49.15,76900,0
20150902,49.05,52,48.69,52,246200,0
20150903,51.75,52.9,51.01,52.35,162100,0
20150904,51.7,52.97,50.71,52.7,49400,0
20150908,54,57,49.63,52.29,293800,0
20150909,52.57,53,51.33,52.74,73300,0
20150910,52.49,53.964,51.79,53.07,57439,0
20150911,53.06,53.35,51.8,52.72,54600,0
20150914,53.06,53.65,51.02,52.75,37700,0
20150915,52.63,54,52.61,53.4,46600,0
20150916,52.89,53.49,52.02,52.26,84200,0
20150917,52.01,52.71,51.27,52.17,73900,0
20150918,51.22,52.68,51.22,52.21,149600,0
20150921,53.95,53.95,47.02,47.25,179900,0
20150922,47.07,48.85,43.29,45.97,264400,0
20150923,46.34,47.69,46.07,46.49,73900,0
20150924,46.17,46.69,44.9,45.58,100241,0
20150925,46.56,47.57,43.79,44.84,130400,0
20150928,44.86,45.59,36.36,37.74,369692,0
20150929,38.06,43.74,36.47,39.91,295300,0
20150930,40.29,45.07,40.29,42.16,1146300,0
20151001,42.5,44.43,40.92,43.7,223500,0
20151002,42.89,46.98,42.81,46.89,133300,0
20151005,47.5,51.24,47.13,49.23,133868,0
20151006,48.91,49.39,46.26,48.04,165100,0
20151007,48.31,49.53,46.77,49.11,168000,0
20151008,48.67,48.9,47.05,48.08,103600,0
20151009,48,49.08,47.92,48.39,31300,0
20151012,48.51,49.265,47.57,47.7,120921,0
20151013,47.45,48.15,46.5,47,219700,0
20151014,46.93,47.61,45.24,47.24,136400,0
20151015,47.22,47.66,45.67,47.03,113800,0
20151016,47.39,47.46,45.87,46.92,75200,0
20151019,46.4,50.98,45.78,49.21,203900,0
20151020,49.52,50.126,47.4,48.42,121355,0
20151021,48.81,49.2,44.48,44.69,191700,0
20151022,45,46.04,44.25,45.06,204000,0
20151023,45.68,47.68,45.24,45.85,110200,0
20151026,45.71,47.88,44.14,46.92,120700,0
20151027,46.57,47.25,45.88,45.98,138500,0
20151028,46.24,47.25,45.6,47.07,191400,0
20151029,46.98,47.36,45.78,46.05,47700,0
20151030,45.91,46.85,45.57,46.63,63900,0
20151102,47.22,48.5,46.55,48.29,127374,0
20151103,47.33,51.91,47.33,51.01,166000,0
20151104,49.75,50.665,48.02,49.8,239402,0
20151105,50.06,50.56,47.76,47.89,152900,0
20151106,47.34,47.69,44.1,44.83,260500,0
20151109,44.75,44.77,42.03,44.53,796421,0
20151110,44.26,44.86,42.21,43.95,219300,0
20151111,44.2,44.61,43.19,43.66,182700,0
20151112,43.51,43.58,40.6,41.76,175000,0
20151113,41.63,45.48,41.42,45.35,226800,0
20151116,45.49,45.78,43.02,43.55,189500,0
20151117,43.6,48.11,42.76,46.86,185100,0
20151118,47.05,55.74,47.05,54.66,433200,0
20151119,54.43,54.57,49.99,50.09,356000,0
20151120,50.08,54.24,49.57,51.85,360500,0
20151123,51.44,51.6,49.17,49.6,239100,0
20151124,49.54,50.58,48.02,48.7,522900,0
20151125,48.97,50.66,48.37,49.73,293200,0
20151127,49.8,50.82,48.95,49.36,68100,0
20151130,49.66,54.99,46.22,46.96,311600,0
20151201,46.96,47.95,44.51,47.33,524992,0
