Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.7645,6.7645,6.7645,6.7645,470,0
20050228,7.1865,7.3715,7.1865,7.3715,1874,0
20050301,7.2895,7.396,7.2805,7.396,7918,0
20050302,7.396,7.396,6.995,7.375,3858,0
20050307,7.396,7.396,7.396,7.396,502,0
20050309,7.396,7.396,7.396,7.396,1404,0
20050310,7.161,7.396,7.161,7.396,1404,0
20050318,7.439,7.439,7.439,7.439,654,0
20050323,7.439,7.439,7.439,7.439,936,0
20050328,7.439,7.457,7.3115,7.448,11350,0
20050331,7.316,7.448,7.316,7.448,936,0
20050401,7.408,7.408,7.408,7.408,470,0
20050404,7.3715,7.3715,7.3715,7.3715,482,0
20050405,7.3715,7.3715,7.2635,7.2635,3418,0
20050406,7.1865,7.408,7.1865,7.408,4784,0
20050425,7.396,7.396,7.3405,7.3405,6368,0
20050426,7.2125,7.285,7.1315,7.285,3276,0
20050429,7.408,7.408,7.408,7.408,1592,0
20050509,7.195,7.2345,7.195,7.2345,2156,0
20050511,6.9735,7.2345,6.9735,7.2345,6596,0
20050512,6.982,7.157,6.982,7.157,8426,0
20050513,7.9175,7.9175,7.2895,7.384,33698,0
20050516,7.408,7.408,7.408,7.408,970,0
20050518,7.503,7.6105,7.417,7.417,8554,0
20050519,7.6105,7.6105,7.461,7.503,5170,0
20050520,7.294,7.6105,7.294,7.6105,3740,0
20050523,7.6105,7.815,7.546,7.546,7022,0
20050524,7.6265,7.815,7.6225,7.6225,2342,0
20050525,7.6185,7.6185,7.6185,7.6185,470,0
20050526,7.6225,7.6225,7.512,7.606,6086,0
20050527,7.396,7.6105,7.396,7.6105,2342,0
20050531,7.4345,7.687,7.4345,7.687,3740,0
20050601,7.8195,7.926,7.7765,7.811,11010,0
20050602,7.417,7.7345,7.417,7.649,2298,0
20050603,7.649,7.695,7.6105,7.6105,936,0
20050606,7.64,7.64,7.64,7.64,1168,0
20050607,7.7125,7.7125,7.6655,7.6655,1156,0
20050608,7.815,7.815,7.6445,7.807,6320,0
20050609,7.6655,7.803,7.6655,7.803,1002,0
20050613,7.7385,7.7985,7.499,7.7125,3892,0
20050615,7.457,7.7035,7.417,7.7035,1596,0
20050616,7.6105,7.6105,7.6105,7.6105,240,0
20050620,7.6105,7.6105,7.6105,7.6105,820,0
20050621,7.6105,7.785,7.6105,7.717,15006,0
20050622,7.417,7.6105,7.417,7.6105,700,0
20050624,7.6105,7.6105,7.6105,7.6105,1508,0
20050628,7.439,7.503,7.413,7.413,2768,0
20050629,7.307,7.307,7.307,7.307,240,0
20050630,7.554,7.5675,7.1865,7.5295,2804,0
20050701,7.4695,7.4695,7.4695,7.4695,1242,0
20050705,7.6105,7.6105,7.396,7.396,7362,0
20050706,7.6105,7.6105,7.6105,7.6105,470,0
20050707,7.6105,7.6105,7.6105,7.6105,278,0
