Date,Open,High,Low,Close,Volume,OpenInt
20140728,9.52,9.55,9.52,9.53,8200,0
20140729,9.54,9.56,9.54,9.56,6000,0
20140730,9.54,9.57,9.54,9.57,5100,0
20140731,9.55,9.55,9.55,9.55,2000,0
20140801,9.65,9.75,9.53,9.53,8400,0
20140804,9.53,9.53,9.53,9.53,5500,0
20140805,9.515,9.53,9.515,9.53,2600,0
20140806,9.6,9.6,9.55,9.55,4500,0
20140808,9.53,9.53,9.51,9.51,46924,0
20140812,9.51,9.52,9.51,9.511,500,0
20140814,9.51,9.51,9.51,9.51,23350,0
20140815,9.55,9.55,9.55,9.55,326,0
20140818,9.52,9.52,9.52,9.52,1500,0
20140820,9.5,9.55,9.5,9.51,300,0
20140821,9.54,9.54,9.47,9.47,13380,0
20140822,9.55,9.55,9.1,9.4,400,0
20140825,9.55,9.55,9.505,9.52,6300,0
20140826,9.55,9.55,9.505,9.505,2540,0
20140827,9.54,9.54,9.52,9.52,800,0
20140904,9.54,9.55,9.54,9.55,20800,0
20140915,9.53,9.54,9.51,9.54,2300,0
20140916,9.52,9.54,9.52,9.54,2000,0
20140917,9.53,9.54,9.52,9.52,2400,0
20140919,9.53,9.55,9.52,9.55,2200,0
20140922,9.52,9.54,9.51,9.54,2231,0
20140923,9.54,9.54,9.54,9.54,750,0
20140925,9.5,9.5,9.5,9.5,100,0
20140929,9.55,9.55,9.52,9.53,7386,0
20140930,9.55,9.55,9.51,9.53,26712,0
20141001,9.51,9.51,9.51,9.51,6000,0
20141002,9.55,9.55,9.52,9.53,800,0
20141003,9.54,9.54,9.52,9.53,600,0
20141007,9.548,9.55,9.548,9.548,1044,0
20141009,9.5,9.5,9.5,9.5,2320,0
20141014,9.54,9.54,9.54,9.54,7033,0
20141015,9.55,9.55,9.5,9.55,2049,0
20141016,9.5,9.6,9.5,9.55,2471,0
20141020,9.54,9.54,9.54,9.54,200,0
20141030,9.54,9.55,9.54,9.54,25900,0
20141031,9.55,9.67,9.55,9.59,587200,0
20141103,9.62,9.62,9.62,9.62,1000,0
20141104,9.61,9.61,9.61,9.61,700,0
20141106,9.6,9.7,9.6,9.65,28200,0
20141114,9.67,9.67,9.67,9.67,752,0
20141118,9.65,9.65,9.61,9.61,6000,0
20141125,9.6,9.6,9.58,9.58,8000,0
20141202,9.65,9.65,9.64,9.65,40700,0
20141203,9.65,9.65,9.65,9.65,32000,0
20141205,9.65,9.65,9.65,9.65,500,0
20141209,9.66,9.66,9.6,9.6,2650,0
20141211,9.6,9.61,9.6,9.6,700,0
20141218,9.67,9.67,9.55,9.55,1290,0
20141219,9.55,9.55,9.55,9.55,2000,0
20141222,9.55,9.55,9.55,9.55,1500,0
20141223,9.59,9.59,9.59,9.59,19000,0
20141229,9.61,9.61,9.61,9.61,300,0
20141231,9.52,9.56,9.52,9.55,32800,0
20150102,9.54,9.63,9.54,9.56,23603,0
20150107,9.59,9.59,9.58,9.59,7800,0
20150108,9.53,9.55,9.52,9.53,13600,0
20150109,9.53,9.64,9.51,9.51,1600,0
20150113,9.55,9.58,9.55,9.58,8700,0
20150116,9.55,9.79,9.55,9.57,22516,0
20150120,9.52,9.71,9.52,9.61,13894,0
20150130,9.53,9.54,9.53,9.53,5002,0
20150204,9.53,9.53,9.51,9.52,1700,0
20150205,9.66,9.66,9.6,9.65,3002,0
20150206,9.652,9.66,9.652,9.66,1000,0
20150209,9.52,9.52,9.52,9.52,1398,0
20150211,9.6,9.61,9.51,9.51,4700,0
20150218,9.54,9.54,9.5,9.5,21700,0
20150219,9.52,9.52,9.51,9.52,3400,0
20150223,9.52,9.52,9.41,9.5,3998,0
20150302,9.62,9.62,9.56,9.56,400,0
20150304,9.55,9.55,9.55,9.55,200,0
20150305,9.55,9.6,9.55,9.6,1800,0
20150312,9.65,9.65,9.63,9.65,700,0
20150313,9.65,9.65,9.64,9.65,700,0
20150316,9.55,9.56,9.55,9.56,12300,0
20150320,9.53,9.53,9.53,9.53,200,0
20150323,9.64,9.64,9.62,9.62,23300,0
20150324,9.66,9.67,9.66,9.67,500,0
20150330,9.66,9.66,9.66,9.66,24500,0
20150402,9.61,9.61,9.6,9.6,17600,0
20150407,9.61,9.61,9.57,9.57,20000,0
20150417,9.57,9.57,9.57,9.57,300,0
20150423,9.58,9.67,9.57,9.67,600,0
20150427,9.65,9.65,9.58,9.58,5100,0
20150430,9.69,9.69,9.69,9.69,1300,0
20150501,9.69,9.75,9.69,9.72,104700,0
20150504,9.75,9.77,9.73,9.77,38000,0
20150505,9.8,9.8,9.65,9.65,200,0
20150506,9.65,9.65,9.65,9.65,280,0
20150507,9.7,9.7,9.7,9.7,685,0
20150508,9.76,9.76,9.76,9.76,200,0
20150513,9.7,9.71,9.7,9.71,300,0
20150514,9.74,9.76,9.73,9.73,11500,0
20150518,9.751,9.751,9.75,9.75,2400,0
20150519,9.72,9.77,9.72,9.77,11800,0
20150520,9.76,9.76,9.76,9.76,1000,0
20150521,9.77,9.77,9.77,9.77,200,0
20150522,9.77,9.79,9.77,9.79,66500,0
20150526,9.8,9.8,9.8,9.8,400,0
