Date,Open,High,Low,Close,Volume,OpenInt
20050225,21.077,21.642,21.067,21.46,44983,0
20050228,21.286,22.326,21.113,21.932,120944,0
20050301,22.326,22.326,21.822,22.143,76750,0
20050302,22.061,22.326,21.968,22.096,21296,0
20050303,22.006,23.006,22.006,22.889,50034,0
20050304,22.553,23.444,22.553,23.025,90998,0
20050307,23.034,23.034,22.426,22.67,89338,0
20050308,22.435,22.772,22.435,22.772,75276,0
20050309,22.599,22.824,22.599,22.743,59082,0
20050310,22.688,23.062,22.507,22.78,115229,0
20050311,22.78,22.853,22.688,22.735,190890,0
20050314,22.606,22.642,21.278,21.906,70895,0
20050315,22.143,22.707,21.997,22.052,22630,0
20050316,21.978,21.978,20.939,21.331,69756,0
20050317,21.642,22.188,21.507,22.188,59519,0
20050318,22.589,22.589,21.604,22.445,84912,0
20050321,22.087,22.342,21.704,21.922,24158,0
20050322,21.594,22.188,21.594,22.061,57431,0
20050323,21.87,22.096,21.851,22.006,66264,0
20050324,22.152,22.279,22.152,22.161,39382,0
20050328,22.024,22.105,21.423,21.46,35238,0
20050329,21.613,21.75,21.113,21.296,41955,0
20050330,21.487,21.497,21.185,21.359,14589,0
20050331,21.468,21.594,21.122,21.377,29737,0
20050401,21.241,22.015,20.876,21.113,36506,0
20050404,21.241,21.914,21.122,21.532,25624,0
20050405,21.695,22.369,21.195,22.334,58717,0
20050406,22.361,22.417,22.169,22.188,38057,0
20050407,22.326,22.488,21.55,21.687,51825,0
20050408,21.851,21.851,20.867,20.912,52040,0
20050411,20.939,21.86,20.693,21.787,72506,0
20050412,21.507,21.95,21.404,21.851,31816,0
20050413,21.759,21.888,20.739,20.775,36258,0
20050414,20.593,20.593,19.965,20.502,67326,0
20050415,20.648,21.322,19.956,19.984,30498,0
20050418,19.845,21.35,19.819,20.648,55340,0
20050419,20.648,20.994,19.845,20.376,84959,0
20050420,20.576,20.602,20.036,20.211,93935,0
20050421,20.202,21.623,20.164,20.966,163089,0
20050422,21.132,21.167,20.002,20.291,165235,0
20050425,20.512,21.278,20.411,20.71,153475,0
20050426,20.593,20.767,20.054,20.146,81823,0
20050427,20.291,20.657,20.019,20.046,53027,0
20050428,19.974,19.974,19.209,19.209,39271,0
20050429,19.135,19.246,18.634,19.172,44387,0
20050502,19.036,19.436,18.916,19.436,37787,0
20050503,19.172,19.937,19.026,19.517,96493,0
20050504,19.672,20.138,19.481,20.138,32744,0
20050505,20.291,20.291,19.965,20.22,61615,0
20050506,20.311,20.319,19.609,19.754,10160,0
20050509,19.645,20.319,19.645,20.319,38762,0
20050510,20.319,20.319,18.961,18.971,51869,0
20050511,19.125,19.144,17.768,18.471,69232,0
20050512,18.571,18.571,18.088,18.187,26820,0
20050513,18.06,18.105,17.076,17.477,40366,0
20050516,17.622,17.632,16.958,17.131,47470,0
20050517,17.131,17.131,16.175,16.703,110029,0
20050518,16.985,17.877,16.766,17.868,114757,0
20050519,17.906,19.007,17.906,18.843,76314,0
20050520,18.89,18.89,18.378,18.733,29507,0
20050523,18.316,18.361,17.768,17.778,43058,0
20050524,17.778,17.969,17.659,17.795,32033,0
20050525,17.732,18.899,17.45,18.361,28367,0
20050526,18.215,18.516,18.215,18.471,27797,0
20050527,18.58,18.58,18.005,18.224,23213,0
20050531,18.177,18.316,17.795,18.316,21911,0
20050601,18.162,18.516,18.124,18.471,14649,0
20050602,18.335,18.89,18.325,18.88,24202,0
20050603,18.807,18.961,18.353,18.89,29198,0
20050606,18.681,19.191,18.552,19.007,35894,0
20050607,19.135,19.271,18.608,18.789,38621,0
20050608,18.672,18.907,18.526,18.681,18182,0
20050609,18.681,18.961,18.288,18.943,45214,0
20050610,19.089,19.226,18.724,19.135,24906,0
20050613,19.135,19.819,18.935,19.819,15408,0
20050614,19.555,19.782,19.154,19.465,34328,0
20050615,19.125,19.28,18.58,18.899,63594,0
20050616,18.925,19.191,18.724,19.154,76802,0
20050617,19.2,19.39,18.925,19.263,58293,0
20050620,19.026,19.318,18.907,18.971,54594,0
20050621,18.88,19.062,18.862,18.907,44784,0
20050622,18.862,19.081,18.817,19.081,27973,0
20050623,18.935,19.191,18.935,19.026,39449,0
20050624,19.191,19.191,18.205,18.224,100669,0
20050627,18.177,18.761,18.177,18.424,40846,0
20050628,18.499,19.117,18.224,18.543,29009,0
20050629,18.325,18.681,18.27,18.462,18980,0
20050630,18.37,18.37,17.995,18.115,35156,0
20050701,18.224,18.387,18.187,18.316,26558,0
20050705,18.251,19.182,18.251,19.163,70674,0
20050706,19.271,20.002,19.117,19.89,156036,0
20050707,19.336,19.974,19.318,19.974,34578,0
20050708,20.046,20.092,19.946,20.092,53654,0
20050711,20.046,20.092,19.754,20.036,55596,0
20050712,20.046,20.046,19.773,19.909,59975,0
20050713,19.754,19.984,18.733,18.88,69109,0
20050714,19.026,19.472,18.396,19.182,82108,0
20050715,18.899,19.246,18.817,18.907,25794,0
20050718,19.036,19.39,18.833,19.089,37847,0
20050719,19.135,19.662,18.681,19.618,25695,0
20050720,19.555,20.467,19.555,20.311,33013,0
20050721,20.264,20.494,19.4,19.662,35115,0
20050722,19.763,21.249,19.709,21.067,37050,0
20050725,20.839,21.413,20.803,21.004,34519,0
20050726,20.857,21.185,20.63,20.903,57588,0
20050727,20.949,21.067,20.648,20.957,28509,0
20050728,20.701,21.594,20.701,21.468,28645,0
20050729,21.585,21.613,19.899,20.13,60687,0
20050801,20.366,21.222,20.366,20.839,34614,0
20050802,21.023,21.441,20.876,21.157,46539,0
20050803,21.048,21.56,21.039,21.241,37386,0
20050804,21.167,21.296,20.857,20.949,37102,0
20050805,20.867,21.259,20.239,20.239,42468,0
20050808,20.376,20.648,20.264,20.264,36967,0
20050809,20.358,20.539,20.273,20.366,31292,0
20050810,20.42,21.368,20.249,21.023,110905,0
20050811,20.939,21.613,20.793,21.541,49116,0
20050812,21.157,21.759,21.057,21.585,57457,0
20050815,21.642,21.704,21.278,21.695,47258,0
20050816,21.74,21.987,21.55,21.731,134913,0
20050817,21.804,21.804,21.296,21.497,100634,0
20050818,21.404,21.66,21.048,21.385,29177,0
20050819,21.413,21.487,21.241,21.395,27592,0
20050822,21.222,21.286,20.957,21.086,32117,0
20050823,21.167,21.241,20.966,21.241,21873,0
20050824,21.669,21.941,21.632,21.932,72378,0
20050825,21.914,22.006,21.841,21.95,25884,0
20050826,21.813,21.95,21.778,21.879,33338,0
20050829,22.015,22.261,21.048,22.079,112109,0
20050830,22.052,22.726,22.052,22.688,39467,0
20050831,22.67,24.948,22.642,24.602,455152,0
20050901,24.859,25.287,23.691,24.548,218691,0
20050902,24.667,24.667,24.101,24.338,68585,0
20050906,24.338,25.06,24.338,24.557,165492,0
20050907,24.602,24.667,24.328,24.328,145764,0
20050908,24.275,24.275,23.4,23.454,137244,0
20050909,23.355,24.384,23.118,24.384,77356,0
20050912,24.448,24.448,23.691,24.055,56494,0
20050913,23.919,24.338,23.699,23.791,68017,0
20050914,23.955,24.046,23.328,23.619,38350,0
20050915,23.5,24.338,23.5,24.02,48037,0
20050916,24.166,24.266,24.046,24.239,67020,0
20050919,24.338,24.831,24.338,24.592,98127,0
20050920,25.022,25.022,23.081,23.655,54559,0
20050921,23.747,24.931,23.747,24.328,54669,0
20050922,24.63,25.022,23.929,24.602,108557,0
20050923,24.667,24.775,24.083,24.138,56840,0
20050926,24.157,26.134,24.083,25.896,105353,0
20050927,26.079,26.079,24.894,25.504,141503,0
20050928,25.504,26.424,25.504,26.336,344718,0
20050929,26.424,26.552,25.886,26.516,183867,0
20050930,26.452,26.516,25.896,26.196,119805,0
20051003,26.853,27.61,26.707,27.336,404669,0
20051004,27.425,27.425,25.979,26.079,155377,0
20051005,26.225,26.405,24.63,24.884,222927,0
20051006,24.756,25.093,23.865,24.71,126776,0
20051007,24.702,25.494,24.538,25.287,53131,0
20051010,25.687,25.687,24.284,24.366,174812,0
20051011,24.429,25.022,24.294,24.813,176496,0
20051012,24.813,24.813,23.473,23.683,125131,0
20051013,23.609,23.645,22.015,23.118,186756,0
20051014,23.427,23.846,23.328,23.555,91557,0
20051017,23.691,24.157,23.691,23.992,135888,0
20051018,24.038,24.602,23.919,24.394,237002,0
20051019,24.439,25.06,24.093,24.948,144924,0
20051020,24.922,24.922,23.901,24.184,121182,0
20051021,24.011,25.205,23.829,24.649,136377,0
20051024,24.775,25.323,24.511,25.296,69768,0
20051025,25.396,25.915,25.368,25.805,121194,0
20051026,24.649,25.513,23.829,25.513,269223,0
20051027,25.387,25.431,24.147,24.157,159200,0
20051028,24.157,24.803,24.03,24.328,121761,0
20051031,24.211,24.657,24.093,24.384,78973,0
20051101,24.229,24.439,23.919,24.03,47178,0
20051102,23.929,25.078,23.929,25.013,164986,0
20051103,24.976,25.649,24.866,25.475,152914,0
20051104,25.732,25.732,24.756,24.948,92487,0
20051107,25.078,25.078,23.791,24.138,146810,0
20051108,24.147,24.147,23.226,23.473,223942,0
20051109,23.581,24.366,23.254,23.418,101793,0
20051110,23.245,23.254,22.369,22.526,98460,0
20051111,22.526,22.67,22.096,22.334,67857,0
20051114,22.561,22.945,22.516,22.926,69512,0
20051115,22.999,23.482,22.698,22.762,107698,0
20051116,22.935,23.006,22.599,22.964,67437,0
20051117,23.19,23.51,23.062,23.3,50834,0
20051118,23.627,23.627,23.154,23.328,62136,0
20051121,23.619,23.619,23.172,23.374,94414,0
20051122,23.081,23.418,23.081,23.355,79055,0
20051123,23.418,23.482,23.19,23.355,61515,0
20051125,23.437,23.437,23.19,23.437,17624,0
20051128,23.418,23.437,22.834,22.907,36969,0
20051129,22.853,23.3,22.269,22.379,57775,0
20051130,22.516,22.898,22.379,22.642,90863,0
20051201,22.507,23.355,22.507,23.053,108760,0
20051202,23.273,23.444,23.062,23.282,38852,0
20051205,23.254,23.355,23.1,23.291,61748,0
20051206,23.4,23.537,23.163,23.492,64589,0
20051207,23.336,23.51,22.688,22.753,64769,0
20051208,22.707,22.926,22.143,22.67,122732,0
20051209,22.67,23.1,22.642,23.1,30295,0
20051212,23.136,23.282,22.579,22.698,60355,0
20051213,22.615,22.999,22.599,22.862,70980,0
20051214,22.726,23.19,22.488,23.071,63790,0
20051215,23.044,23.118,22.553,22.843,54083,0
20051216,22.726,23.437,22.452,22.991,148418,0
20051219,23.09,23.09,21.74,22.169,110281,0
20051220,22.306,22.445,21.794,21.968,55580,0
20051221,22.152,22.735,21.787,22.306,66545,0
20051222,22.661,22.917,22.225,22.789,83907,0
20051223,22.652,22.652,22.133,22.252,91226,0
20051227,22.105,22.206,20.886,21.048,94886,0
20051228,21.331,22.633,20.966,22.488,67269,0
20051229,22.297,22.507,21.879,22.169,47073,0
20051230,22.052,22.535,21.879,22.152,39970,0
20060103,22.079,22.907,22.079,22.907,57323,0
20060104,22.726,22.935,22.389,22.824,144666,0
20060105,22.698,23.006,22.579,22.753,75849,0
20060106,22.907,22.907,22.269,22.507,127643,0
20060109,22.561,23.053,22.326,22.862,62635,0
20060110,22.806,23.044,22.753,22.954,58812,0
20060111,22.862,23.245,22.445,23.199,63249,0
20060112,23.235,23.254,22.698,22.78,79231,0
20060113,22.935,23.51,22.88,23.254,20679,0
20060117,23.081,23.5,23.081,23.31,53757,0
20060118,23.199,23.364,23.154,23.235,24438,0
20060119,23.217,24.22,23.172,23.637,100912,0
20060120,23.992,24.194,23.482,23.937,119583,0
20060123,23.973,24.94,23.973,24.657,105963,0
20060124,24.621,24.931,24.439,24.538,54326,0
20060125,24.831,24.94,23.791,24.202,72842,0
20060126,24.347,24.412,23.581,24.03,67217,0
20060127,24.284,24.64,23.91,24.184,38548,0
20060130,23.919,24.649,23.919,24.602,56657,0
20060131,24.692,25.54,24.32,25.54,114535,0
20060201,23.699,24.739,23.235,24.422,170275,0
20060202,24.72,24.803,23.282,24.157,107973,0
20060203,23.811,23.965,23.146,23.146,161140,0
20060206,22.945,23.59,22.461,22.917,108024,0
20060207,22.862,23.071,22.052,22.561,113259,0
20060208,22.633,22.633,21.987,22.435,103939,0
20060209,22.498,23.154,22.024,22.096,81925,0
20060210,22.152,22.225,21.778,21.87,141305,0
20060213,21.804,21.87,21.004,21.039,161510,0
20060214,21.004,21.532,20.439,20.957,208243,0
20060215,21.176,21.241,20.529,20.939,208330,0
20060216,21.048,21.077,20.566,20.867,101095,0
20060217,21.149,21.576,21.057,21.313,157739,0
20060221,21.594,21.958,21.249,21.377,125955,0
20060222,21.268,21.632,21.057,21.507,121420,0
20060223,21.55,21.813,21.067,21.35,79482,0
20060224,21.567,21.74,21.132,21.487,83557,0
20060227,21.122,21.594,20.966,21.241,66418,0
20060228,21.222,21.468,20.539,20.71,141881,0
20060301,20.72,20.93,20.112,20.839,98235,0
20060302,20.912,21.286,20.748,21.039,73723,0
20060303,20.975,21.313,20.64,20.71,84772,0
20060306,20.684,20.839,20.23,20.475,126602,0
20060307,20.502,20.502,20.046,20.173,111206,0
20060308,20.112,20.329,19.865,20.183,110952,0
20060309,20.358,20.502,20.002,20.121,84150,0
20060310,20.019,20.458,19.691,20.273,112282,0
20060313,20.366,20.64,20.138,20.239,100136,0
20060314,20.338,20.494,19.728,20.22,116169,0
20060315,20.211,20.612,20.019,20.376,106455,0
20060316,20.376,20.602,19.927,20.264,84195,0
20060317,20.283,20.393,19.984,20.249,147914,0
20060320,20.239,20.393,20.046,20.301,79063,0
20060321,20.173,20.22,20.002,20.036,140776,0
20060322,20.036,20.264,19.791,20.183,72843,0
20060323,20.264,20.876,20.164,20.876,97422,0
20060324,20.912,21.278,20.775,21.278,51191,0
20060327,21.14,21.413,20.92,21.322,65809,0
20060328,21.278,21.413,20.867,21.077,74135,0
20060329,21.157,21.804,21.157,21.65,55766,0
20060330,21.623,21.822,21.35,21.487,81691,0
20060331,21.286,21.642,21.278,21.567,109548,0
20060403,21.632,21.723,21.077,21.46,74762,0
20060404,21.431,21.978,21.222,21.822,76468,0
20060405,21.704,22.123,21.567,22.043,82307,0
20060406,22.206,22.279,21.585,21.941,62810,0
20060407,21.914,21.914,21.259,21.523,35945,0
20060410,21.413,21.851,21.413,21.714,45380,0
20060411,21.714,21.87,21.213,21.304,51896,0
20060412,21.35,21.441,20.975,21.096,31777,0
