Date,Open,High,Low,Close,Volume,OpenInt
20100823,18.321,18.542,18.321,18.542,1593,0
20100824,18.542,18.822,18.542,18.542,1047,0
20100825,18.173,19.063,18.045,18.045,9182,0
20100826,18.238,18.238,18.238,18.238,378,0
20100827,18.436,18.436,18.436,18.436,239,0
20100830,18.278,18.312,18.278,18.278,635,0
20100831,18.436,18.436,18.436,18.436,215,0
20100901,18.436,18.436,18.436,18.436,1723,0
20100902,18.634,18.783,18.436,18.576,8409,0
20100903,18.827,18.827,18.246,18.246,5032,0
20100907,18.627,18.672,18.321,18.672,3364,0
20100908,18.494,18.816,18.278,18.33,5578,0
20100909,18.701,18.701,18.33,18.358,7684,0
20100910,18.394,18.643,18.312,18.51,7595,0
20100913,18.33,18.445,18.278,18.278,3569,0
20100914,18.516,18.672,18.51,18.672,1593,0
20100915,18.672,18.791,18.672,18.791,3569,0
20100916,18.827,19.174,18.827,19.141,1146,0
20100917,19.141,19.292,19.141,19.22,2301,0
20100920,19.182,19.182,18.278,18.278,5560,0
20100921,18.923,18.923,18.454,18.61,1211,0
20100922,19.016,19.016,18.436,18.436,1977,0
20100923,18.47,19.024,18.47,18.528,2553,0
20100924,18.949,18.984,18.634,18.726,2267,0
20100927,18.47,18.808,18.445,18.75,3318,0
20100928,18.486,18.875,18.486,18.822,716,0
20100929,18.742,18.984,18.528,18.984,3056,0
20100930,18.984,19.369,18.701,19.369,2252,0
20101001,19.22,19.22,19.22,19.22,239,0
20101004,19.369,19.411,18.535,19.024,3710,0
20101005,19.048,19.048,19.024,19.024,1529,0
20101006,19.024,19.411,19.024,19.314,3171,0
20101007,19.297,19.297,18.684,18.834,5774,0
20101008,19.297,19.411,19.262,19.411,2169,0
20101011,19.323,19.352,19.063,19.297,4136,0
20101012,19.339,19.419,19.072,19.419,1529,0
20101013,19.22,19.297,18.94,19.156,4716,0
20101014,19.22,19.22,19.22,19.22,1146,0
20101018,19.229,19.262,18.891,18.915,3307,0
20101019,19.008,19.039,18.692,18.984,4674,0
20101020,18.984,19.174,18.984,19.174,4917,0
20101022,18.915,18.915,18.915,18.915,139,0
20101025,18.949,18.984,18.949,18.972,517,0
20101026,19.149,19.245,19.024,19.245,1631,0
20101027,19.174,19.419,19.031,19.339,2675,0
20101028,19.031,19.031,19.031,19.031,600,0
20101029,19.072,19.403,19.072,19.403,764,0
20101101,19.149,19.613,19.149,19.419,2649,0
20101102,19.411,19.419,19.411,19.419,813,0
20101103,19.472,19.472,19.254,19.254,635,0
20101109,19.419,19.419,19.419,19.419,3326,0
20101110,19.464,19.464,19.419,19.419,1643,0
20101111,19.419,19.419,19.048,19.048,6052,0
20101112,19.22,19.22,19.22,19.22,1146,0
20101115,19.419,19.419,19.419,19.419,439,0
20101116,19.419,19.419,19.419,19.419,895,0
20101117,19.763,19.763,19.433,19.56,5359,0
20101118,19.613,19.613,19.543,19.543,1621,0
20101122,19.543,19.613,19.22,19.22,2283,0
20101123,19.254,19.377,19.237,19.254,1654,0
20101129,19.27,19.297,19.22,19.22,1402,0
20101130,19.229,19.369,19.22,19.369,1918,0
20101201,19.306,19.403,19.22,19.403,1145,0
20101203,19.419,19.419,19.229,19.229,655,0
20101206,19.22,19.254,18.908,18.908,3804,0
20101207,19.297,19.613,19.297,19.613,4655,0
20101208,19.427,19.613,19.419,19.591,3704,0
20101209,19.063,19.22,19.039,19.039,998,0
20101210,19.097,19.097,18.899,18.899,1871,0
20101213,18.908,18.984,18.908,18.908,1654,0
20101214,19.024,19.212,19.024,19.063,1146,0
20101215,19.591,19.605,19.339,19.591,1189,0
20101216,19.22,19.254,19.22,19.254,2675,0
20101217,19.552,19.552,19.552,19.552,378,0
20101220,19.534,19.543,19.369,19.534,2294,0
20101221,18.627,18.627,18.627,18.627,4587,0
20101222,19.584,19.584,19.419,19.419,4853,0
20101223,19.419,19.441,19.297,19.297,2612,0
20101227,19.605,19.605,19.306,19.306,517,0
20101228,18.991,19.22,18.991,19.22,1083,0
20101229,19.501,19.501,19.204,19.204,892,0
20101230,19.22,19.254,18.984,18.984,4598,0
20101231,19.22,19.22,19.22,19.22,1370,0
20110103,19.433,19.433,19.22,19.22,764,0
