Date,Open,High,Low,Close,Volume,OpenInt
20100823,19.037,19.208,19.037,19.159,1538,0
20100824,19.404,19.404,19.395,19.395,246,0
20100825,18.617,19.307,18.583,18.583,3054,0
20100830,18.583,18.802,18.583,18.802,246,0
20100831,19.113,19.27,18.583,19.27,1678,0
20100901,18.749,18.749,18.591,18.591,2879,0
20100902,18.6,18.723,18.6,18.723,1926,0
20100903,18.684,18.684,18.684,18.684,139,0
20100907,18.684,19.113,18.684,19.113,1781,0
20100908,19.113,19.113,19.02,19.113,1924,0
20100909,18.74,19.307,18.723,19.113,3527,0
20100910,19.113,19.27,18.785,18.802,5243,0
20100913,19.113,19.27,19.113,19.27,2048,0
20100914,18.871,18.871,18.824,18.824,1512,0
20100915,19.113,19.113,19.113,19.113,1213,0
20100916,19.113,19.823,18.832,19.66,1795,0
20100920,18.84,19.122,18.666,18.666,5318,0
20100921,18.684,18.684,18.684,18.684,246,0
20100922,19.075,19.502,19.067,19.502,1204,0
20100924,19.404,19.502,18.756,19.48,1747,0
20100927,19.348,19.348,18.764,19.27,2116,0
20100928,18.84,18.84,18.764,18.764,767,0
20100929,19.27,19.27,19.151,19.151,246,0
20100930,18.84,19.48,18.84,19.333,1870,0
20101001,19.348,19.348,19.348,19.348,444,0
20101004,19.348,19.457,19.136,19.136,1024,0
20101005,19.128,19.128,19.128,19.128,139,0
20101006,19.229,19.502,19.229,19.262,2138,0
20101008,19.151,19.378,19.122,19.122,2527,0
20101011,20.028,20.028,19.151,19.151,246,0
20101012,19.168,19.168,19.136,19.136,712,0
20101013,19.191,19.191,19.122,19.122,1471,0
20101014,19.113,19.151,19.113,19.151,1282,0
20101015,19.48,19.502,19.48,19.502,517,0
20101018,19.519,19.589,19.151,19.151,1858,0
20101019,19.151,19.151,19.151,19.151,246,0
20101020,19.214,19.316,19.151,19.151,2048,0
20101021,21.414,21.414,19.113,19.113,767,0
20101025,19.238,19.494,19.208,19.395,641,0
20101026,19.316,19.487,19.278,19.333,2048,0
20101027,19.262,19.404,19.199,19.199,3331,0
20101028,19.348,19.473,19.348,19.473,378,0
20101029,19.208,19.208,19.199,19.199,1412,0
20101101,19.208,19.208,19.113,19.113,987,0
20101102,19.151,19.191,19.113,19.151,5258,0
20101103,19.464,19.464,19.128,19.128,246,0
20101104,19.307,19.427,19.186,19.427,883,0
20101105,19.144,19.418,19.122,19.128,3219,0
20101108,19.434,19.434,19.144,19.199,2371,0
20101109,19.191,19.395,19.191,19.307,4624,0
20101110,19.27,19.27,19.27,19.27,574,0
20101111,19.27,19.27,19.27,19.27,190,0
20101112,19.418,19.418,19.418,19.418,200,0
20101115,19.418,19.427,19.208,19.386,2724,0
20101116,19.222,19.222,19.222,19.222,139,0
20101118,19.307,19.307,19.307,19.307,1282,0
20101119,19.775,20.746,19.502,19.502,10074,0
20101122,19.511,19.511,19.511,19.511,246,0
20101123,19.519,19.544,19.128,19.128,3331,0
20101124,19.128,19.464,19.128,19.464,1282,0
20101126,19.307,19.348,19.307,19.348,378,0
20101129,19.151,19.191,19.144,19.144,1282,0
20101201,19.128,19.159,19.122,19.122,474,0
20101202,19.191,19.348,19.075,19.348,1604,0
20101203,19.159,19.333,19.128,19.333,4772,0
20101206,19.168,19.168,19.151,19.159,1540,0
20101207,19.159,19.307,19.159,19.159,3588,0
20101208,19.159,19.159,18.846,18.854,3673,0
20101210,18.919,18.941,18.854,18.941,574,0
20101213,19.037,19.037,19.037,19.037,246,0
20101214,19.307,19.307,19.044,19.044,1523,0
20101215,19.067,19.067,19.044,19.044,517,0
20101216,19.378,19.378,19.378,19.378,246,0
20101220,19.348,19.348,18.889,19.052,3390,0
20101221,19.037,19.037,19.037,19.037,517,0
20101222,18.905,18.905,18.723,18.723,2461,0
20101223,19.028,19.052,18.88,18.912,11587,0
20101227,19.075,19.37,19.075,19.37,1924,0
20101228,19.427,19.544,19.386,19.544,3460,0
20101231,19.307,19.307,19.128,19.128,1282,0
20110103,19.581,19.581,19.581,19.581,270,0
20110104,19.871,19.871,19.151,19.151,483,0
20110105,19.199,19.199,19.199,19.199,139,0
20110106,19.299,19.307,19.299,19.307,639,0
20110107,19.128,19.128,19.122,19.122,379,0
20110110,19.113,19.191,19.113,19.191,3460,0
20110111,19.199,19.199,19.199,19.199,139,0
20110113,19.214,19.214,19.199,19.199,641,0
20110114,19.457,19.589,19.238,19.238,1284,0
20110118,19.502,19.502,19.494,19.502,7820,0
20110119,19.502,19.502,19.502,19.502,246,0
20110120,19.502,19.502,19.502,19.502,434,0
20110124,19.081,19.386,19.067,19.386,625,0
20110125,19.348,19.348,19.348,19.348,139,0
20110126,19.348,19.348,19.113,19.151,1945,0
20110128,19.151,19.151,19.151,19.151,189,0
20110131,19.339,19.502,19.339,19.354,1547,0
20110202,19.214,19.214,19.214,19.214,375,0
20110207,19.448,20.285,19.448,19.971,3909,0
20110208,19.971,19.971,19.62,19.62,1412,0
20110209,19.427,19.427,19.427,19.427,139,0
20110210,19.62,19.62,19.62,19.62,246,0
20110211,19.62,19.62,19.325,19.325,1282,0
20110214,19.348,19.807,19.325,19.807,4910,0
20110215,19.37,19.651,19.37,19.596,2235,0
20110216,19.7,19.7,19.7,19.7,1194,0
