Date,Open,High,Low,Close,Volume,OpenInt
20060315,38.477,61.082,28.858,32.223,26458,0
20060316,32.706,37.517,27.703,28.377,15302,0
20060317,30.782,30.782,24.076,26.455,22923,0
20060320,25.01,25.01,20.777,22.211,82263,0
20060321,22.414,23.462,21.931,22.942,11102,0
20060322,23.086,25.01,22.992,25.01,24145,0
20060323,26.405,26.933,25.126,26.933,5857,0
20060324,26.761,27.413,25.875,27.413,16025,0
20060327,27.413,30.782,27.413,30.782,13093,0
20060328,30.782,33.657,28.876,29.829,30252,0
20060329,30.435,32.601,30.435,32.13,10041,0
20060330,32.319,33.167,31.504,32.204,14343,0
20060331,32.706,33.09,31.599,32.495,5603,0
20060403,32.466,33.63,32.466,32.945,12016,0
20060404,33.64,33.657,33.187,33.187,11866,0
20060405,33.522,35.591,33.09,35.11,44926,0
20060406,36.187,36.551,35.409,35.6,21558,0
20060407,36.265,37.706,35.448,36.986,22408,0
20060410,37.997,45.095,37.418,43.796,77178,0
20060411,44.95,51.636,44.305,47.162,83849,0
20060412,48.097,50.02,43.43,44.922,44296,0
20060413,44.922,47.135,42.084,44.296,26220,0
20060417,43.305,47.597,42.805,44.999,30797,0
20060418,45.019,47.037,44.393,45.75,22236,0
20060419,45.75,47.037,45.085,46.268,19650,0
20060420,46.894,46.894,45.209,45.209,12136,0
20060421,45.942,45.942,44.25,44.412,9788,0
20060424,45.692,45.692,42.565,42.709,8905,0
20060425,42.326,42.719,37.053,38.322,36419,0
20060426,38.467,42.036,38.467,40.737,32848,0
20060427,40.737,41.364,38.661,40.228,6728,0
20060428,38.526,40.238,37.754,39.92,14030,0
20060501,39.439,40.689,39.439,39.92,10380,0
20060502,40.401,43.285,39.594,43.285,27289,0
20060503,43.285,44.97,42.613,44.902,15744,0
20060504,45.209,45.209,39.429,40.497,19192,0
20060505,44.345,44.345,39.633,41.949,11513,0
20060508,43.285,45.209,41.374,45.209,29596,0
20060509,45.596,48.385,45.596,48.385,93295,0
20060510,48.097,49.059,46.423,48.577,29126,0
20060511,48.596,50.973,46.212,47.856,74587,0
20060512,47.616,48.193,46.432,48.087,15570,0
20060515,47.902,47.902,40.787,42.603,51866,0
20060516,43.009,43.276,38.477,41.892,17777,0
20060517,40.882,40.882,38.698,39.429,21418,0
20060518,39.419,41.364,35.649,37.043,25366,0
20060519,37.043,37.997,31.407,33.09,63768,0
20060522,33.09,35.562,31.743,32.591,31018,0
20060523,33.206,35.11,32.706,34.197,30607,0
20060524,35.485,36.551,34.62,35.591,11319,0
20060525,35.687,36.976,35.609,36.177,5745,0
20060526,36.532,36.532,35.591,35.88,8700,0
20060530,35.784,36.072,33.937,34.696,12169,0
20060531,34.629,34.696,33.667,33.667,10257,0
20060601,33.667,34.004,32.945,34.004,5487,0
20060602,34.15,36.948,34.023,36.005,13261,0
20060605,37.227,37.274,35.591,36.532,9621,0
20060606,38.322,38.322,35.207,36.551,8005,0
20060607,36.551,36.939,36.13,36.13,11858,0
20060608,35.659,36.062,35.11,35.736,11588,0
20060609,35.294,35.294,35.11,35.11,1976,0
20060612,36.072,36.072,32.657,34.302,18021,0
20060613,32.466,34.302,30.003,30.301,20983,0
20060614,29.899,31.723,29.899,31.243,7089,0
20060615,30.782,30.782,29.358,30.474,5374,0
20060616,30.301,30.301,27.076,27.549,19197,0
20060619,27.887,27.887,25.973,25.973,11207,0
20060620,25.712,26.279,25.107,25.501,5881,0
20060621,25.491,26.743,25.01,26.55,11812,0
20060622,26.933,30.782,26.933,29.339,15012,0
20060623,31.733,32.945,30.022,32.62,22685,0
20060626,33.649,35.042,32.253,33.187,18425,0
20060627,32.85,35.342,32.85,35.11,9617,0
20060628,35.582,35.582,33.667,33.667,5463,0
20060629,33.667,33.667,30.311,31.723,13599,0
20060630,31.359,33.522,31.359,32.223,5083,0
20060703,33.522,33.522,32.511,32.983,934,0
20060705,33.187,33.187,31.743,31.743,2392,0
20060706,33.187,33.187,31.475,31.475,6438,0
20060707,30.59,32.61,30.59,31.455,2081,0
20060710,30.782,32.417,30.782,32.13,566,0
20060711,31.984,33.283,31.869,32.945,5166,0
20060712,30.973,33.254,30.782,31.417,5830,0
20060713,32.61,32.706,32.023,32.223,1663,0
20060714,32.204,33.667,32.13,32.272,8838,0
20060717,31.984,33.765,31.792,32.329,9376,0
20060718,33.657,33.657,28.858,28.858,14343,0
20060719,28.906,30.782,28.906,30.657,3816,0
20060720,30.782,31.743,30.301,30.973,6755,0
20060721,30.425,30.791,28.982,30.205,6808,0
20060724,32.686,32.686,29.339,29.724,3372,0
20060725,29.724,30.013,28.088,28.838,5127,0
20060726,32.686,32.686,26.933,28.992,8478,0
20060727,28.858,31.233,28.858,31.233,9005,0
20060728,30.782,31.552,29.388,29.819,1872,0
20060731,30.06,31.455,29.917,31.262,2309,0
20060801,30.395,31.262,29.819,31.262,5738,0
20060802,30.782,31.262,29.704,29.879,20792,0
20060803,30.773,30.773,29.819,30.666,17295,0
20060804,31.072,31.072,29.839,29.908,7575,0
20060807,31.022,31.022,30.253,30.376,3855,0
20060808,30.657,30.657,29.819,30.493,5248,0
20060809,29.945,30.638,26.788,27.462,17009,0
20060810,29.339,29.339,25.636,25.636,13845,0
20060811,25.376,25.558,24.625,24.769,13827,0
20060814,26.743,26.743,25.01,25.721,19255,0
20060815,26.923,28.511,25.778,26.933,16091,0
20060816,26.607,26.972,26.249,26.695,6193,0
20060817,28.367,28.367,26.933,27.329,7255,0
20060818,27.663,27.663,26.259,26.923,8712,0
20060821,26.913,26.913,26.259,26.455,4711,0
20060822,26.455,26.933,26.154,26.695,8034,0
20060823,27.176,27.386,26.5,26.867,5759,0
20060824,26.597,27.386,26.54,26.847,4299,0
20060825,26.455,26.455,26.455,26.455,729,0
20060828,27.501,27.501,26.55,26.55,3405,0
20060829,26.761,27.076,26.51,26.695,4574,0
20060830,26.788,26.788,26.328,26.435,1873,0
20060831,26.259,26.818,26.173,26.788,14068,0
20060901,26.933,26.933,25.973,25.973,3539,0
20060905,26.031,26.415,25.973,25.973,8214,0
20060906,26.069,26.089,24.154,24.154,10646,0
20060907,25.838,25.838,22.124,23.086,11620,0
20060908,25.308,25.404,23.145,23.2,12192,0
20060911,23.096,23.683,18.699,19.767,36488,0
20060912,20.422,22.124,19.739,21.643,23261,0
20060913,21.469,22.028,21.289,21.74,7777,0
20060914,22.192,22.605,21.653,22.605,10531,0
20060915,22.972,22.992,21.855,21.855,6065,0
20060918,21.789,21.789,20.729,20.739,6413,0
20060919,20.931,20.931,20.036,20.393,11417,0
20060920,19.951,20.259,19.777,19.797,5042,0
20060921,19.72,19.72,19.143,19.239,9098,0
20060922,19.239,19.239,18.757,18.757,10367,0
20060925,18.392,18.709,15.996,17.314,39820,0
20060926,16.833,17.411,16.833,17.247,16136,0
20060927,16.871,17.63,16.871,17.343,8186,0
20060928,18.083,18.083,17.372,17.577,9959,0
