Date,Open,High,Low,Close,Volume,OpenInt
20110606,7.08,7.1765,6.9835,6.9835,4550394,0
20110607,6.9835,7.08,6.936,7.013,3545790,0
20110608,6.955,7.013,6.936,6.946,2643076,0
20110609,6.849,6.9835,6.8205,6.936,7629162,0
20110610,6.936,6.9835,6.878,6.955,1403702,0
20110613,6.878,6.946,6.83,6.8975,1027342,0
20110614,6.9065,7.013,6.9065,6.9835,1305186,0
20110615,6.8975,6.9835,6.791,6.8205,837710,0
20110616,6.7815,6.868,6.7525,6.7715,1071052,0
20110617,6.8395,6.868,6.8395,6.868,525214,0
20110620,6.83,6.888,6.743,6.83,1819890,0
20110621,6.743,6.936,6.743,6.926,1254614,0
20110622,6.858,6.926,6.8395,6.8395,846662,0
20110623,6.7525,6.83,6.6465,6.7715,999356,0
20110624,6.791,6.791,6.637,6.666,810916,0
20110627,6.6465,6.791,6.5985,6.7525,538960,0
20110628,6.7525,6.83,6.743,6.8205,580690,0
20110629,6.8395,7.013,6.8395,6.9935,1553932,0
20110630,7.0035,7.2825,7.0035,7.2345,897862,0
20110701,7.215,7.3595,6.9735,7.3205,1004462,0
20110705,7.08,7.3495,7.08,7.2625,783956,0
20110706,7.2625,7.2725,7.08,7.225,1519320,0
20110707,7.2725,7.2725,7.215,7.225,1053880,0
20110708,7.2345,7.388,7.1765,7.369,901596,0
20110711,7.1285,7.2725,7.1285,7.2725,1281526,0
20110712,7.2345,7.2345,7.1285,7.157,3310546,0
20110713,7.225,7.225,7.061,7.1475,3494702,0
20110714,7.1285,7.2725,7.08,7.225,6724264,0
20110715,7.244,7.4075,7.225,7.4075,1486106,0
20110718,7.3595,7.4945,7.2625,7.4945,6141016,0
20110719,7.523,7.6965,7.514,7.649,1408128,0
20110720,7.716,7.7835,7.629,7.7835,1450138,0
20110721,7.6675,7.8605,7.6675,7.8315,1268218,0
20110722,7.716,7.822,7.6575,7.754,691762,0
20110725,7.639,7.745,7.504,7.7065,553064,0
20110726,7.687,7.687,7.629,7.6675,295130,0
20110727,7.7065,7.7065,7.398,7.562,907212,0
20110728,7.5905,7.764,7.571,7.6965,2004512,0
20110729,7.6575,7.754,7.571,7.6775,1744802,0
20110801,7.7735,7.7735,7.514,7.61,450530,0
20110802,7.5425,7.552,7.225,7.292,1314460,0
20110803,7.244,7.465,7.225,7.465,2260310,0
20110804,7.3115,7.3305,7.0705,7.1285,703960,0
20110805,7.186,7.2535,6.7715,6.946,880620,0
20110808,6.8205,6.8205,6.0975,6.367,883130,0
20110809,6.5115,6.6465,6.3965,6.6465,399012,0
20110810,6.579,6.6185,6.4155,6.569,75824,0
20110811,6.579,6.7625,6.387,6.7525,1475726,0
20110812,6.8395,6.888,6.579,6.8005,426170,0
20110815,6.7715,7.0995,6.7715,6.936,974188,0
20110816,6.868,6.946,6.6185,6.8205,543402,0
20110817,6.849,6.8975,6.6465,6.849,1306908,0
20110818,6.627,6.8395,6.5505,6.6465,786286,0
20110819,6.5885,6.6465,6.2895,6.5025,556214,0
20110822,6.5985,6.714,6.3095,6.5885,1059292,0
20110823,6.6185,6.6185,6.4535,6.5505,816440,0
20110824,6.5505,6.666,6.387,6.579,125084,0
20110825,6.6185,6.666,6.3965,6.463,137040,0
20110826,6.387,6.463,6.3095,6.3965,167904,0
