Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.1427,2.1508,2.0471,2.0471,77930,0
20050228,1.9431,2.1508,1.8997,2.1508,141563,0
20050301,2.108,2.1688,2.108,2.1688,100815,0
20050302,2.1599,2.2204,2.1427,2.1774,112386,0
20050303,2.1427,2.2381,2.1427,2.186,48683,0
20050304,2.2554,2.3417,2.2035,2.2643,57677,0
20050307,2.2813,2.6458,2.2813,2.4199,119959,0
20050308,2.4809,2.5244,2.3943,2.5244,119930,0
20050309,2.5762,2.6025,2.5333,2.5852,161084,0
20050310,2.6458,2.6458,2.5155,2.5762,64613,0
20050311,2.559,2.611,2.5415,2.5676,34488,0
20050314,2.5852,2.6195,2.5762,2.5762,67674,0
20050315,2.6632,2.6632,2.5762,2.5852,103276,0
20050316,2.5762,2.5938,2.3508,2.4026,105932,0
20050317,2.3681,2.498,2.3417,2.3767,28015,0
20050318,2.6025,2.6025,2.4199,2.4724,25132,0
20050321,2.3681,2.4809,2.3681,2.3857,9917,0
20050322,2.3857,2.4026,2.3681,2.4026,8757,0
20050323,2.4026,2.4546,2.3681,2.429,22358,0
20050324,2.3767,2.3943,2.3767,2.3943,4680,0
20050328,2.4116,2.4546,2.3681,2.4377,28585,0
20050329,2.3681,2.4199,2.3681,2.3767,6397,0
20050330,2.3681,2.6632,2.3681,2.6458,40072,0
20050331,2.7931,2.7931,2.3417,2.5852,250196,0
20050401,2.6718,2.7151,2.4546,2.7151,39444,0
20050404,2.7151,2.7151,2.5938,2.6977,19966,0
20050405,2.6977,2.7759,2.6977,2.7588,78387,0
20050406,2.7324,2.7588,2.6892,2.7324,16538,0
20050407,2.7496,2.7931,2.7496,2.7588,4842,0
20050408,2.7324,2.7848,2.7066,2.7411,11294,0
20050411,2.7931,2.7931,2.6977,2.7496,2582,0
20050412,2.7759,2.8018,2.5333,2.6025,40872,0
20050413,2.7588,2.7588,2.5676,2.5852,22592,0
20050414,2.5852,2.7238,2.4809,2.5415,50281,0
20050415,2.7588,2.7588,2.4809,2.5415,39527,0
20050418,2.611,2.7324,2.3074,2.4546,42471,0
20050419,2.429,2.5676,2.3417,2.5676,12046,0
20050420,2.4809,2.5762,2.4724,2.498,4842,0
20050421,2.4377,2.4546,2.4026,2.4546,1613,0
20050422,2.3767,2.4377,2.3163,2.4377,16252,0
20050425,2.2813,2.3252,2.1169,2.3252,37406,0
20050426,2.4199,2.429,2.1427,2.3163,25041,0
20050427,2.3074,2.3074,2.1599,2.2643,39842,0
20050428,2.1599,2.2554,2.1599,2.2554,6986,0
20050429,2.2643,2.2725,2.1947,2.2467,5302,0
20050502,2.0557,2.1947,2.0127,2.134,38737,0
20050503,2.1688,2.2296,2.108,2.1508,24781,0
20050504,2.2381,2.2381,2.108,2.134,50720,0
20050505,2.0127,2.1508,1.9431,2.0647,44035,0
20050506,2.108,2.134,2.0902,2.134,2768,0
20050509,2.2643,2.2643,2.0902,2.1427,23651,0
20050510,2.1508,2.1508,2.0647,2.108,2117,0
20050511,2.0902,2.108,2.0471,2.108,18255,0
20050512,2.0734,2.0734,1.9689,2.0214,8266,0
20050513,1.9864,2.1508,1.8911,2.082,24926,0
20050516,2.1169,2.1169,2.1169,2.1169,4611,0
20050517,2.0647,2.0989,2.0647,2.0989,918,0
20050518,2.108,2.108,2.0471,2.108,26654,0
20050519,2.082,2.108,2.082,2.108,688,0
20050520,2.082,2.108,2.082,2.108,688,0
20050523,2.1252,2.2813,2.108,2.2813,12676,0
20050524,2.1599,2.498,2.1599,2.4116,23138,0
20050525,2.4809,2.498,2.3074,2.3943,18933,0
20050526,2.498,2.498,2.2725,2.4809,12654,0
20050527,2.4809,2.5244,2.3417,2.4636,35000,0
20050531,2.4809,2.4809,2.429,2.429,1382,0
20050601,2.186,2.3508,2.186,2.3508,2073,0
20050602,2.2554,2.3336,2.2554,2.3336,1382,0
20050606,2.2813,2.2813,2.2467,2.2467,4106,0
