Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.948,29.976,29.437,29.844,35405,0
20050228,29.609,29.793,28.793,29.236,35343,0
20050301,28.838,30.295,28.767,30.287,32855,0
20050302,30.382,30.588,29.627,30.041,18889,0
20050303,30.45,30.738,30.251,30.442,13968,0
20050304,30.678,30.73,30.382,30.588,9105,0
20050307,30.174,30.73,30.174,30.565,18638,0
20050308,30.382,30.605,30.059,30.206,33898,0
20050309,30.009,30.338,29.662,29.662,11698,0
20050310,29.774,30.225,29.375,29.678,20173,0
20050311,29.411,29.957,29.411,29.957,25794,0
20050314,29.957,30.373,29.93,30.347,16313,0
20050315,30.477,30.721,30.251,30.304,16361,0
20050316,30.139,30.182,29.756,29.948,45861,0
20050317,30.001,30.382,29.575,29.784,79990,0
20050318,30.077,30.077,27.952,28.602,78584,0
20050321,28.264,28.428,27.777,27.82,45948,0
20050322,27.82,28.264,27.777,27.855,30378,0
20050323,27.777,27.96,26.126,26.527,39188,0
20050324,26.399,26.909,26.389,26.615,9670,0
20050328,26.909,26.962,26.301,26.372,12058,0
20050329,26.135,26.683,26.007,26.051,18752,0
20050330,26.64,27.692,26.217,27.455,21597,0
20050331,27.664,28.282,27.428,28.184,57139,0
20050401,28.428,28.575,27.11,27.11,28630,0
20050404,27.119,27.554,26.857,27.247,21514,0
20050405,27.455,28.776,27.455,28.481,33393,0
20050406,28.507,28.637,27.742,27.742,16350,0
20050407,27.777,28.68,27.492,28.35,20404,0
20050408,28.237,28.282,27.492,27.585,10482,0
20050411,27.89,27.977,26.414,26.606,22908,0
20050412,26.483,26.649,25.607,26.649,36128,0
20050413,26.632,26.632,25.869,25.998,9269,0
20050414,26.276,26.562,26.042,26.051,30073,0
20050415,26.118,26.207,25.172,25.346,50554,0
20050418,25.476,25.762,24.696,25.33,55286,0
20050419,25.686,26.042,25.677,26.042,29636,0
20050420,25.616,26.042,25.607,25.835,30146,0
20050421,25.998,26.126,25.643,25.835,19903,0
20050422,25.935,26.399,25.113,25.164,27314,0
20050425,25.563,25.736,25.19,25.503,27042,0
20050426,25.303,25.86,25.164,25.164,18819,0
20050427,25.025,25.894,24.696,25.513,13981,0
20050428,25.513,25.677,25.042,25.042,13621,0
20050429,25.19,25.391,24.869,25.121,34430,0
20050502,25.208,25.598,24.989,25.468,19076,0
20050503,25.131,25.607,24.989,25.121,23108,0
20050504,24.958,25.522,24.958,25.433,25325,0
20050505,25.468,25.589,24.966,25.355,16300,0
20050506,25.598,25.616,25.042,25.042,10506,0
20050509,24.974,25.651,24.974,25.651,17819,0
20050510,25.226,25.452,24.999,25.199,26117,0
