Date,Open,High,Low,Close,Volume,OpenInt
19700102,3.6468,3.7639,3.5879,3.7346,33038,0
19700105,3.715,3.715,3.6173,3.6563,24140,0
19700106,3.5979,3.5979,3.5,3.5587,62395,0
19700107,3.5391,3.5391,3.4707,3.5098,23321,0
19700108,3.5098,3.5391,3.4707,3.5,25776,0
19700109,3.5,3.5,3.4413,3.4413,15444,0
19700112,3.4413,3.4804,3.4218,3.4707,7671,0
19700113,3.4707,3.5098,3.4119,3.4218,18820,0
19700114,3.4218,3.4804,3.3926,3.4413,17797,0
19700115,3.4413,3.4413,3.3827,3.4119,26185,0
19700116,3.4119,3.5,3.3827,3.3926,21787,0
19700119,3.3926,3.4413,3.3338,3.3631,17898,0
19700120,3.3631,3.4119,3.3338,3.4119,33958,0
19700121,3.4119,3.4707,3.3533,3.3926,29254,0
19700122,3.3926,3.4707,3.3827,3.4218,21787,0
19700123,3.4218,3.4413,3.3533,3.3827,166521,0
19700126,3.3827,3.4218,3.3631,3.3827,37335,0
19700127,3.3926,3.4511,3.3926,3.3926,26388,0
19700128,3.3926,3.4413,3.3827,3.3926,53495,0
19700129,3.3926,3.3926,3.2458,3.2458,27209,0
19700130,3.2458,3.2458,3.0993,3.0993,32220,0
19700202,3.0993,3.2948,3.0405,3.1968,61270,0
19700203,3.1968,3.3338,3.1383,3.3338,54824,0
19700204,3.3338,3.3631,3.2165,3.2557,18617,0
19700205,3.2557,3.3044,3.2262,3.2262,14628,0
19700206,3.2262,3.3241,3.1968,3.3044,38357,0
19700209,3.3338,3.3926,3.2262,3.2262,32322,0
19700210,3.2262,3.2262,3.0894,3.1186,46439,0
19700211,3.1186,3.1774,3.0503,3.1676,58917,0
19700212,3.1676,3.1968,3.1383,3.1676,19331,0
19700213,3.1676,3.1968,3.1186,3.1968,12274,0
19700216,3.1968,3.2067,3.1091,3.1383,37641,0
19700217,3.1383,3.1383,3.0503,3.1091,13399,0
19700218,3.1091,3.1482,3.0794,3.1091,24343,0
19700219,3.1091,3.1482,3.0603,3.0603,33242,0
19700220,3.0603,3.1676,3.0503,3.1676,55747,0
19700224,3.1676,3.2067,3.1383,3.1968,16263,0
19700225,3.1968,3.2262,3.1383,3.2067,19229,0
19700226,3.2067,3.2067,3.0894,3.1774,23321,0
19700227,3.1774,3.285,3.1482,3.285,23421,0
19700302,3.285,3.3926,3.285,3.3338,52573,0
19700303,3.3436,3.4317,3.3436,3.4022,47051,0
19700304,3.4022,3.4608,3.3729,3.4608,48177,0
19700305,3.4608,3.4608,3.3729,3.3729,31912,0
19700306,3.3729,3.4218,3.3142,3.3436,34776,0
19700309,3.3142,3.3142,3.2067,3.236,33038,0
19700310,3.236,3.3338,3.236,3.2752,18922,0
19700311,3.2752,3.3338,3.2067,3.2067,23731,0
19700312,3.2067,3.285,3.1774,3.2262,38563,0
19700313,3.2262,3.2557,3.1676,3.1676,33652,0
19700316,3.1676,3.1676,3.0894,3.0894,44597,0
19700317,3.0894,3.1968,3.0603,3.1968,136552,0
19700318,3.1968,3.236,3.1676,3.1676,21276,0
19700319,3.1676,3.2262,3.1676,3.2262,27004,0
19700320,3.2262,3.2262,3.1482,3.1482,18308,0
19700323,3.1482,3.1968,3.1383,3.1774,71395,0
19700324,3.1968,3.2752,3.1968,3.2557,74057,0
19700325,3.2557,3.3926,3.2262,3.3436,38459,0
19700326,3.3436,3.3926,3.3338,3.3631,73542,0
19700330,3.3631,3.3631,3.1968,3.236,33141,0
19700331,3.236,3.2752,3.1774,3.2262,26595,0
19700401,3.2262,3.285,3.2067,3.2557,20047,0
19700402,3.2557,3.2752,3.236,3.236,15035,0
19700403,3.236,3.2752,3.1968,3.2752,34471,0
19700406,3.2557,3.2557,3.1676,3.1968,35392,0
19700407,3.1968,3.2262,3.1676,3.2067,31812,0
19700408,3.2067,3.2262,3.1676,3.2262,14933,0
19700409,3.2262,3.2262,3.1091,3.1091,63111,0
19700410,3.1091,3.1774,3.1091,3.1383,18003,0
19700413,3.1383,3.1482,3.0894,3.0894,29459,0
19700414,3.0894,3.1383,3.0794,3.1383,29459,0
19700415,3.1383,3.1676,3.1091,3.1091,13196,0
19700416,3.1091,3.1482,3.0209,3.0209,38050,0
19700417,3.0209,3.0503,3.0015,3.0209,63212,0
19700420,3.0209,3.0894,3.0209,3.0794,16979,0
19700421,3.0603,3.0603,2.9719,3.0015,29766,0
19700422,3.0015,3.0307,2.9525,2.9915,18308,0
19700423,2.9719,2.9719,2.884,2.9134,32016,0
19700424,2.9134,2.9134,2.835,2.835,32118,0
