Date,Open,High,Low,Close,Volume,OpenInt
19841218,2.9132,2.9391,2.8783,2.9391,539144,0
19841219,2.9391,3.0086,2.9391,2.9825,496326,0
19841220,2.9739,2.9825,2.9652,2.9825,459347,0
19841221,2.9652,2.9739,2.9391,2.9391,299743,0
19841224,2.9652,2.9825,2.9652,2.9825,101210,0
19841226,2.9996,3.0256,2.9825,2.9996,235509,0
19841227,2.9825,3.0086,2.7398,2.7398,932317,0
19841228,2.7658,2.8352,2.7658,2.7916,2218878,0
19841231,2.7743,2.7916,2.5925,2.6529,1121116,0
19850102,2.6704,2.7916,2.6704,2.731,856408,0
19850103,2.7571,2.7916,2.7571,2.7916,151817,0
19850104,2.8006,2.8177,2.7916,2.8006,338673,0
19850107,2.8006,2.8006,2.7398,2.7571,179067,0
19850108,2.7571,2.7743,2.7571,2.7658,504111,0
19850109,2.7743,2.8352,2.7743,2.8263,395114,0
19850110,2.8352,2.8352,2.8352,2.8352,214102,0
19850111,2.8352,2.8437,2.8177,2.8263,363973,0
19850114,2.8263,2.8352,2.8263,2.8352,233567,0
19850115,2.8523,2.861,2.8177,2.8437,443776,0
19850116,2.8177,2.8352,2.8177,2.8352,539144,0
19850117,2.8263,2.8352,2.7743,2.8091,406793,0
19850118,2.8352,2.8352,2.8177,2.8352,161549,0
19850121,2.8352,2.861,2.8352,2.8523,443776,0
19850122,2.8352,2.8352,2.7916,2.8263,369811,0
19850123,2.8263,2.8352,2.8177,2.8263,165441,0
19850124,2.8352,2.8697,2.8352,2.861,352294,0
19850125,2.861,2.8697,2.8352,2.8352,233567,0
19850128,2.8263,2.9825,2.8263,2.9566,827603,0
19850129,2.9996,3.043,2.9825,3.0256,1219993,0
19850130,2.9391,2.9391,2.8783,2.9391,903120,0
19850131,2.9391,2.9391,2.8871,2.9218,390833,0
19850201,2.9218,2.9996,2.9046,2.9391,449226,0
19850204,2.9652,3.0605,2.9652,3.0605,583916,0
19850205,3.1211,3.1646,3.1211,3.1473,643085,0
19850206,3.1211,3.3033,3.1211,3.2859,971634,0
19850207,3.3033,3.4677,3.2597,3.4677,1864635,0
19850208,3.3639,3.4247,3.3379,3.3639,1482365,0
19850211,3.3466,3.3466,3.2426,3.3033,892225,0
19850212,3.3033,3.4853,3.2774,3.4594,957620,0
19850213,3.5199,3.5199,3.3988,3.442,1034696,0
19850214,3.4594,3.6239,3.442,3.6239,2367580,0
19850215,3.6413,3.6673,3.5459,3.5459,1197414,0
19850219,3.5199,3.6413,3.4677,3.6413,447667,0
19850220,3.6673,3.7801,3.6413,3.6673,1112554,0
19850221,3.6588,3.6673,3.5807,3.6239,485038,0
19850222,3.6067,3.6239,3.5374,3.5459,348014,0
19850225,3.5199,3.5199,3.3988,3.5199,393950,0
19850226,3.5199,3.5982,3.5199,3.5459,658659,0
19850227,3.5636,3.6067,3.5636,3.5982,448446,0
19850228,3.6239,3.7975,3.5982,3.7975,661769,0
19850301,3.7628,3.7801,3.7194,3.7628,670334,0
19850304,3.7628,3.7628,3.6673,3.7279,335556,0
19850305,3.702,3.7975,3.702,3.7628,244466,0
19850306,3.7456,3.7456,3.7279,3.7456,260816,0
19850307,3.702,3.7194,3.6067,3.702,534866,0
19850308,3.702,3.702,3.6588,3.6673,161940,0
19850311,3.5459,3.5459,3.4853,3.5459,285728,0
19850312,3.5199,3.5459,3.4853,3.5459,116004,0
19850313,3.5199,3.5374,3.4071,3.4247,175955,0
19850314,3.4071,3.4247,3.3988,3.4071,147147,0
19850315,3.4071,3.4247,3.3988,3.4247,91870,0
19850318,3.4247,3.4594,3.3988,3.4071,140920,0
19850319,3.4071,3.442,3.3379,3.3988,720162,0
19850320,3.4071,3.4247,3.3814,3.4247,491267,0
19850321,3.4071,3.5636,3.4071,3.5636,196974,0
19850322,3.5636,3.5982,3.4677,3.4677,214102,0
19850325,3.4677,3.5028,3.4071,3.4247,236680,0
19850326,3.442,3.4853,3.4071,3.4677,603380,0
19850327,3.4247,3.442,3.3988,3.4247,418862,0
19850328,3.4247,3.5028,3.4247,3.442,388497,0
19850329,3.4677,3.4853,3.4247,3.4594,661769,0
19850401,3.4594,3.4677,3.4071,3.442,327772,0
19850402,3.442,3.5374,3.442,3.4853,2724936,0
19850403,3.5028,3.5028,3.442,3.4594,1868528,0
19850404,3.4594,3.4594,3.4247,3.4247,1492485,0
19850408,3.4247,3.4594,3.4247,3.442,552772,0
19850409,3.442,3.4853,3.4247,3.4677,871978,0
19850410,3.4677,3.5459,3.4677,3.5199,577686,0
19850411,3.5459,3.5636,3.5199,3.5459,608050,0
19850412,3.5807,3.5982,3.5199,3.5807,879764,0
19850415,3.5807,3.6413,3.5807,3.5982,467908,0
19850416,3.5982,3.6067,3.5636,3.6067,401733,0
19850417,3.6067,3.6239,3.5807,3.6067,362805,0
19850418,3.6239,3.6847,3.6067,3.6588,936598,0
19850419,3.6588,3.7975,3.6413,3.7194,816703,0
19850422,3.7194,3.7194,3.6067,3.6847,914798,0
19850423,3.6673,3.7456,3.6588,3.7456,1891105,0
