Date,Open,High,Low,Close,Volume,OpenInt
20150305,23.659,23.706,23.485,23.485,4461,0
20150306,23.502,23.706,23.447,23.706,16864,0
20150309,23.706,23.706,23.706,23.706,327,0
20150310,23.686,23.686,23.686,23.686,219,0
20150311,23.659,23.659,23.659,23.659,219,0
20150312,23.53,23.53,23.53,23.53,110,0
20150313,23.586,23.586,23.586,23.586,1740,0
20150316,23.622,23.667,23.53,23.576,1958,0
20150317,23.667,23.686,23.485,23.686,1740,0
20150318,23.493,23.667,23.493,23.667,5768,0
20150319,23.485,23.667,23.485,23.667,1958,0
20150320,23.576,23.667,23.576,23.586,7834,0
20150323,23.447,23.667,23.447,23.667,6745,0
20150324,23.667,23.667,23.457,23.457,2393,0
20150325,23.659,23.667,23.612,23.667,4243,0
20150326,23.447,23.667,23.447,23.612,6528,0
20150327,23.567,23.641,23.465,23.557,2611,0
20150330,23.59,23.804,23.514,23.794,6537,0
20150331,23.702,23.982,23.702,23.982,1822,0
20150401,23.982,23.982,23.982,23.982,3536,0
20150407,24.262,24.262,23.982,23.982,22291,0
20150408,24.038,24.038,24.038,24.038,215,0
20150409,23.906,24.028,23.888,24.028,1610,0
20150410,24.028,24.262,24.028,24.262,2143,0
20150415,23.906,23.982,23.906,23.982,876,0
20150416,23.982,24.028,23.982,24.028,1875,0
20150420,23.982,23.982,23.982,23.982,6431,0
20150421,23.972,23.972,23.864,23.944,2542,0
20150422,24.028,24.028,23.86,23.86,3109,0
20150423,23.888,23.888,23.888,23.888,1500,0
20150424,23.85,23.982,23.85,23.982,2679,0
20150427,24,24,23.888,23.888,428,0
20150428,24.028,24.028,23.982,23.991,1607,0
20150429,23.982,23.982,23.888,23.896,3964,0
20150430,23.85,23.935,23.85,23.935,2251,0
20150501,23.879,23.982,23.85,23.896,1607,0
20150504,23.982,23.982,23.794,23.982,32258,0
20150505,23.888,23.888,23.794,23.794,5466,0
20150506,23.729,23.84,23.617,23.617,11958,0
20150507,23.767,23.854,23.738,23.854,5301,0
20150508,23.84,23.85,23.738,23.85,965,0
20150511,23.87,23.87,23.767,23.87,2893,0
20150512,23.87,23.879,23.87,23.879,1061,0
20150513,23.879,23.935,23.617,23.702,3964,0
20150514,23.702,23.888,23.702,23.888,2786,0
20150515,23.794,23.888,23.638,23.794,1124,0
20150518,23.879,23.879,23.84,23.879,10220,0
20150519,23.794,23.926,23.794,23.926,5037,0
20150520,23.794,23.952,23.794,23.952,1286,0
20150521,23.935,23.935,23.646,23.935,7501,0
20150522,23.794,23.794,23.794,23.794,1071,0
20150526,23.794,23.916,23.758,23.916,2557,0
20150527,23.952,23.952,23.952,23.952,428,0
20150528,23.935,23.944,23.935,23.935,1286,0
20150529,23.748,23.888,23.748,23.888,2143,0
20150601,23.794,23.888,23.794,23.888,965,0
20150602,23.794,23.87,23.748,23.87,3214,0
20150603,23.748,23.926,23.673,23.926,4715,0
