Date,Open,High,Low,Close,Volume,OpenInt
20141215,9.51,9.52,9.48,9.52,1137,0
20141216,9.55,9.55,9.55,9.55,150,0
20141218,9.46,9.55,9.45,9.55,1520,0
20141224,9.54,9.54,9.54,9.54,450,0
20150128,9.52,9.52,9.52,9.52,300,0
20150130,9.47,9.52,9.47,9.48,3300,0
20150202,9.48,9.5,9.48,9.5,2000,0
20150203,9.5,9.5,9.5,9.5,31000,0
20150211,9.49,9.52,9.49,9.5,6600,0
20150220,9.5,9.5,9.5,9.5,1100,0
20150224,9.48,9.5,9.48,9.5,19000,0
20150225,9.5,9.5,9.4996,9.4996,2100,0
20150302,9.48,9.49,9.48,9.49,2000,0
20150303,9.49,9.53,9.49,9.53,1300,0
20150305,9.53,9.53,9.53,9.53,200,0
20150306,9.49,9.49,9.49,9.49,2000,0
20150309,9.5,9.5,9.5,9.5,1000,0
20150317,9.49,9.52,9.49,9.52,9100,0
20150320,9.53,9.55,9.53,9.55,10400,0
20150323,9.54,9.54,9.54,9.54,2500,0
20150326,9.56,9.57,9.56,9.57,20400,0
20150330,9.56,9.56,9.56,9.56,4300,0
20150401,9.57,9.57,9.57,9.57,2800,0
20150402,9.59,9.59,9.59,9.59,5000,0
20150408,9.59,9.59,9.59,9.59,4400,0
20150413,9.61,9.61,9.61,9.61,3200,0
20150423,9.63,9.63,9.63,9.63,18200,0
20150424,9.63,9.63,9.63,9.63,200,0
20150430,9.65,9.65,9.65,9.65,8300,0
20150501,9.64,9.65,9.64,9.65,6800,0
20150504,9.64,9.64,9.64,9.64,1000,0
20150505,9.64,9.64,9.64,9.64,6400,0
20150506,9.64,9.641,9.64,9.64,5100,0
20150507,9.59,9.59,9.59,9.59,103,0
20150508,9.6,9.6,9.6,9.6,100,0
20150526,9.6,9.6,9.6,9.6,1100,0
20150527,9.6,9.62,9.6,9.62,22000,0
20150528,9.62,9.62,9.62,9.62,6000,0
20150601,9.62,9.62,9.62,9.62,100,0
20150603,9.62,9.65,9.62,9.63,34800,0
20150604,9.68,9.68,9.68,9.68,300,0
20150605,9.63,9.63,9.63,9.63,300,0
20150609,9.65,9.68,9.65,9.68,2100,0
20150615,9.64,9.64,9.62,9.63,16400,0
20150616,9.64,9.67,9.64,9.67,178700,0
20150619,9.66,9.67,9.66,9.67,500,0
20150622,9.66,9.66,9.66,9.66,24900,0
20150623,9.65,9.67,9.65,9.67,2300,0
20150624,9.64,9.64,9.64,9.64,400,0
20150625,9.67,9.67,9.67,9.67,1400,0
20150702,9.69,9.69,9.66,9.66,1500,0
20150715,9.663,9.663,9.66,9.66,1004,0
20150716,9.66,9.66,9.66,9.66,100,0
20150720,9.66,9.66,9.65,9.66,7600,0
20150724,9.66,9.66,9.66,9.66,100,0
20150813,9.67,9.67,9.67,9.67,400,0
20150818,9.66,9.66,9.66,9.66,500,0
20150820,9.69,9.69,9.66,9.66,800,0
20150824,9.66,9.66,9.66,9.66,201,0
20150825,9.66,9.67,9.65,9.67,9100,0
20150827,9.69,9.69,9.69,9.69,3800,0
20150908,9.68,9.68,9.68,9.68,600,0
20150910,9.66,9.66,9.66,9.66,2000,0
20150911,9.67,9.67,9.66,9.66,2000,0
20150918,9.67,9.69,9.67,9.69,27700,0
20150924,9.68,9.68,9.65,9.65,3100,0
20150925,9.68,9.7,9.68,9.7,2800,0
20150928,9.65,9.65,9.65,9.65,214,0
20150930,9.7,9.71,9.7,9.7,10400,0
20151001,9.66,9.66,9.66,9.66,1500,0
20151005,9.69,9.69,9.69,9.69,3310,0
20151007,9.71,9.73,9.71,9.73,3200,0
20151008,9.71,9.71,9.7,9.7,100500,0
20151009,9.7,9.7,9.7,9.7,300,0
20151012,10,10,10,10,1500,0
20151013,9.89,9.89,9.89,9.89,1800,0
20151026,9.7,9.75,9.7,9.75,63800,0
20151027,9.66,9.82,9.66,9.82,3300,0
20151028,9.75,9.82,9.75,9.82,4500,0
20151109,9.68,9.68,9.68,9.68,101,0
20151110,9.78,9.82,9.75,9.82,4400,0
20151111,9.71,9.82,9.7,9.82,1000,0
20151118,9.73,9.82,9.73,9.82,104800,0
20151208,9.68,9.68,9.68,9.68,102,0
20151215,9.75,9.75,9.66,9.7,113400,0
