Date,Open,High,Low,Close,Volume,OpenInt
20141024,9.76,9.93,9.61,9.93,1303800,0
20141027,9.87,9.92,9.85,9.92,9104,0
20141028,9.93,9.93,9.86,9.93,51002,0
20141029,9.88,9.9,9.88,9.9,5909,0
20141030,9.9,9.948,9.86,9.91,66797,0
20141031,9.91,9.93,9.91,9.93,4585,0
20141103,9.93,9.99,9.874,9.99,364263,0
20141105,9.94,9.94,9.9,9.94,2400,0
20141106,9.93,9.95,9.93,9.93,1160,0
20141107,9.929,9.95,9.902,9.902,6561,0
20141110,9.85,9.95,9.85,9.93,4001,0
20141111,9.86,9.91,9.85,9.91,10900,0
20141113,9.8,9.91,9.8,9.91,26400,0
20141117,9.85,9.93,9.8,9.93,13674,0
20141118,9.6,9.91,9.6,9.91,28960,0
20141119,9.89,9.93,9.89,9.93,15199,0
20141121,9.9,9.92,9.9,9.92,2300,0
20141124,9.92,9.92,9.915,9.915,400,0
20141125,9.91,9.92,9.9,9.9,54064,0
20141128,9.84,9.95,9.7,9.93,31300,0
20141201,9.9,9.904,9.9,9.904,2100,0
20141202,9.99,9.99,9.9,9.91,13140,0
20141203,9.901,9.948,9.9,9.948,3000,0
20141205,9.95,9.95,9.95,9.95,1200,0
20141209,9.93,9.93,9.85,9.93,10114,0
20141211,9.92,9.93,9.91,9.921,12426,0
20141212,9.93,9.93,9.9,9.92,2900,0
20141215,9.91,9.91,9.85,9.906,2100,0
20141217,9.91,9.92,9.91,9.91,1300,0
20141219,9.91,9.91,9.91,9.91,52000,0
20141222,9.911,9.938,9,9.88,26249,0
20141224,9.91,9.91,9.88,9.88,1000,0
20141229,9.88,9.98,9.869,9.98,9200,0
20141231,9.95,10.01,9.92,9.99,27351,0
20150107,9.96,9.98,9.89,9.95,2900,0
20150108,9.89,10.02,9.89,9.95,8000,0
20150109,9.89,9.99,9.89,9.94,8899,0
20150112,9.93,10,9.9,9.96,7100,0
20150113,9.9,9.99,9.9,9.99,7400,0
20150114,9.92,9.96,9.91,9.96,3150,0
20150115,10,10.02,9.95,10,4800,0
20150116,9.9,10,9.9,9.99,7078,0
20150120,9.9,10,9.9,9.98,13600,0
20150122,9.9,9.98,9.9,9.9,31900,0
20150123,9.9,9.98,9.9,9.9,17800,0
20150126,9.891,9.953,9.88,9.906,17045,0
20150130,9.85,9.91,9.79,9.8,43284,0
20150202,9.85,9.93,9.8,9.93,32979,0
20150203,9.8,9.95,9.8,9.95,2787,0
20150205,9.88,9.92,9.88,9.89,1800,0
20150206,9.85,9.94,9.85,9.91,13000,0
20150209,9.86,9.92,9.75,9.85,13700,0
20150210,9.84,9.84,9.82,9.82,375,0
20150211,9.84,9.91,9.84,9.91,46508,0
20150212,9.86,9.89,9.76,9.89,7900,0
20150213,9.8,9.89,9.8,9.89,14268,0
20150217,9.87,9.871,9.861,9.861,3467,0
20150218,9.87,9.88,9.86,9.863,3400,0
20150219,9.85,9.88,9.8,9.88,6733,0
20150220,9.86,9.86,9.86,9.86,2500,0
20150223,9.836,9.836,9.83,9.831,1150,0
20150224,9.8,9.89,9.8,9.85,24930,0
20150225,9.83,9.83,9.83,9.83,3000,0
20150227,9.85,9.867,9.85,9.85,3500,0
20150302,9.85,9.92,9.77,9.92,11100,0
20150303,9.83,9.86,9.83,9.86,3400,0
20150306,9.85,9.89,9.78,9.83,10300,0
20150309,9.84,9.89,9.78,9.8,4700,0
20150310,9.91,9.91,9.81,9.85,3300,0
20150311,9.85,9.92,9.83,9.88,14500,0
20150312,9.86,9.87,9.84,9.85,2700,0
20150313,9.85,9.85,9.84,9.84,31900,0
