Date,Open,High,Low,Close,Volume,OpenInt
20150324,10,10.08,10,10,814700,0
20150325,10,10.04,10,10,18100,0
20150326,10,10,10,10,5100,0
20150327,10,10.08,10,10,1800,0
20150330,10.02,10.02,10,10,2000,0
20150331,10,10,10,10,30800,0
20150406,10,10.1,10,10.1,5600,0
20150407,10,10,10,10,100,0
20150408,10.01,10.01,10.01,10.01,200,0
20150409,10.01,10.01,10.01,10.01,1000,0
20150414,10,10.06,10,10.06,27900,0
20150416,10.06,10.06,10.02,10.02,1200,0
20150417,10.1,10.1,10.02,10.02,800,0
20150420,10,10.01,9.99,9.99,3002,0
20150421,10.03,11,10,10.03,375245,0
20150422,10.02,10.57,9.98,10.08,30710,0
20150423,10.1,10.12,10.06,10.07,6000,0
20150424,10.05,10.12,10.01,10.01,4600,0
20150427,10.01,10.02,9.97,10,9700,0
20150428,10.03,10.08,10.03,10.03,1400,0
20150429,9.99,9.99,9.99,9.99,600,0
20150430,10.02,10.02,10.01,10.01,2800,0
20150501,10,10.08,10,10.08,2000,0
20150505,10.03,10.03,10.03,10.03,100,0
20150506,10.12,10.12,10.12,10.12,500,0
20150508,10.08,10.08,10.08,10.08,100,0
20150515,10.17,10.17,10.16,10.17,3000,0
20150519,10.17,10.2,10.17,10.2,1000,0
20150522,10.15,11.06,10.15,11.04,4200,0
20150526,10.42,10.5,10.11,10.11,3048,0
20150527,10.1,10.19,10.09,10.1,600,0
20150603,10.12,10.13,9.98,10.05,4700,0
20150609,10.05,10.05,10.05,10.05,100,0
20150611,10.05,10.06,10.05,10.05,600,0
20150612,10.06,10.06,10.06,10.06,100,0
20150619,10.19,10.19,10.17,10.17,500,0
20150625,10.16,10.17,10.16,10.17,3400,0
20150626,10.17,10.18,10.17,10.18,800,0
20150629,10.13,10.13,10.13,10.13,600,0
20150630,10.15,10.16,10.15,10.16,1600,0
20150707,10.14,10.16,10.1,10.16,2100,0
20150708,10.19,10.19,10.19,10.19,100,0
20150713,10.07,10.07,10.07,10.07,100,0
20150715,10.31,10.329,10.05,10.15,1100,0
20150720,10.15,10.18,10.15,10.16,5600,0
20150722,10.11,10.11,10.11,10.11,300,0
20150724,10.12,10.12,10.12,10.12,100,0
20150728,10.12,10.12,10.12,10.12,4900,0
20150806,10.13,10.13,10.12,10.12,454,0
20150812,10.12,10.12,10.12,10.12,2100,0
20150824,10.13,10.19,10.12,10.19,650,0
20150831,10.2,10.2,10.2,10.2,2000,0
20150902,10.22,10.23,10.22,10.22,1100,0
20150904,10.21,10.21,10.2,10.2,200,0
20151007,10.2,10.34,10.15,10.34,900,0
20151015,10.21,10.21,10.11,10.11,3600,0
20151021,10.15,10.15,10.15,10.15,2200,0
20151023,10.1,10.1,10.1,10.1,700,0
20151027,10.13,10.17,10.12,10.17,700,0
20151110,9.96,9.96,9.96,9.96,3300,0
20151112,10.07,10.07,10.07,10.07,100,0
20151120,10.06,10.06,10.06,10.06,3000,0
20151209,10.06,10.06,10.06,10.06,4300,0
20151211,10.05,10.05,10.05,10.05,3500,0
20151214,10.05,10.05,10.05,10.05,100,0
20151218,9.95,9.95,9.84,9.84,177000,0
20151221,9.92,9.92,9.91,9.92,1400,0
20151222,9.88,9.88,9.86,9.86,2100,0
20151223,9.81,9.81,9.81,9.81,1400,0
20151230,9.88,10.15,9.88,9.94,600,0
20151231,9.9799,10.2,9.865,10.06,56699,0
20160104,9.9999,10.17,9.92,10.17,19103,0
20160105,9.95,10.03,9.9,9.93,10600,0
20160106,9.92,9.97,9.92,9.97,704,0
20160112,9.9201,10.0099,9.9201,10.0099,1299,0
20160120,9.86,9.86,9.86,9.86,100,0
20160205,10.04,10.04,10.04,10.04,350,0
20160229,10.08,10.08,10.08,10.08,100,0
20160302,10.15,10.15,10.15,10.15,4700,0
20160308,10.25,10.25,10.25,10.25,100,0
20160318,10.25,10.25,10.25,10.25,100,0
20160406,10.2399,10.24,10.2399,10.24,3100,0
20160412,10.11,10.11,10.1,10.1,400,0
20160414,10.15,10.15,10.1,10.1,200,0
20160415,10.14,10.2,10.1,10.1,7100,0
