Date,Open,High,Low,Close,Volume,OpenInt
20050301,21.338,21.513,21.338,21.513,1818,0
20050302,21.264,21.651,21.223,21.24,16458,0
20050303,21.481,21.82,21.223,21.223,9453,0
20050304,21.707,21.707,21.338,21.707,1378,0
20050307,21.602,21.691,21.522,21.53,2282,0
20050308,21.522,21.594,21.522,21.594,2488,0
20050309,21.53,21.53,21.53,21.53,131,0
20050310,21.53,21.53,21.522,21.522,4031,0
20050311,21.522,21.707,21.522,21.707,5777,0
20050315,21.53,21.555,21.522,21.522,1475,0
20050317,21.369,21.369,21.338,21.338,267,0
20050318,21.338,21.338,21.153,21.153,5280,0
20050321,21.223,21.223,21.153,21.223,1345,0
20050322,21.594,21.965,21.522,21.522,1954,0
20050323,21.153,21.153,21.153,21.153,267,0
20050324,21.369,21.563,21.369,21.563,667,0
20050328,21.153,21.153,21.153,21.153,537,0
20050329,21.522,21.522,21.153,21.153,878,0
20050330,21.563,21.563,21.153,21.153,4503,0
20050331,21.563,21.563,21.166,21.563,301,0
20050401,21.563,21.563,21.563,21.563,1078,0
20050404,21.522,21.522,21.522,21.522,1999,0
20050405,21.362,21.362,21.214,21.353,667,0
20050406,21.153,21.19,21.153,21.19,878,0
20050407,21.153,21.297,21.153,21.264,29298,0
20050412,21.153,21.153,21.153,21.153,1078,0
20050413,21.338,21.338,21.338,21.338,168,0
20050414,21.111,21.111,21.111,21.111,417,0
20050415,21.111,21.111,21.111,21.111,807,0
20050418,21.111,21.153,21.111,21.153,7250,0
20050419,21.153,21.153,21.153,21.153,8329,0
20050420,21.111,21.111,21.111,21.111,937,0
20050422,21.256,21.297,21.111,21.153,4791,0
20050425,21.111,21.111,21.111,21.111,17867,0
20050427,21.111,21.264,21.111,21.264,12307,0
20050428,21.463,21.463,21.111,21.111,4323,0
20050502,21.153,21.153,21.111,21.111,10338,0
20050503,21.111,21.111,21.111,21.111,632,0
20050504,21.111,21.223,21.111,21.153,2149,0
20050505,21.111,21.522,21.111,21.111,30026,0
20050506,21.153,21.153,21.111,21.111,5165,0
20050509,21.136,21.136,21.111,21.136,8436,0
20050510,21.039,21.039,21.039,21.039,256,0
20050512,21.039,21.136,21.039,21.136,1613,0
20050513,22.416,22.446,21.338,21.522,15271,0
20050516,21.94,21.94,21.079,21.079,4181,0
20050518,21.153,21.153,21.153,21.153,1517,0
20050519,21.153,21.153,21.153,21.153,115932,0
20050520,21.153,21.153,21.153,21.153,1078,0
20050523,21.079,21.714,21.079,21.094,7322,0
20050524,21.079,21.128,21.079,21.079,4163,0
20050525,21.153,21.153,21.079,21.079,1862,0
20050526,21.079,21.153,21.016,21.153,2300,0
20050527,21.087,21.087,21.087,21.087,937,0
20050531,20.924,20.924,20.924,20.924,131,0
20050601,21.153,21.223,21.128,21.223,2260,0
20050602,21.153,21.214,21.128,21.206,1613,0
20050603,21.111,21.746,21.111,21.746,894,0
20050606,22.335,22.335,22.335,22.335,397,0
20050607,21.956,21.956,21.892,21.892,397,0
20050609,21.651,21.651,21.174,21.182,654,0
20050615,22.19,22.19,21.306,21.344,2483,0
20050616,21.111,21.111,20.967,21.039,1702,0
20050621,21.153,21.153,20.853,20.853,267,0
20050624,20.967,20.967,19.848,20.04,30691,0
20050627,20.314,20.33,20.314,20.33,537,0
20050628,21.153,21.153,20.766,20.782,484,0
20050629,21.079,21.079,20.184,20.184,6526,0
20050630,20.782,20.782,20.362,20.362,618,0
20050701,20.588,20.588,20.588,20.588,131,0
20050705,21.153,21.153,20.379,20.766,3215,0
20050706,20.41,20.782,20.41,20.782,2366,0
20050707,20.41,20.41,20.41,20.41,538,0
20050711,20.627,20.627,20.627,20.627,191,0
20050712,20.967,20.967,20.967,20.967,397,0
20050713,20.627,20.774,20.627,20.774,397,0
20050715,20.804,20.804,20.709,20.709,397,0
20050719,20.782,20.782,20.782,20.782,4300,0
20050720,20.725,20.804,20.717,20.782,1475,0
20050721,20.782,20.782,20.709,20.709,1970,0
20050722,20.627,20.627,20.41,20.595,4407,0
20050726,20.967,20.967,20.725,20.725,397,0
20050727,20.82,20.82,20.725,20.734,537,0
20050728,20.782,20.967,20.564,20.967,4575,0
20050801,20.967,20.967,20.725,20.813,1405,0
20050802,20.782,20.82,20.782,20.789,5019,0
20050803,20.967,20.967,20.782,20.967,678,0
20050804,20.967,21.522,20.967,21.522,1078,0
20050805,21.481,21.513,21.481,21.513,1206,0
20050809,21.079,21.86,20.992,20.992,3895,0
20050810,21.144,21.811,20.627,20.627,8274,0
20050811,20.443,20.796,20.443,20.782,1142,0
20050815,20.992,21.804,20.41,20.41,8453,0
20050816,20.603,20.782,20.595,20.782,3220,0
20050817,20.459,20.595,20.459,20.595,1555,0
20050818,20.41,20.595,20.41,20.595,1772,0
20050819,20.419,20.419,20.419,20.419,397,0
20050822,20.782,20.782,20.225,20.782,11286,0
20050824,20.41,20.419,20.41,20.419,807,0
20050825,20.595,20.774,20.499,20.499,1746,0
20050826,20.499,20.499,20.499,20.499,813,0
20050829,20.499,20.499,20.499,20.499,1746,0
20050830,20.499,20.523,20.499,20.499,2012,0
20050901,20.7,20.862,20.7,20.862,1090,0
20050902,20.515,20.774,20.515,20.556,937,0
20050906,20.579,20.579,20.579,20.579,1345,0
20050907,20.556,20.668,20.556,20.668,4067,0
20050909,20.556,20.556,20.556,20.556,270,0
20050912,20.556,21.039,20.556,20.709,4319,0
20050913,21.136,21.136,20.556,21.094,4300,0
20050914,20.782,20.782,20.564,20.643,5409,0
