Date,Open,High,Low,Close,Volume,OpenInt
20050225,41.909,42.111,41.733,41.827,15956,0
20050228,42.119,42.119,41.38,41.44,36874,0
20050301,41.345,42.26,41.274,42.206,14224,0
20050302,41.943,42.26,41.716,41.716,4571,0
20050303,42.19,42.19,41.615,42.04,9452,0
20050304,42.19,42.26,41.751,42.26,15114,0
20050307,42.806,42.822,42.233,42.374,62139,0
20050308,42.128,42.639,41.836,42.128,12559,0
20050309,42.251,42.26,41.855,41.873,52858,0
20050310,41.733,42.374,41.733,41.81,14649,0
20050311,41.845,41.978,41.767,41.971,15186,0
20050314,41.784,42.031,41.767,41.784,14128,0
20050315,41.767,42.251,41.767,41.827,7774,0
20050316,42.102,42.119,41.767,41.767,9575,0
20050317,41.733,42.058,41.433,42.04,9271,0
20050318,42.436,42.436,41.502,41.81,39791,0
20050321,42.163,42.163,40.665,40.958,12430,0
20050322,41.549,41.557,41.134,41.143,3406,0
20050323,41.143,41.317,40.571,40.571,12101,0
20050324,40.783,41.143,40.656,40.674,13832,0
20050328,40.589,40.589,39.864,39.9,76379,0
20050329,39.451,39.928,39.196,39.302,76736,0
20050330,39.152,40.138,38.95,40.104,61962,0
20050331,40.077,40.077,39.478,39.628,43430,0
20050401,39.698,39.955,39.248,39.806,49482,0
20050404,39.558,40.13,39.266,40.095,14070,0
20050405,40.253,40.783,39.724,40.543,10157,0
20050406,40.755,41.502,40.755,41.502,38246,0
20050407,41.549,41.76,41.274,41.716,23365,0
20050408,41.521,41.521,40.967,40.967,36348,0
20050411,40.922,41.143,40.421,40.949,15723,0
20050412,40.421,41.274,40.421,40.922,39291,0
20050413,41.256,41.256,40.412,40.412,30867,0
20050414,40.728,40.728,39.513,39.821,25090,0
20050415,40.104,40.305,38.299,38.968,29501,0
20050418,38.581,39.972,38.448,39.846,27724,0
20050419,39.964,40.322,39.846,40.322,22895,0
20050420,40.005,40.147,39.715,39.855,25553,0
20050421,40.322,42.26,39.883,42.26,56414,0
20050422,41.609,42.058,40.543,40.711,36923,0
20050425,41.364,42.031,41.034,41.484,6272,0
20050426,41.574,41.574,40.517,40.517,28124,0
20050427,40.481,40.977,39.919,40.244,52529,0
20050428,40.13,40.517,39.846,39.988,17704,0
20050429,40.489,40.631,39.779,40.138,19173,0
20050502,40.147,40.922,40.147,40.639,21931,0
20050503,40.693,40.977,40.279,40.447,14428,0
20050504,40.358,40.869,40.253,40.869,30045,0
20050505,40.841,40.859,40.648,40.85,21506,0
20050506,40.886,41.053,40.648,40.859,28187,0
20050509,40.553,41.238,40.498,41.238,7452,0
20050510,41.062,41.134,40.191,40.279,13837,0
