Date,Open,High,Low,Close,Volume,OpenInt
20050225,23.758,23.758,23.377,23.608,152826,0
20050228,23.491,23.669,23.395,23.52,60591,0
20050301,23.386,23.652,23.369,23.405,89103,0
20050302,23.377,23.608,23.323,23.554,79956,0
20050303,23.554,23.599,23.377,23.548,42922,0
20050304,23.548,23.644,23.548,23.644,22286,0
20050307,23.405,23.963,23.405,23.706,89157,0
20050308,23.449,24.22,23.449,23.991,110214,0
20050309,24.016,24.22,23.926,24.061,62927,0
20050310,24.193,24.361,23.786,23.902,45804,0
20050311,24.113,24.113,23.548,23.902,40847,0
20050314,24.122,24.175,23.52,23.548,59726,0
20050315,23.804,23.918,23.262,23.272,62371,0
20050316,23.218,23.475,23.209,23.28,58170,0
20050317,23.218,23.52,22.979,23.227,68725,0
20050318,23.412,23.865,22.836,23.272,74458,0
20050321,23.209,23.209,22.455,22.57,211931,0
20050322,22.818,22.818,22.385,22.563,39964,0
20050323,22.455,22.9,22.242,22.242,78304,0
20050324,22.242,22.961,22.19,22.607,55477,0
20050328,22.482,22.961,22.482,22.722,52604,0
20050329,22.961,22.961,22.597,22.686,42962,0
20050330,22.578,22.793,22.578,22.578,34453,0
20050331,22.578,22.802,22.358,22.358,39064,0
20050401,22.136,22.765,22.136,22.455,61043,0
20050404,22.802,23.049,22.667,22.756,35541,0
20050405,23.059,23.529,22.925,23.484,101150,0
20050406,23.491,23.491,23.244,23.244,43365,0
20050407,23.342,23.491,23.323,23.491,21992,0
20050408,23.491,23.618,23.244,23.297,24218,0
20050411,23.491,23.491,22.952,23.148,84494,0
20050412,23.333,23.333,22.738,22.738,75137,0
20050413,22.836,23.342,22.242,22.385,71880,0
20050414,22.385,22.57,22.091,22.119,52148,0
20050415,22.339,22.339,21.933,21.933,60678,0
20050418,22.109,22.394,21.933,21.933,95112,0
20050419,21.862,22.313,21.834,22.057,31499,0
20050420,22.19,22.287,21.914,21.933,45356,0
20050421,22.198,22.385,22.162,22.376,57587,0
20050422,22.171,22.464,22.073,22.073,47672,0
20050425,22.021,22.642,22.021,22.642,93566,0
20050426,22.667,22.81,22.518,22.712,38670,0
20050427,22.667,22.738,22.429,22.623,62163,0
20050428,22.836,23.28,22.429,23.049,71433,0
20050429,23.218,23.218,22.544,23.192,31679,0
20050502,23.218,23.945,23.218,23.644,49407,0
20050503,23.333,23.66,23.333,23.608,61044,0
20050504,23.538,23.635,23.459,23.52,43680,0
20050505,23.837,23.837,23.316,23.421,27743,0
20050506,23.218,23.538,23.209,23.333,32829,0
