Date,Open,High,Low,Close,Volume,OpenInt
20130403,29.442,30.42,28.459,28.813,1559673,0
20130404,28.578,28.754,28.262,28.262,102402,0
20130405,28.459,28.459,27.496,28.067,72126,0
20130408,28.282,28.459,27.734,27.822,92035,0
20130409,27.869,28.4,27.724,28.39,32928,0
20130410,28.705,28.705,28.214,28.4,18241,0
20130411,29.332,29.332,28.117,28.439,18940,0
20130412,28.282,29.312,28.117,28.214,35253,0
20130415,28.95,28.95,27.477,27.714,68678,0
20130416,27.734,28.449,27.486,27.626,17861,0
20130417,28.117,28.117,27.477,27.675,20033,0
20130418,28.057,28.479,27.496,28.439,21879,0
20130419,28.754,28.754,27.536,27.645,122335,0
20130422,27.675,27.763,27.477,27.496,100181,0
20130423,27.773,28.018,27.596,27.822,30797,0
20130424,28.311,28.429,27.803,28.204,46950,0
20130425,28.361,28.385,27.859,28.087,28202,0
20130426,28.165,28.597,27.027,27.714,69090,0
20130429,27.675,28.155,27.546,27.998,17831,0
20130430,27.85,28.107,27.516,28.008,8469,0
20130501,27.869,28.39,27.546,27.734,13679,0
20130502,27.526,28.409,27.526,28.165,22077,0
20130503,27.988,30.53,27.988,28.341,23691,0
20130506,28.519,28.754,27.958,28.262,12900,0
20130507,27.998,28.459,27.978,28.361,30218,0
20130508,28.097,28.409,28.097,28.361,2885,0
20130509,28.204,28.459,27.918,28.311,6372,0
20130510,28.449,28.558,28.018,28.459,12768,0
20130513,28.39,28.39,27.516,28.262,11431,0
20130514,28.262,28.459,27.477,28.459,21996,0
20130515,28.459,28.558,27.704,28.558,58065,0
20130516,28.361,28.459,27.899,28.252,6998,0
20130517,27.998,28.861,27.998,28.851,27667,0
20130520,28.92,28.95,28.155,28.489,8704,0
20130521,28.568,28.724,27.958,28.449,34560,0
20130522,28.351,28.715,28.057,28.292,16193,0
20130523,27.988,27.988,27.477,27.724,21880,0
20130524,27.783,28.705,27.536,27.744,7473,0
20130528,28.057,28.097,27.704,27.879,16784,0
20130529,27.889,28.95,27.783,28.067,27325,0
20130530,28.067,28.067,27.704,27.928,8537,0
20130531,27.812,27.929,27.763,27.869,11362,0
20130603,27.909,27.958,27.526,27.803,65138,0
20130604,27.753,27.899,27.38,27.704,120188,0
20130605,27.763,28.033,27.477,27.918,56739,0
20130606,27.978,28.223,27.675,27.928,4665,0
20130607,28.321,28.489,27.85,28.321,3150,0
20130610,28.509,28.754,28.194,28.695,14777,0
20130611,28.479,28.705,28.067,28.519,15417,0
20130612,28.715,28.715,28.117,28.548,9372,0
20130613,28.519,29.244,28.519,28.705,22273,0
20130614,28.568,29.244,28.107,28.851,12499,0
20130617,28.998,29.732,28.705,29.342,24000,0
20130618,29.302,31.063,29.302,30.129,61962,0
20130619,30.844,30.844,28.214,30.215,13648,0
20130620,29.951,31.073,29.685,30.49,25775,0
20130621,30.814,30.903,29.971,30.167,48303,0
20130624,30.185,30.619,29.442,29.932,17371,0
20130625,30.04,30.176,29.443,29.762,15070,0
20130626,29.932,29.932,29.447,29.667,6690,0
20130627,29.52,29.932,29.442,29.832,14971,0
20130628,29.442,30.101,29.442,29.832,418049,0
20130701,29.892,29.996,29.342,29.802,46455,0
20130702,29.782,29.932,28.978,29.057,21687,0
20130703,28.998,29.657,28.959,29.282,3275,0
20130705,29.579,29.579,28.695,29.117,111804,0
20130708,29.762,29.902,29.443,29.667,17557,0
20130709,29.657,30.725,29.657,30.51,12101,0
20130710,30.59,30.774,28.657,30.46,8962,0
20130711,30.61,31.157,30.245,31.013,18973,0
20130712,31.073,31.215,30.43,31.09,9925,0
20130715,30.923,31.363,30.913,31.073,20997,0
20130716,31.215,31.903,30.863,31.659,25777,0
20130717,31.689,31.689,30.754,30.983,4527,0
20130718,31.157,31.875,30.913,31.373,15420,0
20130719,31.274,31.826,30.913,31.57,14219,0
20130722,31.433,31.953,31.403,31.884,22240,0
20130723,31.806,31.826,31.649,31.649,21231,0
20130724,31.699,32.149,31.649,31.846,107455,0
20130725,31.893,32.365,31.855,32.296,14272,0
20130726,32.129,32.836,31.875,32.553,8333,0
20130729,34.016,34.016,32.395,32.503,5837,0
20130730,32.669,34.211,32.553,33.328,11571,0
20130731,33.21,34.337,32.689,34.131,32657,0
20130801,34.269,35.328,34.269,35.115,37154,0
20130802,35.17,36.869,34.543,36.045,16476,0
20130805,36.193,36.308,35.741,36.288,20867,0
20130806,36.163,36.193,34.612,34.867,28124,0
20130807,34.887,34.887,33.513,33.856,42515,0
20130808,34.191,34.24,33.16,33.946,26197,0
20130809,33.996,34.191,32.972,33.366,13899,0
20130812,33.62,33.758,32.992,33.289,8996,0
20130813,33.484,33.856,33.15,33.435,6592,0
20130814,33.385,33.61,33.229,33.347,3210,0
20130815,33.071,33.699,32.876,32.992,5831,0
20130816,32.876,33.63,32.727,33.061,9760,0
20130819,33.14,33.846,32.776,33.309,8137,0
20130820,33.22,33.768,33.145,33.357,10744,0
20130821,33.562,33.798,33.2,33.513,19489,0
20130822,33.837,34.103,33.366,33.425,19817,0
20130823,33.375,33.581,33.18,33.249,1530,0
20130826,34.408,34.596,33.671,33.681,103961,0
20130827,33.279,34.202,33.229,33.415,23115,0
20130828,33.289,34.192,33.279,33.375,42550,0
20130829,33.375,33.818,33.375,33.691,16693,0
20130830,33.72,34.612,33.543,33.681,15380,0
20130903,34.083,37.052,34.083,35.351,31377,0
20130904,35.441,36.099,33.818,34.378,14221,0
20130905,36.208,36.208,34.398,35.311,3710,0
20130906,35.539,35.794,34.704,35.068,28332,0
20130909,34.704,35.441,34.704,35.233,7955,0
20130910,35.204,36.552,35.204,36.089,17324,0
20130911,36.119,36.364,35.357,35.774,20783,0
20130912,35.638,35.638,34.083,35.184,22453,0
20130913,35.271,35.391,34.604,35.028,18248,0
20130916,35.127,35.764,34.487,34.998,38262,0
20130917,35.165,35.391,34.281,34.408,21210,0
