Date,Open,High,Low,Close,Volume,OpenInt
20000204,2312.61,2399.72,1546.36,1773,7192,0
20000207,1999.65,2105.26,1860.12,1985,2015,0
20000208,2220.49,2235.14,1898.33,1975.4,972,0
20000209,1922.6,1941.87,1715.23,1734.5,944,0
20000210,1783.04,1965.74,1734.48,1927.2,768,0
20000211,1944.15,1975.75,1777.64,1850.1,353,0
20000214,1898.87,1922.77,1783.22,1797.1,202,0
20000215,1830.49,1830.49,1714.88,1724.9,369,0
20000216,1715.2,1725.22,1551.78,1580.3,457,0
20000217,1599.15,1633.06,1464.28,1532.1,500,0
20000218,1556.37,1734.44,1546.35,1695.9,471,0
20000222,1835.44,1850.09,1715.18,1773,333,0
20000223,1874.01,1946.47,1811.57,1927.2,419,0
20000224,2047.46,2072.12,1888.66,1927.2,527,0
20000225,2004.12,2008.74,1849.96,1864.6,464,0
20000228,1937.21,1956.48,1695.92,1850.1,429,0
20000229,1898.24,1926.76,1734.08,1744.1,393,0
20000301,1811.58,1907.94,1777.66,1869.4,389,0
20000302,1927.38,2120.12,1927.38,2009.1,632,0
20000303,2110.28,2158.07,1869.04,1917.6,426,0
20000306,1949.01,1995.26,1773.23,1816.4,270,0
20000307,1927.19,1941.83,1773.01,1850.1,167,0
20000308,1918.14,1975.97,1773.2,1874.2,184,0
20000309,1873.58,1878.97,1695.55,1744.1,262,0
20000310,1791.92,1801.94,1676.31,1705.6,144,0
20000313,1695.76,1782.87,1580.14,1652.6,228,0
20000314,1725.19,1744.47,1503.18,1561,187,0
20000315,1560.75,1618.56,1358.82,1380.4,335,0
20000316,1416.53,1435.8,1387.25,1435.8,154,0
20000317,1445.26,1483.8,1425.98,1459.9,197,0
20000320,1498.56,1513.21,1267.3,1291.2,215,0
20000321,1359.04,1368.29,1127.78,1156.3,239,0
20000322,1209.51,1310.5,1166.34,1310.5,285,0
20000323,1351.34,1503.2,1334.38,1368.3,368,0
20000324,1397.62,1436.17,1276.59,1387.6,232,0
20000327,1387.62,1397.64,1310.53,1329.8,87,0
20000328,1368.34,1368.34,1233.44,1329.8,344,0
20000329,1349.06,1349.06,1243.45,1252.7,162,0
20000330,1248.11,1257.36,1079.28,1137.1,271,0
20000331,1156.09,1194.63,1059.75,1132.2,218,0
20000403,1147.1,1166.38,963.63,982.9,99,0
20000404,1001.7,1078.75,693.48,915.4,426,0
20000405,910.08,973.26,847.66,954,240,0
20000406,973.65,1021.44,963.63,982.9,188,0
20000407,1050.71,1069.98,915.8,963.6,162,0
20000410,978.22,1002.11,935.05,944.3,78,0
20000411,924.64,953.92,828.32,857.6,127,0
20000412,877.11,924.9,843.2,843.2,103,0
20000413,847.83,924.91,843.21,854,108,0
20000414,847.49,847.49,751.18,761.2,400,0
20000417,732.31,732.31,515.7,539.6,606,0
20000418,607.48,747.02,568.94,713.1,346,0
20000419,775.54,935.11,713.09,848,176,0
20000420,896.18,1040.28,876.91,992.5,113,0
20000424,924.68,953.96,866.88,876.9,69,0
20000425,862.13,879.08,722.68,761.2,331,0
20000426,771.05,781.07,703.97,756.4,61,0
20000427,717.34,755.87,703.47,742,27,0
20000428,751.18,770.44,731.92,761.2,83,0
20000501,732.47,848.12,732.47,814.2,148,0
20000502,848.02,848.02,780.95,790.2,60,0
20000503,785.76,785.76,704.02,717.9,60,0
20000504,460.22,520.34,428.61,481.8,1458,0
20000505,501.27,520.55,492.02,505.9,375,0
20000508,520.31,522.62,462.5,462.5,285,0
20000509,493.77,500.7,466.81,472.2,143,0
20000510,492.06,496.69,434.22,448.1,176,0
20000511,486.44,616.72,457.91,558.9,389,0
20000512,597.47,597.47,558.93,578.2,223,0
20000515,597.44,602.07,530.38,558.9,104,0
20000516,520.11,524.74,433.81,457.7,587,0
20000517,457.54,466.78,452.92,463.7,156,0
20000518,462.1,462.1,433.6,433.6,75,0
20000519,428.87,438.9,381.04,390.3,200,0
20000522,404.92,404.92,337.82,351.7,322,0
20000523,353.42,365.74,307.99,318,269,0
20000524,346.43,351.05,274.06,298.7,352,0
20000525,298.62,298.62,230.9,240.9,586,0
20000526,245.74,279.64,241.12,265,260,0
20000530,303.7,327.6,284.43,327.6,126,0
20000531,332.22,395.42,332.22,385.4,192,0
20000601,392.35,462.5,385.42,462.5,276,0
20000602,501.04,501.04,443.23,462.5,131,0
20000605,462.57,481.85,414.78,443.3,140,0
