Date,Open,High,Low,Close,Volume,OpenInt
20120511,16.85,17.74,16.5,17.13,6158428,0
20120514,17.38,17.4,16.9,17.18,318941,0
20120515,17.02,18.25,16.96,18.25,251692,0
20120516,18.18,18.18,17.24,17.78,373197,0
20120517,17.75,17.99,17.5,17.65,96590,0
20120518,17.42,18.1,17.24,18,270213,0
20120521,17.98,18,17.5,17.88,65942,0
20120522,17.94,18,17.72,17.89,55244,0
20120523,17.84,18.25,17.52,17.81,146894,0
20120524,18,18,17.53,17.86,33644,0
20120525,17.92,18,17.55,17.94,103377,0
20120529,17.98,18,17.5,17.66,78917,0
20120530,17.54,17.89,16.55,17.52,163298,0
20120531,16.53,18,16.52,17.88,269166,0
20120601,17.52,17.87,16.94,17.08,150032,0
20120604,17.28,17.62,17,17.61,173036,0
20120605,17.83,17.84,17.39,17.5,105684,0
20120606,17.66,18.25,17.35,18,91647,0
20120607,18.08,18.08,17.1,17.49,175908,0
20120608,17.46,18.09,17.12,18.04,99798,0
20120611,17.63,18.22,17.36,17.63,68531,0
20120612,17.62,18.1,17.49,17.97,76602,0
20120613,18,18,17.58,17.83,10732,0
20120614,18,18.1,17.64,17.7,73266,0
20120615,17.8,18.02,17.5,17.92,27333,0
20120618,17.76,19.23,17.59,18.67,73043,0
20120619,18.81,19.16,18.67,18.83,147591,0
20120620,18.94,19.76,18.5,18.68,129350,0
20120621,18.73,18.97,18.15,18.5,157754,0
20120622,18.69,18.69,18.38,18.63,934174,0
20120625,18.4,18.59,17.43,18.37,111151,0
20120626,18.49,18.59,17.97,18.05,82674,0
20120627,18.21,18.45,17.72,17.9,82200,0
20120628,17.8,17.85,17.23,17.65,216849,0
20120629,17.93,18.2,17.67,18.11,133596,0
20120702,18.1,18.65,17.84,18.65,20394,0
20120703,18.74,19.15,18.325,18.88,29233,0
20120705,18.91,18.99,18.43,18.6,51038,0
20120706,18.39,19.17,18.39,19.15,10255,0
20120709,19.22,19.87,19,19.6,36974,0
20120710,19.67,19.71,18.87,19.01,85711,0
20120711,18.99,19.37,18.64,19.12,160911,0
20120712,19.02,19.25,18.66,19.2,12359,0
20120713,19.2,19.78,18.9,19.35,145935,0
20120716,19.33,19.64,19.3,19.55,99600,0
20120717,19.5,19.55,19.27,19.5,48611,0
20120718,19.45,19.45,18.92,19.06,28353,0
20120719,15.02,15.86,14,15.15,1688527,0
20120720,14.99,14.99,13.94,14.2,273250,0
20120723,14.02,14.2,12.87,13.4,427991,0
20120724,13.48,14.07,13,13.29,214493,0
20120725,13.37,14.06,12.77,13.98,341971,0
20120726,14.19,14.33,13.91,14.03,156451,0
20120727,14.18,14.18,13.62,13.94,127381,0
20120730,13.96,14.47,13.79,13.88,82771,0
20120731,14.02,14.02,13.47,13.67,187816,0
20120801,13.7,13.78,12.79,12.79,168014,0
20120802,14.12,14.63,13.62,14.13,278216,0
20120803,14.4,15.02,13.832,14.92,138156,0
20120806,14.9,15.25,14.89,14.95,73715,0
20120807,15.06,15.19,14.78,14.87,53085,0
20120808,14.84,15.2,14.82,14.985,84704,0
20120809,15.03,15.16,14.75,14.89,30532,0
20120810,14.83,15.03,14.396,14.96,64057,0
20120813,14.98,15.669,14.97,15.11,158067,0
20120814,15.13,15.35,14.87,14.99,170252,0
20120815,15,15.34,14.96,15.28,74829,0
20120816,15.22,15.74,15.16,15.45,59471,0
20120817,15.48,15.48,15.277,15.4,9595,0
20120820,15.5,15.79,15.2,15.35,39693,0
20120821,15.43,15.53,15.2,15.33,31475,0
20120822,15.32,15.47,15.08,15.3,12335,0
