Date,Open,High,Low,Close,Volume,OpenInt
20050225,51.07,51.706,50.906,51.224,210113,0
20050228,51.408,51.696,51.011,51.426,148051,0
20050301,51.146,51.909,51.146,51.879,163027,0
20050302,51.967,52.238,51.61,52.034,126527,0
20050303,51.948,52.343,51.803,52.169,144803,0
20050304,52.498,52.884,52.083,52.623,102804,0
20050307,52.777,52.971,51.879,52.41,58287,0
20050308,52.546,52.546,51.744,52.112,69532,0
20050309,51.793,52.238,50.935,51.108,175609,0
20050310,51.137,51.523,50.133,50.336,159801,0
20050311,50.5,51.35,50.336,51.215,110105,0
20050314,51.465,53.405,51.224,53.154,205313,0
20050315,53.386,53.395,51.744,52.179,117359,0
20050316,52.294,53.019,52.054,52.633,100628,0
20050317,52.536,53.182,52.536,52.536,140381,0
20050318,52.401,53.047,52.159,52.652,505227,0
20050321,53.086,53.086,52.266,52.691,247761,0
20050322,53.124,54.002,52.844,53.279,137450,0
20050323,52.951,53.414,52.884,53.211,133218,0
20050324,53.742,53.945,53.096,53.607,122976,0
20050328,53.936,53.936,52.787,52.806,99565,0
20050329,53.116,53.936,52.816,52.989,161258,0
20050330,52.874,53.54,52.363,52.912,118769,0
20050331,52.643,52.739,52.093,52.343,124819,0
20050401,52.517,53.047,51.996,52.836,128506,0
20050404,53.047,53.172,52.103,52.971,225503,0
20050405,55.103,58.46,50.577,52.13,1733575,0
20050406,52.383,54.109,52.103,53.983,310546,0
20050407,54.244,55.614,53.771,54.996,271909,0
20050408,55.247,55.373,54.544,55.219,136299,0
20050411,55.382,55.382,54.534,54.745,162613,0
20050412,55.035,55.035,54.196,54.224,372936,0
20050413,54.6,54.707,52.836,53.182,183803,0
20050414,53.086,53.54,52.584,52.614,127387,0
20050415,52.41,52.768,52.169,52.218,237248,0
20050418,52.469,52.768,51.416,51.716,153875,0
20050419,52.122,52.257,51.639,52.103,123509,0
20050420,52.179,53.164,51.996,52.459,259116,0
20050421,52.633,53.047,52.199,52.884,73287,0
20050422,52.961,53.144,50.945,51.368,173946,0
20050425,51.378,51.764,50.675,51.321,196181,0
20050426,51.61,51.61,50.847,51.021,119835,0
20050427,50.78,51.484,50.385,51.475,141010,0
20050428,51.446,51.446,50.298,50.645,216672,0
20050429,50.761,51.523,50.665,51.33,132982,0
20050502,51.426,51.688,50.925,51.09,296014,0
20050503,51.388,51.388,50.819,50.945,156295,0
20050504,51.368,51.629,51.05,51.233,143827,0
20050505,50.81,51.446,50.81,51.281,89034,0
20050506,51.629,51.629,50.616,51.137,49082,0
20050509,51.388,51.754,50.423,51.668,128582,0
20050510,51.33,51.823,50.906,51.137,86893,0
20050511,51.513,51.784,50.596,51.156,52576,0
20050512,50.945,51.224,50.847,50.973,67958,0
20050513,50.741,51.098,49.69,50.365,107149,0
20050516,50.549,50.712,49.95,50.626,56160,0
20050517,50.375,50.81,50.115,50.731,91448,0
