Date,Open,High,Low,Close,Volume,OpenInt
20000313,38.715,42.886,38.26,39.431,1908394,0
20000314,42.274,42.479,39.024,40.553,1924261,0
20000315,40.553,40.805,36.585,37.803,1162376,0
20000316,40.65,40.853,36.275,39.226,1613676,0
20000317,39.528,44.916,39.431,44.713,1956977,0
20000320,44.617,47.665,41.356,42.274,1582063,0
20000321,44.617,69.307,40.65,53.658,5597498,0
20000322,54.374,58.535,49.591,51.528,2064484,0
20000323,51.266,53.552,48.779,50.106,560032,0
20000324,48.577,54.065,48.577,52.031,1630649,0
20000327,52.641,52.746,44.811,44.811,1237410,0
20000328,44.307,49.186,43.291,45.528,1208133,0
20000329,46.236,46.236,39.836,40.137,970000,0
20000330,38.365,41.056,38.21,39.478,1625485,0
20000331,40.348,43.291,38.412,42.024,1567919,0
20000403,41.056,42.731,36.585,38.112,1081076,0
20000404,38.057,38.307,28.861,36.991,2398681,0
20000405,33.429,38.006,33.129,34.097,984267,0
20000406,36.479,41.259,35.366,40.553,1646639,0
20000407,40.902,47.56,40.65,47.56,893370,0
20000410,47.56,48.577,40.698,42.274,904075,0
20000411,37.65,41.461,36.381,37.041,883286,0
20000412,37.803,38.715,28.457,28.959,2282811,0
20000413,29.983,32.364,27.438,29.983,1364349,0
20000414,29.064,29.983,21.845,22.357,2202616,0
20000417,20.016,23.673,20.016,23.169,1354140,0
20000418,23.984,28.457,23.885,27.031,1565826,0
20000419,26.933,29.267,25.609,26.933,778116,0
20000420,28.252,29.112,26.723,27.643,1087225,0
20000424,24.389,26.015,23.984,25.202,803580,0
20000425,27.081,28.457,25.714,26.325,718462,0
20000426,25.714,26.015,23.576,24.284,744045,0
20000427,23.478,24.699,22.154,22.812,1605435,0
20000428,25.153,28.503,24.438,28.457,2294497,0
20000501,30.592,33.285,30.237,33.032,1040237,0
20000502,31.911,35.924,31.602,33.941,1134824,0
20000503,32.926,33.642,31.399,31.707,1315394,0
20000504,32.926,34.706,32.161,33.992,633957,0
20000505,33.967,35.471,33.941,34.755,447854,0
20000508,34.755,35.26,32.926,33.535,585249,0
20000509,33.738,34.039,27.438,29.161,725226,0
20000510,29.064,29.064,25.917,26.624,400623,0
20000511,27.543,29.471,27.136,28.071,797181,0
20000512,29.494,32.724,29.178,32.422,1013913,0
20000515,32.114,34.504,31.301,33.835,439735,0
20000516,34.551,36.179,33.941,35.773,768152,0
20000517,33.738,35.616,33.738,34.551,287952,0
20000518,33.738,34.861,33.332,34.649,532971,0
20000519,34.251,35.162,32.724,34.251,547730,0
20000522,32.926,35.773,30.894,34.909,632115,0
20000523,34.397,35.471,32.821,33.234,478605,0
20000524,33.285,34.145,28.658,33.332,778728,0
20000525,33.332,33.642,30.284,30.537,363229,0
20000526,30.795,31.505,27.741,29.112,153630,0
20000530,29.267,30.894,28.457,30.894,1131011,0
20000531,30.08,34.039,30.08,31.813,1168406,0
20000601,32.926,34.958,32.926,34.755,1062745,0
20000605,36.633,41.007,36.585,40.34,676394,0
20000606,41.415,44.617,41.259,43.185,3259825,0
20000607,42.886,43.088,40.447,40.601,1194975,0
20000608,41.259,41.461,38.821,39.787,611567,0
20000612,39.705,40.242,37.398,39.226,278232,0
20000613,38.518,40.65,36.381,39.934,455235,0
20000614,40.34,40.958,40.145,40.447,975292,0
20000615,40.65,41.559,39.633,39.787,619689,0
20000616,39.682,42.886,38.365,42.373,512306,0
20000619,42.177,43.088,39.431,42.43,621534,0
20000620,42.324,45.528,41.666,45.325,2147757,0
20000621,44.511,47.154,43.088,43.494,796200,0
20000622,44.154,45.625,42.584,42.681,484512,0
20000623,42.756,45.528,40.958,41.259,382907,0
20000626,41.389,43.998,39.584,42.274,501854,0
20000627,42.121,43.34,41.056,41.918,518457,0
20000628,41.918,43.902,41.666,42.071,551793,0
20000629,42.274,43.592,40.242,42.681,285982,0
20000630,42.886,44.713,42.681,43.949,1034333,0
20000703,43.852,44.511,43.088,43.747,177985,0
20000705,43.698,45.716,43.291,43.592,1016618,0
20000706,43.291,44.307,43.185,43.445,750445,0
20000707,43.902,45.373,43.185,43.291,1075785,0
20000710,41.461,42.226,39.121,39.431,924246,0
20000711,42.177,43.185,40.65,41.461,1048850,0
20000712,42.373,44.511,41.868,42.886,921781,0
20000713,43.291,45.121,40.242,44.511,861390,0
20000714,44.713,44.713,42.681,43.137,349821,0
20000717,43.04,46.389,42.071,44.713,367163,0
20000718,44.511,48.169,43.902,46.186,2626359,0
20000719,46.138,46.748,45.121,46.138,398774,0
20000721,49.234,51.217,48.169,51.015,2868800,0
20000724,51.12,51.934,50.047,51.266,836420,0
20000725,51.243,54.722,50.714,54.471,719199,0
20000726,53.25,53.862,51.12,52.843,1513305,0
20000727,52.234,52.285,48.169,48.877,1120927,0
20000728,49.591,50.407,47.56,47.658,959670,0
20000731,47.967,48.064,44.713,46.592,546749,0
20000801,46.439,46.65,41.461,42.373,495704,0
20000802,42.071,44.307,39.024,39.528,666552,0
20000803,37.21,37.448,32.317,36.585,3443467,0
20000804,36.682,38.927,36.633,37.803,596936,0
20000807,38.21,39.024,37.756,38.463,1185996,0
20000808,38.795,39.934,37.706,38.006,2052307,0
20000809,38.307,38.307,36.682,36.787,1281198,0
20000810,37.041,37.3,33.488,34.6,1451435,0
20000811,34.649,35.721,32.317,34.958,502468,0
20000814,35.773,36.739,33.285,36.275,651669,0
20000815,35.95,37.803,35.924,37.495,658926,0
20000816,38.112,39.226,37.6,39.024,583156,0
20000817,38.975,39.836,38.518,38.615,424607,0
20000818,38.615,40.958,38.615,39.226,924119,0
20000821,39.633,39.633,38.006,38.21,292625,0
20000822,38.112,38.112,35.721,36.585,508984,0
20000823,36.179,43.088,34.145,41.666,1539998,0
20000824,43.878,44.811,42.071,42.274,1583787,0
20000825,42.479,42.779,39.226,40.242,324602,0
20000830,41.486,41.77,39.836,39.934,763481,0
20000831,39.836,46.032,39.431,43.902,1721918,0
20000901,43.803,44.105,41.666,43.088,372084,0
20000905,42.324,42.837,41.056,41.966,457204,0
20000906,41.512,41.559,40.65,41.056,509725,0
20000907,41.31,43.397,41.31,42.633,979717,0
20000908,43.088,43.088,40.958,41.868,789679,0
20000911,40.747,41.77,39.836,40.853,975045,0
20000912,40.805,42.226,40.747,41.666,649454,0
20000913,40.958,41.056,38.412,40.496,703206,0
20000914,40.242,40.65,38.615,39.431,1546396,0
20000915,39.024,39.528,38.412,39.024,6867625,0
20000918,39.024,39.431,37.398,38.21,1038146,0
20000919,38.365,40.04,38.21,39.739,1221543,0
20000920,40.65,42.837,40.242,40.553,1381695,0
20000921,40.65,41.31,40.066,40.447,1217975,0
20000922,36.944,43.291,36.944,42.991,1152660,0
20000925,43.088,44.811,43.088,43.852,943555,0
20000926,43.543,43.698,41.461,42.274,822398,0
20000927,42.324,44.405,42.274,43.494,1023876,0
20000928,43.592,43.592,42.071,42.584,679223,0
20000929,42.479,42.584,39.431,40.553,584878,0
20001002,40.958,40.958,33.738,33.788,1971492,0
20001003,35.366,36.894,33.958,33.992,1360907,0
20001004,34.073,36.381,33.234,35.871,2623163,0
20001005,35.871,37.9,35.267,36.365,2148984,0
20001006,36.991,36.991,34.649,35.773,2005193,0
20001009,35.675,36.536,33.332,36.082,400623,0
20001010,36.047,36.082,32.973,33.992,1639874,0
20001011,33.835,38.615,33.234,35.976,1601129,0
20001012,36.275,36.894,35.568,35.773,1141465,0
20001013,36.25,39.633,35.887,38.715,1104320,0
20001016,38.21,40.04,38.21,39.226,1884160,0
20001017,39.226,39.739,34.047,34.861,517104,0
20001018,33.642,36.585,32.926,34.861,623871,0
20001019,35.871,38.927,35.82,38.869,880579,0
20001020,36.682,47.202,36.585,47.057,3622559,0
20001023,46.544,46.951,41.966,43.902,988821,0
20001024,43.162,43.803,38.412,39.381,959914,0
20001025,37.146,38.615,35.976,36.453,503697,0
20001026,36.381,38.412,36.179,38.412,1655992,0
20001027,38.975,39.334,38.112,38.975,1357707,0
20001030,38.95,39.211,38.006,39.073,629163,0
20001031,39.226,39.226,38.518,38.975,2739644,0
20001101,38.006,38.715,37.089,38.006,995708,0
20001102,38.26,38.412,35.366,36.082,866928,0
20001103,35.95,36.894,35.773,36.179,1152539,0
20001106,36.56,36.991,34.804,35.721,579958,0
20001107,35.366,35.412,29.064,31.61,1720442,0
20001108,31.934,32.211,31.097,31.505,927567,0
20001109,30.617,30.643,28.405,29.015,1835204,0
20001110,29.064,29.365,24.389,24.699,1333105,0
20001113,24.593,25.609,23.325,25.25,2188714,0
20001114,25.561,26.52,25.202,25.357,3026859,0
20001115,24.95,26.171,24.389,25.763,1477267,0
20001116,25,26.171,24.291,24.438,698040,0
20001117,24.893,25.106,21.853,23.576,954874,0
20001120,22.918,23.169,20.423,20.528,680944,0
20001121,20.934,20.958,16.918,17.074,4400925,0
20001122,16.668,18.601,16.668,18.195,1137407,0
20001124,18.601,20.325,18.195,19.895,1282676,0
20001127,20.887,25.299,20.479,21.186,2011221,0
20001128,21.293,21.748,17.836,20.073,2217865,0
20001129,20.226,22.357,19.608,21.66,1932622,0
20001130,18.293,19.308,17.276,18.715,2918000,0
20001201,19.308,21.235,18.902,21.138,1793752,0
20001204,21.235,21.235,19.414,20.226,1213550,0
20001205,20.731,20.731,19.819,20.226,1554142,0
20001206,20.226,25.25,20.121,23.576,1367917,0
20001207,15.805,18.902,12.959,18.545,15655694,0
20001208,19.414,20.934,19.008,19.918,3355891,0
20001211,19.819,22.259,19.819,21.235,1282305,0
20001212,20.634,21.447,20.325,20.828,463474,0
20001213,20.887,21.138,20.276,20.479,1672101,0
20001214,20.528,20.578,17.886,18.902,1164101,0
20001215,18.601,19.105,17.479,17.789,3606693,0
20001218,18.699,18.902,17.074,17.983,1041590,0
20001219,17.789,20.731,17.731,19.562,680085,0
20001220,19.155,20.325,17.983,18.699,1199893,0
20001221,18.902,19.008,15.35,15.495,753516,0
20001222,15.95,17.683,15.245,17.324,648720,0
20001226,16.511,17.276,15.755,17.074,735066,0
20001227,16.765,19.511,16.765,19.511,472575,0
20001228,19.105,19.414,18.242,18.39,595582,0
20001229,18.293,19.203,16.87,18.651,1943078,0
20010102,18.545,18.545,16.668,17.276,948724,0
20010103,17.276,23.576,16.258,22.763,1176771,0
20010104,22.513,23.731,21.138,22.357,1006041,0
20010105,22,24.081,21.138,21.642,912683,0
20010108,21.341,22.047,20.226,22,722395,0
20010109,21.95,22.513,20.528,21.902,274546,0
20010110,21.495,22.513,20.934,21.765,535061,0
20010111,21.95,25.511,21.545,25.047,1297928,0
20010112,24.893,24.95,23.169,23.779,1022155,0
20010116,25.202,25.202,21.748,21.902,764834,0
