Date,Open,High,Low,Close,Volume,OpenInt
20140701,14.181,14.479,14.051,14.151,798687,0
20140702,14.091,14.201,14.001,14.051,79784,0
20140703,14.141,14.141,13.641,14.001,47159,0
20140707,13.961,14.071,13.951,13.951,307477,0
20140708,13.971,14.081,13.951,13.951,30948,0
20140709,14.011,14.011,13.951,13.951,11560,0
20140710,13.951,14.011,13.951,14.011,113755,0
20140711,14.081,14.148,13.981,13.981,2475,0
20140714,13.991,14.15,13.991,14.001,4831,0
20140715,14.051,14.051,14.001,14.001,4264,0
20140716,14.051,14.766,13.951,14.4,10839,0
20140717,14.052,14.45,14.052,14.37,15463,0
20140718,14.35,14.35,14.121,14.35,1427,0
20140721,14.45,14.45,13.961,14.101,773,0
20140722,13.981,14.251,13.981,14.071,3725,0
20140723,14.061,14.223,14.051,14.051,5752,0
20140724,14.061,14.061,14.061,14.061,1135,0
20140725,14.201,14.201,14.061,14.091,10525,0
20140728,14.628,14.628,13.951,13.951,14033,0
20140729,13.951,14.211,13.951,14.091,4947,0
20140730,13.961,14.001,13.931,13.961,7079,0
20140731,13.951,13.971,13.951,13.971,1417,0
20140801,13.951,14.04,13.951,13.981,3716,0
20140804,13.991,13.991,13.991,13.991,778,0
20140805,13.951,14.051,13.951,13.951,2065,0
20140806,13.961,13.961,13.961,13.961,1115,0
20140807,14.001,14.001,13.961,13.991,1959,0
20140808,13.961,13.961,13.961,13.961,115,0
20140811,13.951,14.001,13.951,13.951,11130,0
20140812,13.751,14.001,13.751,13.783,1571,0
20140813,13.951,13.951,13.951,13.951,323,0
20140814,13.761,13.951,13.751,13.951,676,0
20140815,13.711,14.001,13.711,13.711,9015,0
20140818,13.751,14.001,13.751,13.881,4415,0
20140819,13.761,14.001,13.761,13.971,5345,0
20140820,13.921,13.971,13.751,13.971,6076,0
20140821,13.781,13.951,13.781,13.851,7453,0
20140822,13.701,14.291,13.701,14.101,6890,0
20140825,13.851,14.001,13.851,13.871,6386,0
20140826,13.851,14.001,13.851,13.911,6132,0
20140827,13.901,13.951,13.901,13.951,1781,0
20140828,13.931,13.951,13.861,13.931,5894,0
20140829,13.921,13.951,13.881,13.901,2498,0
20140902,13.861,13.951,13.861,13.901,6181,0
20140903,13.941,14.051,13.851,14.051,31665,0
20140904,14.001,14.001,13.901,14.001,4051,0
20140905,13.951,14.001,13.903,13.991,10500,0
20140908,14.001,14.001,13.881,13.971,13552,0
20140909,14.001,14.001,13.931,14.001,6802,0
20140910,14.001,14.001,13.901,14.001,8705,0
20140911,14.001,14.945,13.951,14.34,99456,0
20140912,18.932,18.932,13.951,14.031,10612,0
20140915,13.901,13.951,13.852,13.911,15474,0
20140916,13.781,14.161,13.551,13.681,29972,0
20140917,13.701,13.821,13.651,13.651,6567,0
20140918,13.551,13.761,13.451,13.571,20564,0
20140919,13.501,13.951,13.012,13.022,69729,0
20140922,13.052,13.142,13.052,13.142,11638,0
20140923,13.431,13.431,13.431,13.431,1069,0
20140924,13.411,13.411,13.252,13.252,673,0
20140925,13.222,13.222,13.202,13.202,1669,0
20140926,13.451,13.451,13.242,13.391,1591,0
20140929,13.411,13.431,13.082,13.341,947,0
20140930,13.331,13.341,13.252,13.252,2474,0
20141001,13.311,13.311,13.052,13.052,2401,0
20141002,13.152,13.341,13.152,13.341,5330,0
20141003,13.351,13.351,13.262,13.262,12510,0
20141006,13.291,13.291,12.972,13.002,49242,0
20141007,13.032,13.032,13.032,13.032,239,0
20141009,13.291,13.291,12.952,13.102,19718,0
20141010,13.019,13.308,13.019,13.308,873,0
20141013,13.029,13.059,12.989,13.019,4513,0
20141014,13.009,13.308,13.009,13.308,2092,0
20141016,13.019,13.109,13.019,13.109,4018,0
20141017,13.099,13.109,13.039,13.089,11332,0
20141020,13.029,13.109,13.009,13.099,3964,0
20141021,13.109,13.109,13.029,13.079,7576,0
20141022,13.099,13.109,13.029,13.059,5521,0
20141023,13.029,13.039,12.969,13.019,2849,0
20141024,12.992,13.108,12.969,12.969,1206,0
20141027,13.109,13.109,12.959,13.109,4772,0
20141028,13.109,13.129,13.109,13.12,7973,0
20141029,13.438,13.478,13.438,13.478,621,0
20141031,13.948,13.958,13.438,13.958,4812,0
20141103,13.958,13.958,13.388,13.408,1723,0
20141104,13.708,13.708,13.428,13.428,4150,0
20141105,13.358,13.358,13.318,13.338,7621,0
20141106,13.338,13.754,13.338,13.558,9664,0
20141107,13.368,13.378,13.358,13.378,2366,0
20141110,13.358,13.358,13.328,13.358,17285,0
20141111,13.358,13.358,13.358,13.358,3536,0
20141112,13.368,13.658,13.358,13.658,7908,0
20141113,13.658,13.938,13.658,13.658,8393,0
20141114,13.468,13.708,13.458,13.458,3612,0
20141117,13.458,13.458,13.458,13.458,235,0
20141118,13.498,13.733,13.498,13.558,1406,0
20141119,13.558,13.643,13.558,13.558,3969,0
20141120,13.558,13.857,13.558,13.558,4112,0
20141121,13.708,13.761,13.558,13.708,6677,0
20141124,13.708,13.728,13.708,13.708,2006,0
20141125,13.708,13.728,13.658,13.708,62787,0
20141126,13.718,13.718,13.718,13.718,2512,0
20141128,13.728,13.728,13.728,13.728,190,0
20141201,13.698,13.744,13.698,13.708,6856,0
20141202,13.708,13.728,13.708,13.708,627,0
20141203,13.708,13.708,13.708,13.708,1004,0
20141204,13.708,13.728,13.608,13.708,70615,0
20141205,13.728,13.968,13.708,13.968,11861,0
20141208,13.908,14.158,13.818,14.158,3281,0
20141209,14.028,14.038,13.958,13.958,5744,0
20141210,13.968,14.058,13.908,13.948,3642,0
20141211,13.958,14.097,13.918,14.016,18796,0
20141212,13.958,14.008,13.958,14.008,13613,0
20141215,13.768,14.208,13.738,14.208,3040,0
20141216,13.728,14.457,13.728,14.457,5064,0
20141217,14.258,14.457,13.738,14.457,5759,0
20141218,14.258,14.953,14.158,14.953,6992,0
20141219,14.953,14.953,13.958,13.958,12204,0
20141222,13.998,14.913,13.708,14.108,2948,0
20141223,14.088,14.218,13.758,13.958,4694,0
20141224,13.738,14.158,13.708,14.158,9194,0
20141226,14.243,14.243,14.078,14.098,4042,0
20141229,14.457,14.457,13.908,13.968,5077,0
20141230,13.768,14.248,13.758,13.768,24210,0
20141231,13.965,14.065,13.815,13.815,6325,0
20150102,13.965,13.975,13.965,13.965,14554,0
20150105,14.215,14.454,13.895,14.285,2953,0
20150106,13.915,14.464,13.915,14.464,1579,0
20150107,14.035,14.035,13.865,13.915,5265,0
20150108,13.965,13.965,13.891,13.965,2932,0
20150109,13.965,13.965,13.915,13.915,5654,0
20150112,14.015,14.245,13.965,14.095,6524,0
20150115,13.865,14.265,13.865,13.935,1205,0
20150116,14.015,14.018,13.775,13.945,7557,0
20150120,13.975,13.975,13.845,13.865,3700,0
20150121,13.905,13.965,13.865,13.965,15540,0
20150122,13.575,13.575,13.565,13.575,575,0
20150123,13.795,13.955,13.315,13.855,22095,0
20150126,13.925,13.955,13.475,13.835,9224,0
20150127,13.775,13.985,13.535,13.965,9239,0
20150128,13.935,13.965,13.725,13.725,11430,0
20150130,13.665,14.065,13.665,13.965,7176,0
20150202,13.965,13.965,13.965,13.965,205,0
20150203,13.965,13.965,13.965,13.965,227,0
20150204,14.065,14.166,13.965,14.166,1326,0
20150205,13.975,14.005,13.965,13.975,5619,0
20150206,14.225,14.225,14.225,14.225,100,0
20150209,14.065,14.364,14.035,14.035,4760,0
20150210,14.195,14.464,14.195,14.464,7293,0
20150211,14.464,14.484,14.464,14.474,5737,0
20150212,14.454,14.464,14.404,14.414,14326,0
20150213,14.414,14.464,14.293,14.464,6168,0
20150217,14.464,15.86,14.225,15.86,4195,0
20150218,14.215,14.295,14.215,14.295,1519,0
20150219,14.583,14.703,14.235,14.663,1880,0
20150220,14.563,14.563,14.563,14.563,1481,0
20150224,14.235,14.444,14.225,14.225,22639,0
20150225,14.414,14.603,14.414,14.414,4245,0
20150226,14.303,14.44,14.245,14.424,6280,0
20150227,14.235,14.454,14.225,14.444,2989,0
