Date,Open,High,Low,Close,Volume,OpenInt
20150615,12.75,15.2,12.54,14.92,1635900,0
20150616,14.88,15.59,14.01,14.6,154500,0
20150617,14.6,15,14.22,14.85,47600,0
20150618,14.95,14.95,14.25,14.75,75300,0
20150619,14.75,14.87,14.65,14.8,53700,0
20150622,14.7,15.44,14.7,15,301700,0
20150623,15,15,14,14.44,97506,0
20150624,14.37,14.64,14,14.2,29200,0
20150625,13.9,14.62,13.3,14.07,116300,0
20150626,14,15,13.34,15,102000,0
20150629,14.84,14.94,13.76,13.76,1100,0
20150630,14.94,14.94,14,14.12,2396,0
20150701,14.19,14.96,13.75,13.8,5500,0
20150702,14.22,14.93,14.19,14.19,92200,0
20150706,14.43,14.95,13.81,14.85,6200,0
20150707,14.57,15,13.9,14.25,43000,0
20150708,13.85,13.9,13.61,13.69,12700,0
20150709,13.71,14.76,13.66,14.34,134900,0
20150710,13.88,14.44,13.72,13.9,28900,0
20150713,13.32,14.18,13.32,13.9,23200,0
20150714,13.67,14.266,13.65,13.96,1983,0
20150715,14.28,14.28,13.75,13.75,7967,0
20150716,13.52,13.75,13.5,13.59,1800,0
20150717,13.75,14.09,13.7,13.95,3800,0
20150720,14.01,14.08,13.69,13.85,7000,0
20150721,14.05,14.05,13.51,13.55,8600,0
20150722,13.55,13.9,13.5,13.62,21300,0
20150723,13.9,13.9,12.92,13.07,150800,0
20150724,13.15,13.46,12.01,12.26,39100,0
20150727,12.4,12.9,11.97,12.2,74500,0
20150728,12.15,13.19,10.26,11.82,100700,0
20150729,11.64,12.98,11,12,45800,0
20150730,11.99,12.55,11.03,11.9,32000,0
20150731,12.4,12.49,11.5,11.78,47200,0
20150803,11.61,12.81,11.066,11.69,43643,0
20150804,11.6,12.04,11.28,11.7,94500,0
20150805,11.78,12.06,11.3,11.99,52400,0
20150806,12.99,12.99,11.461,11.87,24302,0
20150807,11.2,11.97,11.17,11.64,30800,0
20150810,11.5,11.9,11.28,11.78,51000,0
20150811,11.675,11.83,11.06,11.24,105165,0
20150812,10,11.26,10,10.88,67800,0
20150813,10.75,11.5,10.27,10.36,52700,0
20150814,11.28,11.4,10.84,11.09,8000,0
20150817,11.01,12.21,10.76,11.96,26900,0
20150818,12.02,12.1,11.38,11.38,32200,0
20150819,11.5,12.06,11.45,11.99,28200,0
20150820,11.7,13.51,11.36,13.23,41300,0
20150821,12.96,13.46,12.69,12.69,27000,0
20150824,12.46,13.08,11.74,11.84,20557,0
20150825,12.12,12.59,11.62,12.17,16800,0
20150826,12.78,13.61,12.38,13.33,14300,0
20150827,13.71,14.65,13.15,14.1,54900,0
20150828,13.91,14.79,13.85,14.61,40100,0
20150831,14.35,14.78,13.2,13.56,15900,0
20150901,14.65,14.65,13.52,13.67,11800,0
