Date,Open,High,Low,Close,Volume,OpenInt
20160226,7.5,7.8,7.5,7.75,6078,0
20160229,7.75,7.85,7.75,7.85,6553,0
20160301,7.9,7.9,7.5234,7.5234,730,0
20160303,8.1499,8.1499,7.7999,7.7999,3311,0
20160304,7.838,7.8969,7.35,7.8508,4041,0
20160307,7.53,8.1237,7.4,7.99,3014,0
20160309,7.5103,7.85,7.5103,7.85,2501,0
20160310,7.7999,7.8,7.3001,7.8,2251,0
20160311,7.7,7.7,7.677,7.7,3900,0
20160314,7.64,7.6501,7.64,7.6501,11644,0
20160315,7.7,7.7,7.65,7.69,3131,0
20160316,7.79,7.92,7.79,7.92,1578,0
20160317,7.5,8.1,7.5,7.75,4535,0
20160318,7.84,8.0153,7.84,7.8501,5012,0
20160321,7.73,8.05,7.73,7.78,4209,0
20160322,7.86,7.99,7.86,7.98,913,0
20160323,8.0001,8.0001,7.8452,7.98,12896,0
20160324,7.77,7.84,7.75,7.75,4483,0
20160328,7.7485,7.749,6.9,6.9,15679,0
20160329,6.88,6.9,6.75,6.9,4860,0
20160330,7.66,7.66,6.7001,6.91,13927,0
20160331,7.15,7.15,6.91,7.14,4100,0
20160401,7.05,7.14,6.9,7.1,3000,0
20160404,7.1,7.1,6.4499,6.7,24421,0
20160405,6.55,6.7,6.4,6.52,26500,0
20160406,6.6391,6.9209,6.6391,6.9209,875,0
20160407,6.95,6.95,6.8567,6.8567,2600,0
20160408,6.8001,6.821,6.8,6.8022,5904,0
20160411,6.86,6.86,6.3,6.4,42650,0
20160412,6.46,6.77,6.42,6.642,1892,0
20160413,6.66,6.66,6.66,6.66,270,0
20160414,6.6899,6.6899,6.554,6.5999,1847,0
20160415,6.56,6.6,6.2425,6.6,3007,0
