Date,Open,High,Low,Close,Volume,OpenInt
20050225,515.8,545,515.8,545,155,0
20050228,535,545,535,545,40,0
20050301,547,550,547,550,47,0
20050302,550,567.2,550,567.2,194,0
20050303,568,570,560.2,560.4,40,0
20050304,560,564.8,533,539.6,479,0
20050307,532,550,531,550,70,0
20050308,551.8,555,551.8,555,113,0
20050309,558,564,543.4,561.8,248,0
20050310,551.6,560,550.2,560,78,0
20050311,552,572,552,570,134,0
20050314,570,570,570,570,50,0
20050315,555,555.4,550,555,40,0
20050316,576,576,576,576,5,0
20050317,564,565,560,563,795,0
20050318,560,583,560,583,116,0
20050321,584,585,584,585,10,0
20050322,585,592.8,580,590,183,0
20050323,590,590,590,590,5,0
20050324,590,593,590,593,51,0
20050328,584.2,587.2,584.2,587.2,13,0
20050329,590,598.8,586,598.8,238,0
20050330,599,599,598.8,598.8,40,0
20050331,600,600,599,599,48,0
20050401,599,599,599,599,5,0
20050404,599,599,599,599,5,0
20050406,598.6,598.6,598.6,598.6,5,0
20050408,598.6,598.6,598.6,598.6,15,0
20050411,588,588,588,588,5,0
20050413,597.8,597.8,597.8,597.8,10,0
20050414,599,599,599,599,5,0
20050415,587,587,584,584,15,0
20050418,583,583,580,580,21,0
20050419,578,578,575,575,20,0
20050420,570,570,556,559.8,153,0
20050421,559.8,560,541,541,165,0
20050422,539.4,539.4,532,532,30,0
20050425,528,541,528,540,631,0
20050426,536.2,552,533.6,533.6,245,0
20050427,551.8,557,551.8,554,35,0
20050502,562,568,562,568,25,0
20050504,570,570,560,560,307,0
20050505,560,570,560,570,288,0
20050510,570,570,570,570,74,0
20050511,565,580,565,580,404,0
20050512,580,595,580,595,204,0
20050513,574.2,588,574.2,588,60,0
20050516,570,599.8,570,585,80,0
20050518,599.8,599.8,568,568,33,0
20050523,573,600,563.2,573.2,36,0
20050524,563,563,558,558,123,0
20050525,563,563,563,563,100,0
20050526,578,578,578,578,20,0
20050527,561.4,563.2,561.4,563.2,49,0
20050531,561.8,578,561.8,577.8,41,0
20050608,570,570,570,570,5,0
20050609,568,568,568,568,75,0
20050620,568,570,568,570,122,0
20050621,565.8,569,565.8,569,105,0
20050622,570,570,570,570,105,0
20050627,561.4,580,550.6,573,260,0
20050628,562.4,562.4,562.4,562.4,100,0
20050701,550,550,543.4,544,30,0
20050705,554,554,554,554,40,0
20050706,560.8,561,560.8,561,18,0
