Date,Open,High,Low,Close,Volume,OpenInt
20050301,27.821,27.821,26.567,26.567,782,0
20050307,28.303,28.303,28.303,28.303,848,0
20050308,28.256,28.256,28.218,28.218,216,0
20050309,27.821,27.821,27.821,27.821,337,0
20050317,27.577,27.577,27.577,27.577,100,0
20050329,29.105,29.105,28.585,28.585,926,0
20050331,27.36,27.36,27.36,27.36,100,0
20050404,26.444,26.444,26.444,26.444,100,0
20050405,29.784,29.784,29.784,29.784,100,0
20050407,28.086,28.086,28.086,28.086,421,0
20050411,27.596,27.596,27.265,27.36,634,0
20050412,27.36,27.36,27.36,27.36,954,0
20050413,27.265,27.265,27.265,27.265,100,0
20050415,26.887,26.887,26.887,26.887,100,0
20050425,25.944,25.944,25.944,25.944,100,0
20050426,25.189,25.387,25.189,25.387,1059,0
20050427,25.888,25.888,25.888,25.888,100,0
20050429,25.094,25.237,25.094,25.18,531,0
20050503,25.295,25.295,25.295,25.295,100,0
20050504,25.644,25.644,25.644,25.644,100,0
20050509,25.66,25.66,25.66,25.66,100,0
20050512,25.944,25.944,25.944,25.944,100,0
20050513,25.85,25.85,25.635,25.635,216,0
20050516,25.708,25.793,25.708,25.793,216,0
20050517,26.181,26.181,26.181,26.181,100,0
20050609,27.246,27.246,27.246,27.246,100,0
20050624,26.916,26.916,26.916,26.916,100,0
20050706,24.558,27.236,22.17,27.236,3266,0
20050707,27.285,27.285,26.812,27.285,743,0
20050720,28.604,28.604,28.604,28.604,423,0
20050721,27.737,28.237,27.737,28.19,743,0
20050722,28.407,28.445,28.407,28.445,216,0
20050818,27.198,27.227,27.198,27.227,319,0
20050822,26.812,26.812,26.802,26.802,319,0
20050823,27.275,27.275,26.964,26.964,216,0
20050908,27.059,27.059,27.059,27.059,100,0
20050930,29.011,29.011,29.011,29.011,100,0
20051004,29.245,29.245,29.245,29.245,1059,0
20051005,30.143,30.143,30.143,30.143,100,0
20051006,28.141,28.141,28.141,28.141,216,0
20051007,28.115,28.312,28.115,28.312,216,0
20051010,28.33,28.388,28.218,28.388,319,0
20051011,28.464,28.464,28.312,28.312,216,0
20051012,28.18,28.18,28.18,28.18,100,0
20051013,27.443,27.443,27.443,27.443,100,0
20051019,28,28.106,28,28.106,216,0
20051020,27.606,27.614,27.606,27.614,216,0
20051021,28.349,28.368,28.349,28.368,319,0
20051024,28.359,28.359,28.359,28.359,100,0
20051025,26.7,26.717,26.027,26.027,421,0
20051026,26.453,26.502,26.181,26.181,1059,0
20051028,26.152,26.227,26.152,26.162,531,0
20051031,26.774,26.774,26.406,26.492,531,0
20051101,26.482,26.482,26.482,26.482,100,0
20051102,27.002,27.002,27.002,27.002,216,0
20051103,27.472,27.472,27.472,27.472,100,0
20051104,27.37,27.37,27.303,27.303,216,0
20051107,27.538,27.538,27.538,27.538,100,0
20051108,27.518,27.518,27.518,27.518,100,0
20051111,27.652,27.69,27.577,27.577,421,0
20051114,27.889,28.407,27.774,28.407,743,0
20051115,27.925,27.925,27.917,27.917,319,0
20051116,27.83,27.83,27.83,27.83,100,0
20060112,24.104,24.104,24.104,24.104,531,0
20060118,25.076,25.076,25.076,25.076,100,0
20060120,24.821,24.821,24.821,24.821,100,0
20060124,25.066,25.066,25.066,25.066,216,0
20060125,25.094,25.415,25.048,25.076,954,0
20060130,25.057,25.057,25.057,25.057,100,0
20060131,25.132,25.132,25.132,25.132,100,0
20060203,25.132,25.132,25.132,25.132,216,0
20060207,24.737,24.737,24.737,24.737,244,0
20060208,24.718,24.718,24.718,24.718,100,0
20060209,25.048,25.048,24.378,24.972,531,0
20060210,25,25,24.737,24.953,319,0
20060215,24.962,24.962,24.962,24.962,664,0
20060308,24.604,24.604,24.604,24.604,216,0
20060309,24.586,27.151,24.273,24.594,2649,0
20060310,25,25,25,25,319,0
20060321,24.962,24.962,24.962,24.962,100,0
20060322,25.568,25.568,25.568,25.568,100,0
20060323,25.605,25.605,25.605,25.605,100,0
20060327,24.577,24.577,24.577,24.577,244,0
20060328,24.889,24.889,24.889,24.889,319,0
20060329,25.341,25.341,25.142,25.142,319,0
20060330,25.104,26.841,25.104,25.247,531,0
20060331,23.727,25.199,23.727,25.199,319,0
20060403,25.568,25.568,25.568,25.568,100,0
20060405,26.332,28.633,26.332,26.406,319,0
20060410,28.303,28.303,28.303,28.303,100,0
20060417,24.577,24.577,24.577,24.577,531,0
20060418,25.094,25.094,25.094,25.094,100,0
20060419,25.802,25.802,25.802,25.802,216,0
20060420,25.84,25.84,25.84,25.84,100,0
20060421,25.812,25.812,25.812,25.812,100,0
20060425,26.236,26.236,26.236,26.236,100,0
20060426,26.246,26.246,26.246,26.246,100,0
20060503,25.396,26.181,25.396,26.181,475,0
20060505,26.424,26.424,26.424,26.424,100,0
20060508,26.473,26.473,26.473,26.473,100,0
20060518,25.048,25.048,25.048,25.048,100,0
20060523,25.717,25.717,25.094,25.094,421,0
20060531,25.66,25.66,25.66,25.66,106,0
20060606,25.708,25.708,25.708,25.708,100,0
20060607,25.471,26.085,25.471,25.717,743,0
20060608,25.888,25.888,25.471,25.471,421,0
20060609,26.123,26.123,26.123,26.123,100,0
20060612,26.037,26.037,26.037,26.037,100,0
20060614,23.699,24.879,23.699,24.879,216,0
20060615,25.019,25.019,25,25,1800,0
20060619,25.076,25.076,25.076,25.076,100,0
20060623,24.981,24.981,24.981,24.981,100,0
20060626,25.171,25.171,25.171,25.171,100,0
20060627,23.953,23.953,23.953,23.953,100,0
20060801,24.558,24.558,24.558,24.558,531,0
20060829,24.53,26.275,24.53,25.67,848,0
20060830,25.37,25.37,25.285,25.312,421,0
20060907,25.341,25.341,25.341,25.341,100,0
20060912,25.717,25.717,25.717,25.717,100,0
20060914,25.698,25.698,25.698,25.698,100,0
20060921,25.812,25.812,25.812,25.812,100,0
20060922,25.821,25.821,25.821,25.821,100,0
20060925,25.821,25.821,25.821,25.821,100,0
20061002,25.83,25.83,25.83,25.83,100,0
20061004,25.802,25.802,25.802,25.802,100,0
20061011,26.935,26.935,26.935,26.935,216,0
20061012,27.36,27.36,27.36,27.36,100,0
20061019,28.303,28.557,28.303,28.557,421,0
20061023,27.83,27.83,27.83,27.83,100,0
20061024,27.917,27.917,27.879,27.879,216,0
20061115,27.86,27.963,26.653,27.963,1850,0
20061116,27.982,27.982,27.982,27.982,100,0
20061117,27.69,27.747,27.69,27.747,421,0
20061120,29.011,30.859,28.614,28.905,1942,0
20061121,28.303,28.303,28.303,28.303,216,0
20061128,27.424,27.424,27.424,27.424,100,0
20061129,28.01,28.01,28.01,28.01,100,0
20061130,30.076,30.076,28.237,28.757,1698,0
20061204,30.001,30.001,29.245,29.245,421,0
20061211,28.303,28.303,28.303,28.303,101,0
20070112,28.303,28.303,28.303,28.303,531,0
20070201,29.87,29.87,29.87,29.87,216,0
20070208,29.87,29.87,29.87,29.87,319,0
20070221,26.463,26.463,26.463,26.463,395,0
20070228,29.726,30.283,29.726,30.283,426,0
20070302,29.916,29.916,29.916,29.916,100,0
20070309,26.605,26.605,26.605,26.605,197,0
20070315,29.689,29.689,29.522,29.522,319,0
20070319,24.577,24.577,24.577,24.577,100,0
20070327,24.612,24.612,24.612,24.612,319,0
20070403,33.821,33.821,33.821,33.821,100,0
20070404,30.095,31.746,30.095,31.312,634,0
20070405,31.367,31.367,31.367,31.367,100,0
20070409,31.358,31.358,31.358,31.358,100,0
20070410,29.755,29.755,29.755,29.755,191,0
20070413,33.812,33.812,33.812,33.812,100,0
20070504,33.944,34.802,27.83,28.774,5880,0
20070507,28.765,31.039,28.585,29.483,1315,0
20070510,28.925,29.483,28.322,29.483,634,0
20070511,29.502,29.502,29.502,29.502,100,0
