Date,Open,High,Low,Close,Volume,OpenInt
20050303,8.2464,8.5607,8.0108,8.4741,253945,0
20050304,8.435,8.4428,8.325,8.435,60094,0
20050307,8.435,8.4428,8.3643,8.4193,18505,0
20050308,8.4428,9.2986,8.4428,9.032,78678,0
20050309,9.032,9.227,8.5213,8.7172,44719,0
20050310,9.2522,9.2522,8.6781,8.7963,54555,0
20050311,8.8668,8.8668,8.5369,8.5997,31011,0
20050314,8.6158,8.8361,8.482,8.5291,13531,0
20050315,8.5213,8.592,8.4505,8.4663,26596,0
20050316,8.5997,8.5997,8.4035,8.482,32891,0
20050317,8.482,8.482,8.4035,8.4428,7737,0
20050318,8.482,8.5607,8.3722,8.5607,9529,0
20050321,8.5213,8.592,8.4272,8.592,6185,0
20050322,8.4035,8.6391,8.4035,8.6391,12195,0
20050323,8.6391,8.6391,8.5997,8.6391,5929,0
20050324,8.6314,8.6391,8.4898,8.6391,6746,0
20050328,8.7576,8.7576,8.6781,8.7576,8848,0
20050329,8.7172,8.7254,8.7172,8.7254,4205,0
20050330,8.7963,8.7963,8.6391,8.749,11579,0
20050331,8.7576,8.8278,8.7172,8.8037,8255,0
20050401,8.8278,8.8278,8.7963,8.8278,3052,0
20050404,8.8037,8.8037,8.7576,8.7963,5923,0
20050405,8.7642,8.788,8.6391,8.749,9322,0
20050406,8.749,8.749,8.7172,8.7172,3917,0
20050407,8.7016,8.749,8.7016,8.749,1142,0
20050408,8.6391,8.749,8.6391,8.749,3207,0
20050411,8.7172,8.7172,8.6544,8.7172,1313,0
20050412,8.9923,9.0158,8.749,8.8361,8745,0
20050413,8.8361,8.8361,8.8361,8.8361,952,0
20050414,8.8361,8.8361,8.8361,8.8361,1142,0
20050415,8.8361,8.8361,8.6781,8.8361,1670,0
20050418,8.6781,8.8361,8.6781,8.8361,2591,0
20050419,8.9923,8.9923,8.6862,8.9772,6819,0
20050420,9.0158,9.0158,8.7098,8.8361,14894,0
20050421,8.8361,8.8985,8.7963,8.8593,7175,0
20050422,8.8668,8.9069,8.7725,8.8985,4138,0
20050425,8.8203,8.8985,8.8203,8.8203,1207,0
20050426,8.8985,8.8985,8.8901,8.8901,2121,0
20050427,8.9525,8.9923,8.9525,8.9923,3706,0
20050428,8.7963,8.9772,8.788,8.9772,2412,0
20050429,8.8361,8.8361,8.8361,8.8361,7638,0
20050502,8.7963,8.7963,8.7963,8.7963,379,0
20050503,8.7172,8.788,8.7172,8.788,6973,0
20050504,8.7172,8.7172,8.7172,8.7172,2075,0
20050505,8.7172,8.7254,8.7172,8.7254,1400,0
20050506,8.7172,8.7172,8.6781,8.6862,1909,0
20050509,8.8361,8.8361,8.6391,8.7725,5526,0
20050510,8.7725,8.7725,8.7725,8.7725,2165,0
20050511,8.6391,8.8361,8.6391,8.8361,6175,0
20050512,8.8361,8.8361,8.8037,8.8361,7330,0
20050513,8.9923,8.9923,8.8817,8.8817,8658,0
20050516,8.6391,8.7172,8.6391,8.7172,1142,0
20050517,8.9451,8.9451,8.9377,8.9377,2927,0
20050518,8.8361,8.8361,8.6391,8.6391,391,0
20050519,8.9377,9.1489,8.9377,9.063,11381,0
20050520,9.032,9.032,8.9772,9.032,4200,0
20050523,8.7576,8.9377,8.7172,8.8743,8801,0
20050524,9.2686,9.2686,8.8278,9.0158,3263,0
20050525,8.8119,8.8901,8.8037,8.8424,2358,0
20050531,9.063,9.0707,9.063,9.0707,508,0
20050601,9.032,9.0707,9.032,9.0707,6715,0
20050603,9.0707,9.0707,8.9772,8.9772,2391,0
20050606,9.1489,9.1489,9.1489,9.1489,789,0
20050607,8.9609,8.9609,8.9609,8.9609,637,0
20050608,8.9451,8.9451,8.9451,8.9451,605,0
20050610,8.9143,8.9143,8.7576,8.7576,831,0
20050615,8.7576,8.9143,8.7576,8.8743,1304,0
20050616,8.8743,8.8817,8.7576,8.7576,1964,0
20050617,8.7576,8.8901,8.7576,8.8901,1386,0
20050620,8.7172,8.7172,8.6469,8.6469,1274,0
20050621,8.6944,8.6944,8.4114,8.6391,14386,0
20050623,8.5607,8.6391,8.5607,8.6391,1211,0
20050624,8.482,8.6391,8.482,8.6391,630,0
20050627,8.6391,8.6391,8.6391,8.6391,224,0
20050628,8.6391,8.6391,8.6391,8.6391,121,0
20050629,8.6391,8.6391,8.6391,8.6391,254,0
20050701,9.1107,9.1107,8.6391,8.6391,824,0
20050707,8.6391,8.6391,8.482,8.5607,1894,0
20050708,8.5607,8.5607,8.482,8.482,323,0
20050712,8.6314,8.6391,8.6314,8.6391,1035,0
20050715,8.9377,8.9451,8.9377,8.9451,3642,0
20050718,8.9923,8.9923,8.9923,8.9923,121,0
20050719,8.9923,8.9923,8.9923,8.9923,583,0
20050720,8.9923,8.9923,8.8985,8.8985,1462,0
20050721,8.8507,8.8507,8.8507,8.8507,1274,0
20050722,8.8507,8.8507,8.8507,8.8507,1386,0
20050725,8.8593,8.8593,8.7725,8.7725,1909,0
20050726,8.7963,8.7963,8.7963,8.7963,508,0
20050727,8.6391,8.6391,8.5607,8.5607,1499,0
20050728,8.5607,8.5607,8.4584,8.4584,2245,0
20050729,8.4505,8.4505,8.4505,8.4505,121,0
20050802,8.6391,8.6391,8.5607,8.5607,4075,0
20050803,8.4428,8.6391,8.4428,8.4898,2763,0
20050804,8.4428,8.4663,8.4035,8.4114,10695,0
20050805,8.3327,8.482,8.3327,8.482,664,0
20050808,8.4428,8.4428,8.152,8.2464,1559,0
20050809,8.0656,8.2464,8.0656,8.2464,2038,0
20050811,8.2464,8.2464,7.9477,7.9477,2927,0
20050812,8.05,8.8361,7.893,8.6708,18420,0
20050815,8.325,8.325,8.325,8.325,121,0
20050816,8.3405,8.6077,8.3405,8.6077,1056,0
20050817,8.6781,8.6781,8.5291,8.5291,1513,0
20050818,8.4114,8.4114,8.4114,8.4114,256,0
20050822,8.6391,8.6391,8.6391,8.6391,2392,0
20050823,8.6391,8.7172,8.4428,8.4428,19817,0
20050824,8.2464,8.2464,8.2464,8.2464,2541,0
20050825,8.2464,8.5448,8.2464,8.2464,4830,0
20050829,8.2464,8.3092,8.2464,8.2464,1745,0
20050831,8.3171,8.325,8.3171,8.325,22920,0
20050901,8.5448,8.5448,7.9949,7.9949,2659,0
20050902,8.05,8.05,7.9949,7.9949,637,0
20050906,8.0264,8.0891,7.9949,8.0891,2675,0
20050907,8.0891,8.0891,8.0734,8.0734,3748,0
20050908,8.0656,8.0656,8.0656,8.0656,573,0
20050909,8.0656,8.0656,8.0656,8.0656,2805,0
20050912,8.05,8.05,7.8535,7.8613,4863,0
20050913,7.8692,7.893,7.8535,7.877,18395,0
20050914,7.877,7.932,7.877,7.932,7003,0
20050915,7.8535,7.8613,7.8535,7.8613,1202,0
20050916,7.8613,7.9714,7.8613,7.9714,4763,0
20050919,7.8535,7.893,7.8535,7.893,919,0
20050920,7.8535,7.932,7.8535,7.8692,6059,0
20050921,7.8613,7.8851,7.8613,7.8613,3068,0
20050922,7.893,7.893,7.8613,7.8613,1684,0
20050926,7.8535,8.2464,7.8535,8.215,5793,0
20050927,8.3643,8.3643,7.9714,7.9714,2292,0
20050928,7.9008,7.9008,7.8144,7.8144,15669,0
20050929,8.2698,8.2698,7.8222,7.8222,9648,0
20050930,7.8535,7.8535,7.8222,7.8222,5716,0
20051003,8.1284,8.1284,7.6183,7.7044,11221,0
20051004,7.8222,7.8457,7.7358,7.7358,966,0
